dataset,model,formula,parameter,beta,se,z,p,n_obs,n_subjects,converged,fit_method
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,Intercept,0.05771093073528599,0.017113545013731003,3.3722370607014382,0.000745602419625138,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,curDur_c,-0.3815943388977338,0.012804594292534766,-29.801361150521412,3.751147076071024e-195,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,preDur_c,0.12502738338280522,0.014685380757305239,8.51373113500039,1.6842428170864182e-17,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag1,0.18391135874502026,0.01852182387341034,9.92944107459313,3.099882205317743e-23,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag2,0.09497706411758092,0.016125278511946964,5.889948756371179,3.863153898389141e-09,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag3,0.05309009454934793,0.016161638241346175,3.284945112403767,0.0010200224032047556,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag4,0.04481892174485128,0.016165934616574233,2.7724299774725294,0.005563948852806481,2936,2936,True,lbfgs
manuscript_exp1_dynamic,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag5,0.027193635155372188,0.01620292659198257,1.6783162597816108,0.0932853754812328,2936,2936,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,Intercept,-0.017530752461193594,0.01038514663201507,-1.6880601769406152,0.09139967790558237,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,curDur_c,-0.4698929598196424,0.013326428947804964,-35.260230753493786,2.3913525229047634e-272,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,preDur_c,0.17884550208397182,0.016119745195112927,11.094809497248937,1.3294294847881784e-28,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag1,0.13844155746302694,0.018868500930876036,7.337178399609052,2.181437570601221e-13,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag2,0.04477602438787046,0.015655724079424175,2.860041743244452,0.004235852480807552,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag3,0.05363470953983148,0.01571609310046939,3.4127253635465915,0.0006431672309528321,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag4,0.038279787272603075,0.01569649420040007,2.438747581713336,0.014738258987616699,2771,2771,True,lbfgs
manuscript_exp2_fixed,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag5,0.045777326988673095,0.015646902421933805,2.925647885712031,0.003437397554558469,2771,2771,True,lbfgs
