dataset,grouping,subID,condition,n_trials,ct_slope,sdi_slope
manuscript_exp1_dynamic,same_switch_label,787955,Same,113,-0.5076006238046562,0.045758299103894916
manuscript_exp1_dynamic,same_switch_label,787955,Switch,116,-0.5937209863881384,0.02806587782558439
manuscript_exp1_dynamic,same_switch_label,803870,Same,89,-0.42479667018744927,-0.057257379357890506
manuscript_exp1_dynamic,same_switch_label,803870,Switch,115,-0.45337114930575645,-0.03212939311700061
manuscript_exp1_dynamic,same_switch_label,820531,Same,126,-0.5439495072230193,0.017087547062824886
manuscript_exp1_dynamic,same_switch_label,820531,Switch,103,-0.5017520925033792,0.09515107470049344
manuscript_exp1_dynamic,same_switch_label,828098,Same,100,-0.22315351020756496,0.11651847556646455
manuscript_exp1_dynamic,same_switch_label,828098,Switch,119,-0.13670959263365556,-0.011750432807447513
manuscript_exp1_dynamic,same_switch_label,882052,Same,101,-0.25584075981578025,0.03244109667902309
manuscript_exp1_dynamic,same_switch_label,882052,Switch,111,-0.24387825680798647,0.0836845270206872
manuscript_exp1_dynamic,same_switch_label,897347,Same,105,-0.3914986246072612,0.03629473255022344
manuscript_exp1_dynamic,same_switch_label,897347,Switch,123,-0.23951998336199326,0.022678566899497217
manuscript_exp1_dynamic,same_switch_label,919598,Same,109,-0.25976220860703064,0.06479592249976873
manuscript_exp1_dynamic,same_switch_label,919598,Switch,121,-0.2813722068358312,-0.00814072040365165
manuscript_exp1_dynamic,same_switch_label,994851,Same,97,-0.3367656930333815,-0.03496638017053665
manuscript_exp1_dynamic,same_switch_label,994851,Switch,118,-0.34310289473301164,0.03425814280100734
manuscript_exp2_fixed,current_coherence_label,002046,High,111,-0.6500679956315486,-0.029230351937670408
manuscript_exp2_fixed,current_coherence_label,002046,Low,111,-0.5550212902871459,0.09209196350109253
manuscript_exp2_fixed,current_coherence_label,062573,High,112,-0.6302527308644273,0.04034399959109947
manuscript_exp2_fixed,current_coherence_label,062573,Low,109,-0.5725732892052511,0.17851921769744508
manuscript_exp2_fixed,current_coherence_label,082622,High,116,-0.38151280424670486,0.1680987206963071
manuscript_exp2_fixed,current_coherence_label,082622,Low,114,-0.3872914914947606,0.025737633978628195
manuscript_exp2_fixed,current_coherence_label,118354,High,109,-0.32220697137985743,-0.017816211314146787
manuscript_exp2_fixed,current_coherence_label,118354,Low,98,-0.150178200886604,0.1491671088988863
manuscript_exp2_fixed,current_coherence_label,169207,High,112,-0.3721666825475536,0.14549418251223112
