dataset,grouping,contrast,N,mean_a,sem_a,mean_b,sem_b,mean_diff,sem_diff,t,df,p,dz
manuscript_exp1_dynamic,current_coherence_label,Low - High,22,0.0645687045395767,0.011992915804818592,0.016850391842348437,0.010863221903234787,0.04771831269722826,0.013549875791518307,3.5216789756182165,21,0.002026017160428198,0.750824480376296
manuscript_exp2_fixed,same_switch_label,Same - Switch,22,0.10786464503908859,0.015876313703896403,0.07996709797374092,0.017694615187201324,0.02789754706534767,0.012325196718804046,2.2634565355687615,21,0.03432349384889426,0.4825705548230481
manuscript_exp1_dynamic,same_switch_label,Same - Switch,22,0.04209871147590691,0.009749341382469228,0.043582842358581494,0.01240336229096291,-0.001484130882674582,0.014444054493843004,-0.10275029655331301,21,0.9191360305386844,-0.021906436830917742
manuscript_exp2_fixed,current_coherence_label,Low - High,22,0.10918217506354533,0.02278358069264222,0.07989653900656847,0.016082138957265135,0.02928563605697684,0.023667145623803745,1.2373961998831904,21,0.22959809971739759,0.26381375623080633
