exp,parameter,r,p,mean_error,mae,n
1,q1,0.48880970250797035,6.026594770204981e-08,1.087575037217851,2.1905397540935203,110
1,q2,0.35254895069267034,0.00015850252548179724,0.01604244863394528,0.41233393630108184,110
1,q3,0.4889279638070424,5.976001014282763e-08,0.21684995574944288,0.9989730905315048,110
1,lambda,0.2587785473238094,0.00633823543934886,0.036614232303599205,0.2757511696210022,110
1,r_base,0.45732256967523327,5.098249820374342e-07,0.21484349401225925,2.4230106742310573,110
1,d0,0.9278871014272466,4.397422575940362e-48,-0.00673792200574397,0.028925871345018114,110
1,alpha_d0,0.8404743559493623,1.6486456419403173e-30,0.00823207595458819,0.053126268662706054,110
1,alpha_q1,0.6521497552217651,1.1872584621541727e-14,0.3958501935496426,1.8049688145540788,110
2,q1,0.33730035633516214,0.00031405481069901093,-0.023238920893558397,4.959950383673202,110
2,q2,0.10973607308483294,0.2537765324027778,0.18755043743538383,0.24400834345884448,110
2,q3,0.333838459716973,0.00036503823858366865,-0.2503965188499954,1.4425249445120265,110
2,lambda,0.08178960868060252,0.39563551531801,-0.025383908156861205,0.31734514144050113,110
2,r_base,0.4772712395473276,1.3512567405873162e-07,-0.3873047459642232,2.6841475692874313,110
2,d0,0.9551795736518075,6.420099080217995e-59,-0.00373074457299889,0.030502076987549556,110
2,alpha_d0,0.9347419562325643,2.4035097694745813e-50,0.0029387894951456582,0.05340676087053509,110
2,alpha_q1,0.7127518882688872,2.4713171946964707e-18,0.09675429302430091,1.8293538819275528,110
