sim,exp,Sub,success,AIC,RMSE,q1_true,q1_recovered,q2_true,q2_recovered,q3_true,q3_recovered,lambda_true,lambda_recovered,r_base_true,r_base_recovered,d0_true,d0_recovered,alpha_d0_true,alpha_d0_recovered,alpha_q1_true,alpha_q1_recovered
0,1,2046,True,-157.75670728053282,0.16360791618893664,0.0131168050943284,0.023135326012094008,0.0005845746847205,0.0005735848713271917,0.0111673781974634,0.1723672185866137,0.6602770650158598,0.21494903832778034,0.1000386828123244,0.6445877864556107,-0.1258663493653221,-0.09309030049509705,0.0607593284400959,-0.02416050387683479,2.122931534793514,3.6923127689206208
0,1,62573,True,-95.34147533832763,0.18808856746246183,0.0197365179122524,0.0007988836630471233,4.153275267842501e-09,0.005056798960323101,0.101937965147983,0.0470279432359003,0.3393030220209883,0.3207359805975907,0.2251190861305061,0.10001400487468912,0.039492502521899,0.05660736168563994,-0.0691519684479865,-0.09919746107749224,0.9592581733956882,4.998804656017046
0,1,82622,True,-127.60341852355785,0.17708598421816207,3.0635231441360347,2.088890992299659,2.413235590000044,5.496983633100223,0.0375129818471379,3.6115788489081337,6.891429801986291e-05,0.24868563209483557,5.412954483847857,8.372568067361382,0.0569708071326918,0.05320026379850301,-0.1135893519489349,-0.08752131882849898,0.4061133739998797,-4.182039605061439
0,1,118354,True,89.7947505277803,0.2891845123588941,1.1191803615869522,1.118738865111153,0.7051739791750934,0.012377927164544463,0.0511701431550206,4.695428681357965,0.0063502221913838,0.5677287096674164,2.794209381909882,2.313799409924063,0.0776116451872081,0.06582464193522386,-0.1688559852514198,-0.11775587570800275,3.1985597049186394,-0.3528590017553045
0,1,169207,True,-151.67383974690586,0.1667020709686081,0.2163368556149319,1.2080730999037859,0.0042855955447862,0.08192755389581516,0.8276618848075158,3.027773197757114,0.6928568205903328,0.7762537504909003,1.0474517591121817,4.610921740678968,-0.0710851701098797,-0.06153709354005281,0.0184684672107062,0.002148503387713317,1.5482695566010067,1.7000786266366663
0,1,183923,True,-70.5384122013425,0.19748742927959856,2.3131901787664666,0.031552858340937885,2.1991862084808353,0.0018588592281548525,0.3616978136448275,3.445476744161373e-09,2.354575059805493e-09,0.20935301607717177,8.98253537587588,0.11457107730885,-0.0093807618500012,-0.028837868609952157,-0.045053802471341,-0.01378075822890123,4.906425854758763,4.617921186232709
0,1,184189,True,-19.11042060814259,0.2222958086976321,0.355983038650419,0.1276511127838052,0.0255047767817928,0.04341170804737365,0.0470717897723177,4.942790409047021e-05,0.4261389353030653,0.3823430440532365,0.1010743845280302,0.13089138399560482,0.0800061036571533,0.0812997745371323,-0.1560659675726555,-0.13386432648502192,-4.994117877326709,-1.4286467931992386
0,1,189058,True,-65.13302129100151,0.20122496591064573,2.323294380796653e-09,0.0351847450813399,0.0609070095000897,0.053800120370830505,4.9859504054376025,4.455936849852113,0.8060729427538248,0.6431701846088665,6.446559043624862,4.382688293255335,-0.0329383704151761,-0.07569050755469364,0.1313432108472721,0.20759081874776059,-4.999987034120182,3.837390755332332
0,1,194491,True,-66.83911155054201,0.19629665681615185,8.202592343220847,7.868257222101648,0.0213936935292906,0.07898396840768385,0.7321870374487087,0.4268131843889427,0.8555392969193703,0.44523486562710946,9.994478005058724,4.150701338901175,0.0408360042926943,0.017181362661660808,-0.0258504230545753,-0.02956138282309606,-4.999552683873682,-4.0604635892708
0,1,203316,True,-196.82459885149052,0.14950250199846718,0.5199489612169365,0.542524497630325,0.0122852127365914,0.010646641789552535,0.0248251952858134,0.012747589703321625,2.484725648922276e-07,1.1728365728183198e-07,0.1000140697390661,0.10002123146810062,-0.1125615144067966,-0.16184944527292314,0.0570329154957071,0.16220750054358324,-4.953474486460324,-3.995474953892556
