exp,Sub,source,grouping,condition,controlled_sdi
1,730111,pred,SameSwitch,Repeat,0.0913109390078567
1,730111,pred,SameSwitch,Switch,0.0795786497201271
1,743968,Reproduction,current_uncertainty,HighUncertainty,0.0284606292820521
1,743968,Reproduction,current_uncertainty,LowUncertainty,0.0914038924597079
1,743968,Reproduction,SameSwitch,Repeat,0.0381861797220721
1,743968,Reproduction,SameSwitch,Switch,0.0719035455626926
1,743968,pred,current_uncertainty,HighUncertainty,0.0477039315031803
1,743968,pred,current_uncertainty,LowUncertainty,0.0685017410039921
1,743968,pred,SameSwitch,Repeat,0.0602887596101351
1,743968,pred,SameSwitch,Switch,0.0508186791543719
1,785063,Reproduction,current_uncertainty,HighUncertainty,0.0480000682809261
1,785063,Reproduction,current_uncertainty,LowUncertainty,0.0585211960765612
1,785063,Reproduction,SameSwitch,Repeat,0.0988529379438997
1,785063,Reproduction,SameSwitch,Switch,0.0285467029971965
1,785063,pred,current_uncertainty,HighUncertainty,0.0137766509210464
1,785063,pred,current_uncertainty,LowUncertainty,0.0221036572407582
1,785063,pred,SameSwitch,Repeat,0.0332398731745209
1,785063,pred,SameSwitch,Switch,0.0300956944550087
1,785667,Reproduction,current_uncertainty,HighUncertainty,0.1509245502871004
1,785667,Reproduction,current_uncertainty,LowUncertainty,0.0663434259542409
1,785667,Reproduction,SameSwitch,Repeat,0.0374387375055421
1,785667,Reproduction,SameSwitch,Switch,0.1739906220797656
1,785667,pred,current_uncertainty,HighUncertainty,0.1244336361796922
1,785667,pred,current_uncertainty,LowUncertainty,0.1163611356639365
1,785667,pred,SameSwitch,Repeat,0.1292735627301974
1,785667,pred,SameSwitch,Switch,0.1192456839146428
1,787955,Reproduction,current_uncertainty,HighUncertainty,0.0188073442830237
1,787955,Reproduction,current_uncertainty,LowUncertainty,0.0492032997474987
1,787955,Reproduction,SameSwitch,Repeat,0.0503804895814417
1,787955,Reproduction,SameSwitch,Switch,0.0198056659294113
1,787955,pred,current_uncertainty,HighUncertainty,0.0577592525238049
1,787955,pred,current_uncertainty,LowUncertainty,0.0523886356156215
1,787955,pred,SameSwitch,Repeat,0.0630811047017585
1,787955,pred,SameSwitch,Switch,0.0455584541391873
1,803870,Reproduction,current_uncertainty,HighUncertainty,0.0248253489830532
1,803870,Reproduction,current_uncertainty,LowUncertainty,-0.0242481200372636
1,803870,Reproduction,SameSwitch,Repeat,0.0202813096259664
1,803870,Reproduction,SameSwitch,Switch,0.0209817439003754
1,803870,pred,current_uncertainty,HighUncertainty,0.007579907658831
1,803870,pred,current_uncertainty,LowUncertainty,0.010880303724868
1,803870,pred,SameSwitch,Repeat,0.0505667520521245
1,803870,pred,SameSwitch,Switch,0.0268180469219547
1,820531,Reproduction,current_uncertainty,HighUncertainty,0.0028645777542579
1,820531,Reproduction,current_uncertainty,LowUncertainty,0.0328557533544628
1,820531,Reproduction,SameSwitch,Repeat,0.0451966482346447
1,820531,Reproduction,SameSwitch,Switch,0.0520968373010252
1,820531,pred,current_uncertainty,HighUncertainty,0.0356709524201195
1,820531,pred,current_uncertainty,LowUncertainty,0.0342021311042744
1,820531,pred,SameSwitch,Repeat,0.0639678336458326
1,820531,pred,SameSwitch,Switch,0.0761548252773796
1,828098,Reproduction,current_uncertainty,HighUncertainty,0.1581360766530705
1,828098,Reproduction,current_uncertainty,LowUncertainty,-0.064574883124764
1,828098,Reproduction,SameSwitch,Repeat,0.1274852771370275
1,828098,Reproduction,SameSwitch,Switch,0.0169483888585473
1,828098,pred,current_uncertainty,HighUncertainty,0.0005537991540654
1,828098,pred,current_uncertainty,LowUncertainty,0.0070145637611349
1,828098,pred,SameSwitch,Repeat,0.0392673787932526
1,828098,pred,SameSwitch,Switch,0.0239586754386116
1,882052,Reproduction,current_uncertainty,HighUncertainty,0.1910952575593661
1,882052,Reproduction,current_uncertainty,LowUncertainty,-0.0038778355876448
1,882052,Reproduction,SameSwitch,Repeat,0.0069468851629311
1,882052,Reproduction,SameSwitch,Switch,0.1868027959246857
1,882052,pred,current_uncertainty,HighUncertainty,0.0329090018185391
1,882052,pred,current_uncertainty,LowUncertainty,0.0373443876220417
1,882052,pred,SameSwitch,Repeat,0.0367480411155948
1,882052,pred,SameSwitch,Switch,0.0345960978256136
1,897347,Reproduction,current_uncertainty,HighUncertainty,0.0604672051085461
1,897347,Reproduction,current_uncertainty,LowUncertainty,0.0309462731697723
1,897347,Reproduction,SameSwitch,Repeat,0.0746509573519967
1,897347,Reproduction,SameSwitch,Switch,0.0200559181057708
1,897347,pred,current_uncertainty,HighUncertainty,0.0735461059809833
1,897347,pred,current_uncertainty,LowUncertainty,0.0683652046978844
1,897347,pred,SameSwitch,Repeat,0.0781152779071876
1,897347,pred,SameSwitch,Switch,0.0668828531322652
1,919598,Reproduction,current_uncertainty,HighUncertainty,0.0511154100971492
1,919598,Reproduction,current_uncertainty,LowUncertainty,-0.0068546473479117
1,919598,Reproduction,SameSwitch,Repeat,0.0564606740030304
1,919598,Reproduction,SameSwitch,Switch,-0.0101362395851609
1,919598,pred,current_uncertainty,HighUncertainty,0.066622429866261
1,919598,pred,current_uncertainty,LowUncertainty,0.0461379461857873
1,919598,pred,SameSwitch,Repeat,0.0542744965896469
1,919598,pred,SameSwitch,Switch,0.0584976355642648
