exp,Sub,cti_obs,cti_pred,sdi_obs,sdi_pred,rmse,mae
1,26578,0.6026322457616058,0.5959153411893463,-0.002987314091501845,-0.002333152022190685,0.1712939830649801,0.13728445255007748
1,109550,0.15577946268656725,0.1359342695777602,0.10567010804898863,0.11021861710714678,0.17289852978669118,0.13513608379383957
1,199724,0.29753499391908883,0.26874154852148,0.07091203768480951,0.027027311146737888,0.14888473534228464,0.12140842172946496
1,241220,0.7719182426876544,0.7611784804828724,0.04739201822377374,0.022444033760099322,0.26339121329065823,0.2160609251285049
1,243787,0.514767307581269,0.5559160372806558,0.058737374470308315,0.06721211422048098,0.17946611738502416,0.1427044620899568
1,312070,0.8126697330042625,0.8218441123635314,0.05871509142181397,0.04969491893896523,0.2202893902561374,0.17801144960267948
1,328537,0.7998376453752494,0.7821167387691128,0.048357318013838156,0.06910902056627327,0.1612445317528079,0.12866285656849974
1,349889,0.8145279089615933,0.8095976787962114,0.11301236021861927,0.09636183045821467,0.2197938855547451,0.174356474482546
1,384894,0.5951724786753639,0.6099318600107662,0.02474992585688258,0.0347671354706587,0.1729036414918684,0.1417356254393426
1,658375,0.4349736246686925,0.4749185241149733,0.15499986981539826,0.20104400616211943,0.19967986771483912,0.15981271985739054
1,730111,0.6003566677570601,0.5888502652314125,0.08694271911663212,0.07752348409773409,0.1814822468572594,0.1515789737740032
1,743968,0.6901451668157509,0.6800767943925902,0.05376073690603578,0.05095441163884668,0.13590868895018418,0.10542998898702148
1,785063,0.9724119104468669,0.9375532986215789,0.0711099291491878,0.05564004224909619,0.19206449603749878,0.1558671916164091
1,785667,0.46329482903103775,0.48701976102676203,0.12836693215241748,0.15189693839343266,0.17989108321090438,0.14384303511278282
1,787955,0.4460303660485621,0.4555348802785821,0.07142684805674249,0.08931750718367366,0.11148874705295089,0.08740337714315742
1,803870,0.5633596308425123,0.5533386992407411,0.05787859682747831,0.06434250967868019,0.19228971332613626,0.15278076720772124
1,820531,0.46896236693921683,0.48076349805823193,0.04048806057076284,0.05493142057828557,0.145057697290507,0.11744789251579835
1,828098,0.8108079382213736,0.8185846399807347,0.08734964130797472,0.0529969819162202,0.22573250077278045,0.18879252648993858
1,882052,0.7499963667259172,0.6961373375000751,0.07785690970893447,0.00988287689451813,0.27587337864045786,0.22361624602212818
1,897347,0.6819032737358225,0.6999741018201933,0.06409667502387772,0.057217706702471074,0.20470690157641266,0.16254005102201735
1,919598,0.7300479976908971,0.7394253354917933,0.016963595026508932,0.04448782328159336,0.13979320531119915,0.11307666593465403
1,994851,0.6610859042494546,0.6715356340009925,0.026183091102446064,0.06229830754220142,0.17538134904669267,0.1435340973066715
2,2046,0.4033963038800946,0.39995939242727335,0.0707773677157275,0.0821202546804643,0.17285812470848178,0.1378246956857276
2,62573,0.3907257327897911,0.3937837194441729,0.0794234290931693,0.10675720995801291,0.19240670902032386,0.1511884482873734
2,82622,0.6277072668153804,0.635415952464993,0.0860439634668442,0.1136643745249012,0.1699750763927032,0.1362108833608208
2,118354,0.7628800994483166,0.737246116644706,0.10079378847912225,0.06487867907367743,0.27638061756707866,0.230442151402248
2,169207,0.6064550028032522,0.6067551681025732,0.12638136319200194,0.1344223837916835,0.1669589143000527,0.13443854921155204
2,183923,0.7860791754056736,0.7837363603582143,-0.027055605984199153,0.035779099111989135,0.2078173913069587,0.16427550981963437
2,184189,0.6219492189783737,0.6160863237349208,0.15014839056665963,0.12433465085056397,0.21507926594916527,0.1745358980184853
2,189058,0.517684327988097,0.5199374130548731,0.21942810657643447,0.21230547907388195,0.18780611236587316,0.1500864023283652
2,194491,0.2309795537983616,0.24441788621892313,0.17033291121229377,0.10650444167777404,0.1851712290994752,0.14742312732423157
2,203316,0.5636659642931285,0.5806984725789822,0.09964928781181097,0.11834998452495792,0.14883359956525205,0.11854734799889398
2,298043,0.5037321290555823,0.47437167618167797,0.06990238744756119,0.07205298268063973,0.22149439329691015,0.1754977081168733
2,372056,0.35825765340077226,0.37426560753154187,0.2922953952212031,0.19913035115110922,0.21112493509839933,0.17262484019658283
2,469417,0.5882878505626865,0.5658165553519794,0.16965724908026328,0.16115237013210895,0.233403930554463,0.18741712188299145
2,551900,0.4872923753007875,0.49320017002161964,0.09371910089125056,0.09225821454973634,0.14387234521079426,0.11415792175141011
2,555268,0.567372778877723,0.5624451100752569,0.07085389825329733,0.10080913523701526,0.19343103453391441,0.15880934688298853
2,611856,0.7503751736672817,0.7726206688109802,0.05282953730872533,0.06272888797390475,0.16968584427044198,0.13857004999754396
2,624708,0.372361467625899,0.37334388722839273,0.1845049032370041,0.19541487290499085,0.2552198100968675,0.20466074232601228
2,742322,0.34314014598540094,0.3867948479433024,0.14593078219897526,0.14112327962667812,0.19284747580992886,0.15059167511690677
2,753780,0.39109393685347077,0.38536350649860185,0.17394507483145227,0.1408790186438074,0.23955129773208436,0.18925209762288084
2,815266,0.5105034402683412,0.5224815332852828,0.006490761537280163,0.001146315433588466,0.12788417212662653,0.09973290117260585
2,885939,0.6171527525636626,0.6194280782787973,0.22511450481379217,0.22700950172437726,0.23158352303619031,0.18826508597081357
2,898122,0.22285130075837536,0.22680844574344086,-0.13899283426299228,-0.05389387500757568,0.22179516753701808,0.17195173401237818
