dataset,grouping,subID,condition,ct_slope,sdi_slope,n_trials
experiment1_dynamic,current_coherence_label,026578,High,-0.4012275954122404,-0.04260760098811474,106
experiment1_dynamic,current_coherence_label,026578,Low,-0.3809731339773864,0.043357419999607946,95
experiment1_dynamic,current_coherence_label,109550,High,-0.8247854702281093,0.020245107554743694,106
experiment1_dynamic,current_coherence_label,109550,Low,-0.8626504334206911,-0.05418891429943385,107
experiment1_dynamic,current_coherence_label,199724,High,-0.6879551746598214,0.04270154754476342,110
experiment1_dynamic,current_coherence_label,199724,Low,-0.7319810613642223,0.10849113586564714,103
experiment1_dynamic,current_coherence_label,241220,High,-0.36170036280737483,-0.06901373919871934,100
experiment1_dynamic,current_coherence_label,241220,Low,-0.10191145052015115,0.03719661218014196,90
experiment1_dynamic,current_coherence_label,243787,High,-0.4307159819454807,0.013407004469499932,92
experiment1_dynamic,current_coherence_label,243787,Low,-0.5441853068427522,0.12892814195402338,102
experiment1_dynamic,current_coherence_label,312070,High,-0.1335488848157002,0.011347013649946263,106
experiment1_dynamic,current_coherence_label,312070,Low,-0.23762521061648673,0.08527605803811651,105
experiment1_dynamic,current_coherence_label,328537,High,-0.16059963317743597,0.06831731690699452,102
experiment1_dynamic,current_coherence_label,328537,Low,-0.24439562990983726,0.041584109729400964,109
experiment1_dynamic,current_coherence_label,349889,High,-0.06424448546498823,0.09761390086277741,104
experiment1_dynamic,current_coherence_label,349889,Low,-0.28945022156209155,0.15435266560842467,108
experiment1_dynamic,current_coherence_label,384894,High,-0.3758955109807446,0.009093485432020296,116
experiment1_dynamic,current_coherence_label,384894,Low,-0.45604864771492226,0.13113785438553996,104
experiment1_dynamic,current_coherence_label,658375,High,-0.6125176201177401,0.016692510693159135,108
experiment1_dynamic,current_coherence_label,658375,Low,-0.5621876032583824,0.013251831686810062,98
experiment1_dynamic,current_coherence_label,730111,High,-0.4944237848157723,0.09880190412482734,107
experiment1_dynamic,current_coherence_label,730111,Low,-0.32001644873896073,0.07881750396583063,110
experiment1_dynamic,current_coherence_label,743968,High,-0.354346208996187,0.0896682580638094,113
experiment1_dynamic,current_coherence_label,743968,Low,-0.2671511034571749,0.03235147950790489,116
experiment1_dynamic,current_coherence_label,785063,High,-0.03084603383471589,0.029378695220247136,112
experiment1_dynamic,current_coherence_label,785063,Low,-0.013760078639297652,0.04694204504786542,110
experiment1_dynamic,current_coherence_label,785667,High,-0.5923303670275245,0.05155564147419492,92
experiment1_dynamic,current_coherence_label,785667,Low,-0.4534893381918791,0.1848489401454192,96
experiment1_dynamic,current_coherence_label,787955,High,-0.5589258607219069,0.048465637784869675,117
experiment1_dynamic,current_coherence_label,787955,Low,-0.5669155702997994,0.02814741172356426,112
experiment1_dynamic,current_coherence_label,803870,High,-0.4182136755424711,-0.0917616533118509,98
experiment1_dynamic,current_coherence_label,803870,Low,-0.4659088668679575,-0.02029002888688758,106
experiment1_dynamic,current_coherence_label,820531,High,-0.49585808038177764,0.03725359698113727,115
experiment1_dynamic,current_coherence_label,820531,Low,-0.5822710717334683,0.013795274235557287,114
experiment1_dynamic,current_coherence_label,828098,High,-0.37501541108985875,-0.05445253232159153,107
experiment1_dynamic,current_coherence_label,828098,Low,-0.03219027643391212,0.08806513173346389,112
experiment1_dynamic,current_coherence_label,882052,High,-0.31943421194593374,0.015005707367803102,107
experiment1_dynamic,current_coherence_label,882052,Low,-0.18901462763063404,0.09608327205939529,105
experiment1_dynamic,current_coherence_label,897347,High,-0.2877933699125724,0.0006210063020925943,112
experiment1_dynamic,current_coherence_label,897347,Low,-0.35540678068376974,0.07444056341779419,116
experiment1_dynamic,current_coherence_label,919598,High,-0.23573086932144216,-0.001189976588110056,114
experiment1_dynamic,current_coherence_label,919598,Low,-0.3045095780666167,0.054359986016158594,116
experiment1_dynamic,current_coherence_label,994851,High,-0.29289109236437144,-0.02043421149283774,104
experiment1_dynamic,current_coherence_label,994851,Low,-0.3836630565131197,0.05356300575635038,111
experiment1_dynamic,same_switch_label,026578,Same,-0.4574900073064852,0.02057103408260555,104
experiment1_dynamic,same_switch_label,026578,Switch,-0.3170198253451457,-0.016726702417166672,97
experiment1_dynamic,same_switch_label,109550,Same,-0.7826883618090459,0.02348309547738606,101
experiment1_dynamic,same_switch_label,109550,Switch,-0.89380113962176,-0.034989881472655956,112
experiment1_dynamic,same_switch_label,199724,Same,-0.7982001423156782,0.05753009686179254,115
experiment1_dynamic,same_switch_label,199724,Switch,-0.5972846038084121,0.06392943297398092,98
experiment1_dynamic,same_switch_label,241220,Same,-0.2091757109493065,-0.01158404017397957,92
experiment1_dynamic,same_switch_label,241220,Switch,-0.24961260561837392,-0.02731688978432284,98
experiment1_dynamic,same_switch_label,243787,Same,-0.5311415581814039,0.05647829062486387,94
experiment1_dynamic,same_switch_label,243787,Switch,-0.4596934371726512,0.0887860830492049,100
experiment1_dynamic,same_switch_label,312070,Same,-0.16977274056375186,0.10018558685191037,100
experiment1_dynamic,same_switch_label,312070,Switch,-0.2021049192137934,-0.003058493498778252,111
experiment1_dynamic,same_switch_label,328537,Same,-0.27544234888770774,0.08986149696039122,104
experiment1_dynamic,same_switch_label,328537,Switch,-0.1425752511863803,0.025413436433660168,107
experiment1_dynamic,same_switch_label,349889,Same,-0.13639507445495558,0.13073991364559578,101
experiment1_dynamic,same_switch_label,349889,Switch,-0.22253749556023814,0.12712235875019878,111
experiment1_dynamic,same_switch_label,384894,Same,-0.4272535739266787,-0.012787891394688918,101
experiment1_dynamic,same_switch_label,384894,Switch,-0.3898945040773132,0.10797346481376041,119
experiment1_dynamic,same_switch_label,658375,Same,-0.4871359546973938,0.06205105918778051,102
experiment1_dynamic,same_switch_label,658375,Switch,-0.6175434817775478,0.0020300551003953615,104
experiment1_dynamic,same_switch_label,730111,Same,-0.4544650268598147,0.044490068988979226,107
experiment1_dynamic,same_switch_label,730111,Switch,-0.35659244264507434,0.12781376518218637,110
experiment1_dynamic,same_switch_label,743968,Same,-0.2998633052982614,0.04051475057587973,125
experiment1_dynamic,same_switch_label,743968,Switch,-0.3181363476268554,0.07984525635539257,104
experiment1_dynamic,same_switch_label,785063,Same,-0.05083584560604193,0.05508931900041406,109
experiment1_dynamic,same_switch_label,785063,Switch,0.0037225810606898676,0.04639268429575667,113
experiment1_dynamic,same_switch_label,785667,Same,-0.5265752803708271,0.048876557847247835,90
experiment1_dynamic,same_switch_label,785667,Switch,-0.5399732267594272,0.15979031918801254,98
experiment1_dynamic,same_switch_label,787955,Same,-0.5076006238046556,0.04575829910389442,113
experiment1_dynamic,same_switch_label,787955,Switch,-0.5937209863881384,0.028065877825584694,116
experiment1_dynamic,same_switch_label,803870,Same,-0.4247966701874496,-0.05725737935789038,89
experiment1_dynamic,same_switch_label,803870,Switch,-0.45337114930575556,-0.03212939311700176,115
experiment1_dynamic,same_switch_label,820531,Same,-0.543949507223019,0.0170875470628246,126
experiment1_dynamic,same_switch_label,820531,Switch,-0.5017520925033788,0.09515107470049335,103
experiment1_dynamic,same_switch_label,828098,Same,-0.22315351020756508,0.1165184755664644,100
experiment1_dynamic,same_switch_label,828098,Switch,-0.1367095926336556,-0.01175043280744762,119
experiment1_dynamic,same_switch_label,882052,Same,-0.2558407598157804,0.0324410966790231,101
experiment1_dynamic,same_switch_label,882052,Switch,-0.24387825680798647,0.08368452702068721,111
experiment1_dynamic,same_switch_label,897347,Same,-0.3914986246072616,0.03629473255022342,105
experiment1_dynamic,same_switch_label,897347,Switch,-0.23951998336199332,0.0226785668994972,123
experiment1_dynamic,same_switch_label,919598,Same,-0.25976220860703064,0.06479592249976876,109
experiment1_dynamic,same_switch_label,919598,Switch,-0.28137220683583214,-0.008140720403651236,121
experiment1_dynamic,same_switch_label,994851,Same,-0.33676569303338155,-0.03496638017053708,97
experiment1_dynamic,same_switch_label,994851,Switch,-0.3431028947330118,0.03425814280100712,118
experiment2_fixed,current_coherence_label,002046,High,-0.6500679956315499,-0.02923035193766917,111
experiment2_fixed,current_coherence_label,002046,Low,-0.5550212902871458,0.09209196350109264,111
experiment2_fixed,current_coherence_label,062573,High,-0.6302527308644277,0.04034399959109983,112
experiment2_fixed,current_coherence_label,062573,Low,-0.5725732892052496,0.17851921769744336,109
experiment2_fixed,current_coherence_label,082622,High,-0.38151280424670486,0.16809872069630702,116
experiment2_fixed,current_coherence_label,082622,Low,-0.3872914914947621,0.025737633978629885,114
experiment2_fixed,current_coherence_label,118354,High,-0.32220697137985876,-0.017816211314145455,109
experiment2_fixed,current_coherence_label,118354,Low,-0.15017820088660394,0.14916710889888646,98
experiment2_fixed,current_coherence_label,169207,High,-0.37216668254755375,0.14549418251223112,112
experiment2_fixed,current_coherence_label,169207,Low,-0.41335920929911263,0.020202533362046256,113
experiment2_fixed,current_coherence_label,183923,High,-0.3374093230848317,-0.0407002163141789,110
experiment2_fixed,current_coherence_label,183923,Low,-0.07908992621182545,0.09959637257834482,103
experiment2_fixed,current_coherence_label,184189,High,-0.32407632608770587,0.10555959254533405,102
experiment2_fixed,current_coherence_label,184189,Low,-0.4308046720068042,0.21077147477650088,105
experiment2_fixed,current_coherence_label,189058,High,-0.47986601899980497,0.21377878443825502,112
experiment2_fixed,current_coherence_label,189058,Low,-0.4475145019729962,0.1968457363792391,108
experiment2_fixed,current_coherence_label,194491,High,-0.695476942816814,0.11255761686839459,102
experiment2_fixed,current_coherence_label,194491,Low,-0.8439115617415722,0.10345761937483602,96
experiment2_fixed,current_coherence_label,203316,High,-0.3722377478848594,0.06267471586543774,108
experiment2_fixed,current_coherence_label,203316,Low,-0.4992575330115212,0.055147794248718976,113
experiment2_fixed,current_coherence_label,298043,High,-0.4468366847487294,0.02188456536784037,110
experiment2_fixed,current_coherence_label,298043,Low,-0.5604171465288625,0.08825412702593961,104
experiment2_fixed,current_coherence_label,372056,High,-0.7234820664440571,0.0815449630016231,95
experiment2_fixed,current_coherence_label,372056,Low,-0.5676228272863632,0.3295157661015178,91
experiment2_fixed,current_coherence_label,469417,High,-0.40696224508717077,0.19541552436077408,104
experiment2_fixed,current_coherence_label,469417,Low,-0.3910594177537385,0.09136585227850463,97
experiment2_fixed,current_coherence_label,551900,High,-0.45320618911613186,0.060167012145808205,111
