exp,Sub,cti_obs,cti_pred,sdi_obs,sdi_pred,rmse,mae,display_experiment
1,26578,0.6026322457616058,0.5911290167830424,-0.0029873140915018,-0.0034448845907002,0.1702695386627888,0.1356595957407311,Experiment 1
1,109550,0.1557794626865672,0.1620125085245917,0.1056701080489886,0.1291913830498169,0.1444213015034662,0.1144055501411351,Experiment 1
1,199724,0.2975349939190888,0.2623632265849193,0.0709120376848095,0.0372271588951803,0.1487548087936654,0.1213453903739638,Experiment 1
1,241220,0.7719182426876544,0.7404740287912661,0.0473920182237737,0.0257494747992197,0.2632228430394832,0.2158895225718841,Experiment 1
1,243787,0.514767307581269,0.5184469833158533,0.0587373744703083,0.0692619041126021,0.1786304048296419,0.1415010455313367,Experiment 1
1,312070,0.8126697330042625,0.807434665658801,0.0587150914218139,0.0539602855627659,0.2197990104221826,0.1781039627748197,Experiment 1
1,328537,0.7998376453752494,0.8034876974746452,0.0483573180138381,0.0782425011881751,0.1603994991183743,0.1277697727658681,Experiment 1
1,349889,0.8145279089615933,0.7911162681219029,0.1130123602186192,0.0680025559408162,0.2193301488155258,0.1739692924262576,Experiment 1
1,384894,0.5951724786753639,0.5968736180835674,0.0247499258568825,0.0341399742899335,0.1727006568278923,0.1410086861612368,Experiment 1
1,658375,0.4349736246686925,0.439163303780823,0.1549998698153982,0.1804072360845245,0.1962204684898329,0.1566594836806547,Experiment 1
1,730111,0.6003566677570601,0.5936669667735975,0.0869427191166321,0.0783566832031671,0.1793612969866772,0.1503855584285756,Experiment 1
1,743968,0.6901451668157509,0.6882719623398115,0.0537607369060357,0.0525952254167375,0.1358642433571697,0.105118721649716,Experiment 1
1,785063,0.9724119104468668,0.920448355716028,0.0711099291491878,0.0407636168037602,0.1917714911561095,0.1556748493914227,Experiment 1
1,785667,0.4632948290310377,0.477593025505405,0.1283669321524174,0.1392007838250891,0.1785731535842124,0.1423281624044348,Experiment 1
1,787955,0.4460303660485621,0.4574563083734063,0.0714268480567424,0.0893590290914524,0.1081808393231522,0.0835920141412552,Experiment 1
1,803870,0.5633596308425123,0.5560085267415076,0.0578785968274783,0.0663989419874934,0.1896862178552201,0.1516892732795528,Experiment 1
1,820531,0.4689623669392168,0.4826517255464295,0.0404880605707628,0.061647804690414,0.1449353209886723,0.1169956381136332,Experiment 1
1,828098,0.8108079382213736,0.7944170537204198,0.0873496413079747,0.04850931011197,0.225210418236868,0.1888027090684905,Experiment 1
1,882052,0.7499963667259172,0.7105783191808179,0.0778569097089344,0.0105228972340098,0.2758118419649312,0.2240762297178208,Experiment 1
1,897347,0.6819032737358225,0.6738225490183807,0.0640966750238777,0.092484911151077,0.198557737428558,0.1562102415686508,Experiment 1
1,919598,0.7300479976908971,0.7437838612176972,0.0169635950265089,0.0509008605809277,0.1383002797025915,0.1109530575902021,Experiment 1
1,994851,0.6610859042494546,0.677970649053669,0.026183091102446,0.0552820243118677,0.1753425417927485,0.1435571987519792,Experiment 1
2,2046,0.4033963038800946,0.3932801479497106,0.0707773677157275,0.0742195073578582,0.1718707749417055,0.136949783471801,Experiment 2
2,62573,0.3907257327897911,0.3989425831529558,0.0794234290931693,0.0869772737949511,0.1950475900901772,0.15283995081973,Experiment 2
2,82622,0.6277072668153804,0.6480200171960303,0.0860439634668442,0.1146728017541795,0.1708123945689633,0.136725079835677,Experiment 2
2,118354,0.7628800994483166,0.7391895345672037,0.1007937884791222,0.0644770796340132,0.2765515222278009,0.2305564577530373,Experiment 2
2,169207,0.6064550028032522,0.6066687978675646,0.1263813631920019,0.1250531035668083,0.1673946847687368,0.1348402322110873,Experiment 2
2,183923,0.7860791754056736,0.7963783627656233,-0.0270556059841991,0.0524837302331139,0.2083192494499156,0.1640425717107722,Experiment 2
2,184189,0.6219492189783737,0.6257867456805731,0.1501483905666596,0.125202731297139,0.2161354372795365,0.1757941773035224,Experiment 2
2,189058,0.517684327988097,0.5216100600102364,0.2194281065764344,0.2067612311037903,0.1874865935252503,0.149902483332976,Experiment 2
2,194491,0.2309795537983616,0.2500777386093185,0.1703329112122937,0.1005479323894374,0.1976699792385729,0.1602002373795409,Experiment 2
2,203316,0.5636659642931285,0.5707297738094564,0.0996492878118109,0.1018862312822031,0.1486448001296638,0.1179837243510488,Experiment 2
2,298043,0.5037321290555823,0.4745461463233707,0.0699023874475611,0.0721558998129918,0.2214934930043149,0.1754901611076577,Experiment 2
2,372056,0.3582576534007722,0.385516176210902,0.2922953952212031,0.218908020792831,0.211262243918157,0.1722072806335489,Experiment 2
2,469417,0.5882878505626865,0.5676776973797681,0.1696572490802632,0.1600047401477131,0.2333762832370136,0.187334169327641,Experiment 2
2,551900,0.4872923753007875,0.5064648975434564,0.0937191008912505,0.1037771530960336,0.1465943153596951,0.1158588000354004,Experiment 2
2,555268,0.567372778877723,0.5647617720325806,0.0708538982532973,0.1007620104647565,0.1933966685548519,0.1587498762211533,Experiment 2
2,611856,0.7503751736672817,0.7753586432446036,0.0528295373087253,0.0716908682499133,0.1709705147355505,0.1384820312357706,Experiment 2
2,624708,0.372361467625899,0.4076416917315413,0.1845049032370041,0.1670337857105445,0.256445249050274,0.2072088385754209,Experiment 2
2,742322,0.3431401459854009,0.3671367923052216,0.1459307821989752,0.1329703737418251,0.1944493917558159,0.1512306110083717,Experiment 2
2,753780,0.3910939368534707,0.3905382314881609,0.1739450748314522,0.1440496029667045,0.240276876215729,0.1891330502513882,Experiment 2
2,815266,0.5105034402683412,0.5069906910714865,0.0064907615372801,0.0122921198092864,0.1275324670264371,0.0990586715304837,Experiment 2
2,885939,0.6171527525636626,0.6163875820180749,0.2251145048137921,0.170288328778068,0.2330228074065383,0.1893310844216973,Experiment 2
2,898122,0.2228513007583753,0.2299780585172973,-0.1389928342629922,-0.0531499541234053,0.2221670492322285,0.1716802343873762,Experiment 2
