dataset,channel,condition,beta,se,z,p,n_obs
experiment1,current_duration,High coherence,-0.38623911531153465,0.04208693061993229,-9.177174710113276,4.4254992217736096e-20,4693
experiment1,current_duration,Low coherence,-0.3712272368656931,0.04210422100133605,-8.816865103712841,1.1770891348399994e-18,4693
experiment1,current_duration,Low coherence - High coherence,0.015011878445841549,0.020322118978180793,0.7386965139786515,0.46009130306515955,4693
experiment1,previous_duration,High coherence,0.018916213117781105,0.01414207269241868,1.3375842091323544,0.18103201480121367,4693
experiment1,previous_duration,Low coherence,0.06645356528816651,0.014473288049911933,4.591462911468197,4.401498675024224e-06,4693
experiment1,previous_duration,Low coherence - High coherence,0.04753735217038541,0.020086574785911738,2.3666231140476484,0.017951202674153267,4693
experiment2,current_duration,Switch,-0.48692399755315924,0.03508838892310577,-13.877069095997134,8.723883832347113e-44,4654
experiment2,current_duration,Same,-0.4862864637676028,0.03553473000027368,-13.684822250340936,1.2511271957227638e-42,4654
experiment2,current_duration,Same - Switch,0.0006375337855563951,0.021933782984996167,0.029066294035666393,0.9768117178963768,4654
experiment2,previous_duration,Switch,0.0788810633332196,0.018591490702909184,4.242858444959249,2.2069064987716568e-05,4654
experiment2,previous_duration,Same,0.1077640815314059,0.019410342805348216,5.551889660687147,2.825979574463577e-08,4654
experiment2,previous_duration,Same - Switch,0.028883018198186297,0.021646304753316865,1.3343163430127976,0.18210020374178848,4654
