dataset,grouping,contrast,N,mean_a,sem_a,mean_b,sem_b,mean_diff,sem_diff,t,df,p,dz
experiment1,current_coherence_label,Low - High,22,0.06456870453957707,0.011992915804818437,0.016850391842348263,0.010863221903234823,0.047718312697228794,0.013549875791518185,3.521678975618287,21,0.0020260171604278613,0.7508244803763111
experiment2,same_switch_label,Same - Switch,22,0.10786464503908846,0.01587631370389636,0.07996709797374092,0.017694615187201293,0.02789754706534753,0.012325196718803957,2.263456535568766,21,0.03432349384889393,0.4825705548230492
experiment1,same_switch_label,Same - Switch,22,0.04209871147590679,0.009749341382469247,0.04358284235858155,0.012403362290962922,-0.0014841308826747453,0.014444054493843,-0.10275029655332432,21,0.9191360305386755,-0.021906436830920157
experiment2,current_coherence_label,Low - High,22,0.1091821750635452,0.022783580692642243,0.07989653900656847,0.01608213895726507,0.02928563605697672,0.023667145623803676,1.2373961998831893,21,0.22959809971739806,0.26381375623080605
