exp,model_id,model_name,mean_AIC,sem_AIC,mean_BIC,mean_RMSE,n_subjects,success_rate,delta_AIC,manuscript_experiment
2,C1_S0_B2,C_Q1__S_baseline__B_B2,-116.77443719565872,21.331492208728896,-89.88549123176371,0.1825156392218074,22,1.0,0.0,Experiment 1
2,C3_S0_B2,C_Q3__S_baseline__B_B2,-116.4733925863914,21.567473486001305,-89.58444662249639,0.1827509848842544,22,1.0,0.301044609267322,Experiment 1
2,C9_S0_B2,C_Q1_Q3__S_baseline__B_B2,-116.2386343207992,21.44358466243382,-85.9885701114173,0.1819369663867658,22,1.0,0.5358028748595274,Experiment 1
2,C2_S0_B2,C_Q2__S_baseline__B_B2,-115.80393297178976,21.447628669309275,-88.91498700789475,0.1829917406628864,22,1.0,0.9705042238689714,Experiment 1
2,C8_S0_B2,C_Q1_Q2__S_baseline__B_B2,-115.62603456814875,21.37653560659903,-85.37597035876689,0.1821762281945423,22,1.0,1.1484026275099524,Experiment 1
2,C1_S2_B2,C_Q1__S_K_reset__B_B2,-115.3849594496928,21.385853771328527,-85.13489524031091,0.1822827348242524,22,1.0,1.3894777459659196,Experiment 1
2,C10_S0_B2,C_Q2_Q3__S_baseline__B_B2,-114.82636048857177,21.517498182085436,-84.57629627918989,0.1825800869636991,22,1.0,1.948076707086955,Experiment 1
2,C1_S1_B2,C_Q1__S_x_reset__B_B2,-114.81848101342294,21.35435673787669,-84.56841680404108,0.1824908803161061,22,1.0,1.9559561822357807,Experiment 1
2,C3_S2_B2,C_Q3__S_K_reset__B_B2,-114.69399421133092,21.557082185122137,-84.44393000194906,0.1826530130569045,22,1.0,2.0804429843277887,Experiment 1
2,C3_S1_B2,C_Q3__S_x_reset__B_B2,-114.60139403153045,21.550363686343573,-84.35132982214856,0.1826763456391727,22,1.0,2.173043164128288,Experiment 1
2,C9_S1_B2,C_Q1_Q3__S_x_reset__B_B2,-114.4952254927472,21.432420736599852,-80.88404303787844,0.1818097447925813,22,1.0,2.2792117029115246,Experiment 1
2,C9_S2_B2,C_Q1_Q3__S_K_reset__B_B2,-114.43246404549,21.441843074938937,-80.82128159062125,0.1818530754777768,22,1.0,2.3419731501687124,Experiment 1
1,C1_S0_B2,C_Q1__S_baseline__B_B2,-76.31123925242963,18.434610970248897,-49.49071231598084,0.1995872902598604,22,1.0,0.0,Experiment 2
1,C3_S1_B2,C_Q3__S_x_reset__B_B2,-76.25920947805793,18.42738969833929,-46.08611667455303,0.1986805585671137,22,1.0,0.0520297743717037,Experiment 2
1,C1_S1_B2,C_Q1__S_x_reset__B_B2,-76.135266925306,18.54619147545174,-45.9621741218011,0.1987804327098235,22,1.0,0.1759723271236311,Experiment 2
1,C9_S1_B2,C_Q1_Q3__S_x_reset__B_B2,-75.88406218471404,18.51342477220694,-42.358403514153046,0.1979520433199653,22,1.0,0.4271770677155899,Experiment 2
1,C8_S1_B2,C_Q1_Q2__S_x_reset__B_B2,-75.8212030236065,18.605214948747523,-42.29554435304551,0.1980061464845524,22,1.0,0.4900362288231292,Experiment 2
1,C3_S0_B2,C_Q3__S_baseline__B_B2,-75.73047944089846,18.343601556302037,-48.90995250444966,0.199818973785442,22,1.0,0.5807598115311663,Experiment 2
1,C2_S0_B2,C_Q2__S_baseline__B_B2,-75.59691755897207,18.398239667211183,-48.77639062252327,0.199913305612906,22,1.0,0.7143216934575634,Experiment 2
1,C9_S0_B2,C_Q1_Q3__S_baseline__B_B2,-75.4408948026854,18.478638333392507,-45.2678019991805,0.1990740242974285,22,1.0,0.8703444497442234,Experiment 2
1,C5_S1_B2,C_Q1_R__S_x_reset__B_B2,-75.30430819082227,18.554249925972197,-41.77864952026128,0.1982263785739742,22,1.0,1.0069310616073608,Experiment 2
1,C8_S0_B2,C_Q1_Q2__S_baseline__B_B2,-75.13386281069536,18.47514943652128,-44.96077000719046,0.1992201986061852,22,1.0,1.1773764417342676,Experiment 2
1,C10_S1_B2,C_Q2_Q3__S_x_reset__B_B2,-74.99582235014617,18.516015200441867,-41.47016367958517,0.1983609931151444,22,1.0,1.3154169022834594,Experiment 2
1,C1_S2_B2,C_Q1__S_K_reset__B_B2,-74.99567582011504,18.4759981036552,-44.82258301661015,0.1992837511067892,22,1.0,1.3155634323145904,Experiment 2
