dataset,lag,predictor,condition,subID,slope
experiment1,-1,preDur1back,High,243787,0.013407004469499932
experiment1,-1,preDur1back,Low,243787,0.12892814195402338
experiment1,-1,preDur1back,High,312070,0.011347013649946263
experiment1,-1,preDur1back,Low,312070,0.08527605803811651
experiment1,-1,preDur1back,High,328537,0.06831731690699452
experiment1,-1,preDur1back,Low,328537,0.041584109729400964
experiment1,-1,preDur1back,High,349889,0.09761390086277741
experiment1,-1,preDur1back,Low,349889,0.15435266560842467
experiment1,-1,preDur1back,High,384894,0.009093485432020296
experiment1,-1,preDur1back,Low,384894,0.13113785438553996
experiment1,-1,preDur1back,High,658375,0.016692510693159135
experiment1,-1,preDur1back,Low,658375,0.013251831686810062
experiment1,-1,preDur1back,High,730111,0.09880190412482734
experiment1,-1,preDur1back,Low,730111,0.07881750396583063
experiment1,-1,preDur1back,High,743968,0.0896682580638094
experiment1,-1,preDur1back,Low,743968,0.03235147950790489
experiment1,-1,preDur1back,High,785063,0.029378695220247136
experiment1,-1,preDur1back,Low,785063,0.04694204504786542
experiment1,-1,preDur1back,High,785667,0.05155564147419492
experiment1,-1,preDur1back,Low,785667,0.1848489401454192
experiment1,-1,preDur1back,High,787955,0.048465637784869675
experiment1,-1,preDur1back,Low,787955,0.02814741172356426
experiment1,-1,preDur1back,High,803870,-0.0917616533118509
experiment1,-1,preDur1back,Low,803870,-0.02029002888688758
experiment1,-1,preDur1back,High,820531,0.03725359698113727
experiment1,-1,preDur1back,Low,820531,0.013795274235557287
experiment1,-1,preDur1back,High,828098,-0.05445253232159153
experiment1,-1,preDur1back,Low,828098,0.08806513173346389
experiment1,-1,preDur1back,High,882052,0.015005707367803102
experiment1,-1,preDur1back,Low,882052,0.09608327205939529
experiment1,-1,preDur1back,High,897347,0.0006210063020925943
experiment1,-1,preDur1back,Low,897347,0.07444056341779419
experiment1,-1,preDur1back,High,919598,-0.001189976588110056
experiment1,-1,preDur1back,Low,919598,0.054359986016158594
experiment1,-1,preDur1back,High,994851,-0.02043421149283774
experiment1,-1,preDur1back,Low,994851,0.05356300575635038
experiment1,1,postDur1,High,026578,0.08572152040904657
experiment1,1,postDur1,Low,026578,-0.07315661588911355
experiment1,1,postDur1,High,109550,-0.042538393916375566
experiment1,1,postDur1,Low,109550,-0.03183867127463691
experiment1,1,postDur1,High,199724,-0.039115029516544074
experiment1,1,postDur1,Low,199724,-0.016963253751194042
experiment1,1,postDur1,High,241220,-0.10009682398565026
experiment1,1,postDur1,Low,241220,0.002933360260507549
experiment1,1,postDur1,High,243787,-0.127397510749126
experiment1,1,postDur1,Low,243787,-0.060755906832020194
experiment1,1,postDur1,High,312070,-0.1233244484779485
experiment1,1,postDur1,Low,312070,0.08574824847117396
experiment1,1,postDur1,High,328537,0.042003090560353645
experiment1,1,postDur1,Low,328537,-0.02680155083102931
experiment1,1,postDur1,High,349889,-0.048230358692883946
experiment1,1,postDur1,Low,349889,0.0913680410724984
experiment1,1,postDur1,High,384894,0.08302838600178276
experiment1,1,postDur1,Low,384894,-0.05494796962639865
experiment1,1,postDur1,High,658375,0.003163100420950944
experiment1,1,postDur1,Low,658375,0.030622083287748333
experiment1,1,postDur1,High,730111,-0.05924151514406796
experiment1,1,postDur1,Low,730111,0.050355170880735226
experiment1,1,postDur1,High,743968,0.031358792364052764
experiment1,1,postDur1,Low,743968,-0.0030570010041796073
experiment1,1,postDur1,High,785063,0.029867842126029512
experiment1,1,postDur1,Low,785063,0.0596681566351093
experiment1,1,postDur1,High,785667,-0.06331408719238947
experiment1,1,postDur1,Low,785667,-0.041554736482834545
experiment1,1,postDur1,High,787955,0.020774413502843217
experiment1,1,postDur1,Low,787955,0.05080426962777593
experiment1,1,postDur1,High,803870,-0.03685313629452102
experiment1,1,postDur1,Low,803870,-0.011699813310042165
experiment1,1,postDur1,High,820531,0.05735294277325628
experiment1,1,postDur1,Low,820531,-0.029193697803892492
experiment1,1,postDur1,High,828098,-0.007214965591706729
experiment1,1,postDur1,Low,828098,0.031103694744695713
experiment1,1,postDur1,High,882052,0.05142817741537028
experiment1,1,postDur1,Low,882052,-0.1573575618166182
experiment1,1,postDur1,High,897347,-0.03872410382635088
experiment1,1,postDur1,Low,897347,0.05324444286741944
experiment1,1,postDur1,High,919598,-0.016844528273605212
experiment1,1,postDur1,Low,919598,0.08044781753801555
experiment1,1,postDur1,High,994851,-0.040600686102672374
experiment1,1,postDur1,Low,994851,-0.0499864048533906
experiment1,2,postDur2,High,026578,-0.035837184104753256
experiment1,2,postDur2,Low,026578,-0.12192171797619503
experiment1,2,postDur2,High,109550,0.023820449327911657
experiment1,2,postDur2,Low,109550,-0.013937926295508227
experiment1,2,postDur2,High,199724,-0.08116882665851642
experiment1,2,postDur2,Low,199724,-0.05263301170703704
experiment1,2,postDur2,High,241220,-0.04814866019242867
experiment1,2,postDur2,Low,241220,-0.11537595600153099
experiment1,2,postDur2,High,243787,0.03534867258569637
experiment1,2,postDur2,Low,243787,0.0397296654288925
