dataset,condition,lag,mean,sem,N,t,p,p_bonferroni_5
experiment1,High,-3,0.020163762551397818,0.012066572103837984,22,1.6710431411572455,0.10955054922752981,0.547752746137649
experiment1,High,-2,0.030294897524275843,0.012348113521084262,22,2.4534029001715645,0.02297118538356999,0.11485592691784995
experiment1,High,-1,0.016850391842348263,0.010863221903234823,22,1.5511412721239355,0.1358086004991274,0.6790430024956371
experiment1,High,1,-0.015399878281370731,0.013037094307212982,22,-1.181235474598853,0.25071455283666977,1.0
experiment1,High,2,0.006034188336712609,0.011624792368149716,22,0.5190792356210534,0.6091331072058506,1.0
experiment1,Low,-3,0.012874005025484353,0.01414528233688544,22,0.9101271165096447,0.37308399909598966,1.0
experiment1,Low,-2,0.02548516836670385,0.014606540463411057,22,1.7447778569157715,0.09564253858125214,0.47821269290626073
experiment1,Low,-1,0.06456870453957707,0.011992915804818437,22,5.383903763723168,2.4351909471644392e-05,0.00012175954735822196
experiment1,Low,1,-0.0009553590040759495,0.013129883456219087,22,-0.07276218461965366,0.9426839462606605,1.0
experiment1,Low,2,-0.004159911871825464,0.016064189713939594,22,-0.2589555991246622,0.7981908979796842,1.0
experiment2,Same,-3,0.009792588772330753,0.017625309359202528,22,0.5555981215851876,0.5843567847244296,1.0
experiment2,Same,-2,0.06669929082197766,0.011461842409253466,22,5.819246892465513,8.916346456750893e-06,4.4581732283754467e-05
experiment2,Same,-1,0.10786464503908846,0.01587631370389636,22,6.794061080603135,1.0175158795095747e-06,5.0875793975478735e-06
experiment2,Same,1,0.016504770524414753,0.022652116080049974,22,0.7286193689847249,0.4742822695415029,1.0
experiment2,Same,2,-0.0021547236695054037,0.017871174975466815,22,-0.12056978192331305,0.905177953231086,1.0
experiment2,Switch,-3,0.0030573158967872466,0.018215492334409628,22,0.16784151867319455,0.8683138428726801,1.0
experiment2,Switch,-2,0.07356129441711935,0.011801311802167685,22,6.233315045841556,3.4961337136574772e-06,1.7480668568287387e-05
experiment2,Switch,-1,0.07996709797374092,0.017694615187201293,22,4.519290028504377,0.00018777196718718954,0.0009388598359359476
experiment2,Switch,1,-0.01574741132227003,0.01770204156747947,22,-0.8895816486613438,0.38376825699187267,1.0
experiment2,Switch,2,-0.01428993645171573,0.014359079796991258,22,-0.9951846952414029,0.3309760908736131,1.0
