,q1,q1,q2,q2,q3,q3,lambda,lambda,alpha_q1,alpha_q1,alpha_d0,alpha_d0,d0,d0,r_base,r_base
,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem
display_experiment,,,,,,,,,,,,,,,,
Experiment 1,5.437325358329683,1.4752820201141843,0.05070454564878615,0.021355007377776684,1.726559201203022,0.4055392602495466,0.5087435583690957,0.05797621216386177,-0.4297423383335954,0.6548613611992716,-0.20554448534523867,0.04110261735920093,0.19830496941901543,0.02854889799410318,4.088958547410623,0.8762373503734999
Experiment 2,1.6166905863511822,0.5471217255658132,0.3034964518908805,0.1493858950363029,1.004859988109999,0.34852100276295067,0.46016690757104173,0.07173666318413825,-2.1263763652791883,0.6938053514260203,-0.03081693924280946,0.02158819850029639,0.00018114348102726263,0.01813935022414178,3.1269005855014496,0.7742541518723993
