dataset,grouping,subID,condition,n_trials,ct_slope,sdi_slope
experiment2_fixed,current_coherence_label,062573,Low,109,-0.5725732892052496,0.17851921769744336
experiment2_fixed,current_coherence_label,082622,High,116,-0.38151280424670486,0.16809872069630702
experiment2_fixed,current_coherence_label,082622,Low,114,-0.3872914914947621,0.025737633978629885
experiment2_fixed,current_coherence_label,118354,High,109,-0.32220697137985876,-0.017816211314145455
experiment2_fixed,current_coherence_label,118354,Low,98,-0.15017820088660394,0.14916710889888646
experiment2_fixed,current_coherence_label,169207,High,112,-0.37216668254755375,0.14549418251223112
experiment2_fixed,current_coherence_label,169207,Low,113,-0.41335920929911263,0.020202533362046256
experiment2_fixed,current_coherence_label,183923,High,110,-0.3374093230848317,-0.0407002163141789
experiment2_fixed,current_coherence_label,183923,Low,103,-0.07908992621182545,0.09959637257834482
experiment2_fixed,current_coherence_label,184189,High,102,-0.32407632608770587,0.10555959254533405
experiment2_fixed,current_coherence_label,184189,Low,105,-0.4308046720068042,0.21077147477650088
experiment2_fixed,current_coherence_label,189058,High,112,-0.47986601899980497,0.21377878443825502
experiment2_fixed,current_coherence_label,189058,Low,108,-0.4475145019729962,0.1968457363792391
experiment2_fixed,current_coherence_label,194491,High,102,-0.695476942816814,0.11255761686839459
experiment2_fixed,current_coherence_label,194491,Low,96,-0.8439115617415722,0.10345761937483602
experiment2_fixed,current_coherence_label,203316,High,108,-0.3722377478848594,0.06267471586543774
experiment2_fixed,current_coherence_label,203316,Low,113,-0.4992575330115212,0.055147794248718976
experiment2_fixed,current_coherence_label,298043,High,110,-0.4468366847487294,0.02188456536784037
experiment2_fixed,current_coherence_label,298043,Low,104,-0.5604171465288625,0.08825412702593961
experiment2_fixed,current_coherence_label,372056,High,95,-0.7234820664440571,0.0815449630016231
experiment2_fixed,current_coherence_label,372056,Low,91,-0.5676228272863632,0.3295157661015178
experiment2_fixed,current_coherence_label,469417,High,104,-0.40696224508717077,0.19541552436077408
experiment2_fixed,current_coherence_label,469417,Low,97,-0.3910594177537385,0.09136585227850463
experiment2_fixed,current_coherence_label,551900,High,111,-0.45320618911613186,0.060167012145808205
experiment2_fixed,current_coherence_label,551900,Low,113,-0.5639838018004286,0.08215453518242224
experiment2_fixed,current_coherence_label,555268,High,102,-0.3792769462694624,0.04750599078718053
experiment2_fixed,current_coherence_label,555268,Low,105,-0.46874487331957865,0.0982689267363647
experiment2_fixed,current_coherence_label,611856,High,115,-0.1988931216788105,0.02806174031367403
experiment2_fixed,current_coherence_label,611856,Low,114,-0.2987372661188285,0.06196920161265495
experiment2_fixed,current_coherence_label,624708,High,95,-0.5855476970319617,0.095536836923024
experiment2_fixed,current_coherence_label,624708,Low,97,-0.6893321948120581,0.2691417309509443
experiment2_fixed,current_coherence_label,742322,High,110,-0.6040810044570741,0.11817718860315866
experiment2_fixed,current_coherence_label,742322,Low,104,-0.7090180886171824,0.1767372409651588
experiment2_fixed,current_coherence_label,753780,High,95,-0.4669938780930063,0.07464574172757021
experiment2_fixed,current_coherence_label,753780,Low,96,-0.7217980001993674,-0.029427644995321606
experiment2_fixed,current_coherence_label,815266,High,113,-0.5042728361687446,0.10568016616184411
experiment2_fixed,current_coherence_label,815266,Low,115,-0.49260969736482335,0.04470107009228767
experiment2_fixed,current_coherence_label,885939,High,103,-0.4150931311057228,0.19953849934124765
experiment2_fixed,current_coherence_label,885939,Low,101,-0.3436334015090442,0.22688147711197984
experiment2_fixed,current_coherence_label,898122,High,94,-0.7444060181402954,-0.03119520354030394
experiment2_fixed,current_coherence_label,898122,Low,106,-0.7913251052324911,-0.1690918864601966
experiment2_fixed,same_switch_label,002046,Same,94,-0.5632137265462673,0.08563536081685177
experiment2_fixed,same_switch_label,002046,Switch,128,-0.627188663282112,-1.9514552353588205e-05
experiment2_fixed,same_switch_label,062573,Same,108,-0.6574369915013116,0.11960664630197862
experiment2_fixed,same_switch_label,062573,Switch,113,-0.550032402567056,0.10638383865008118
experiment2_fixed,same_switch_label,082622,Same,101,-0.4151795789327131,0.09657846732884225
experiment2_fixed,same_switch_label,082622,Switch,129,-0.3498625934132007,0.0750094060114501
experiment2_fixed,same_switch_label,118354,Same,90,-0.20939702169739954,0.11031203536734374
experiment2_fixed,same_switch_label,118354,Switch,117,-0.2581682732666989,0.028535384862107317
experiment2_fixed,same_switch_label,169207,Same,103,-0.4306473495942967,0.12085334572185735
experiment2_fixed,same_switch_label,169207,Switch,122,-0.3449056336090572,0.04812780068419269
experiment2_fixed,same_switch_label,183923,Same,94,-0.07888637848676079,0.02129903648218885
experiment2_fixed,same_switch_label,183923,Switch,119,-0.30493496675498144,0.026214678545997763
experiment2_fixed,same_switch_label,184189,Same,92,-0.41164763473725613,0.1894854444285226
experiment2_fixed,same_switch_label,184189,Switch,115,-0.357829981197628,0.13664855363905531
experiment2_fixed,same_switch_label,189058,Same,97,-0.42300178797960364,0.20455703441671544
experiment2_fixed,same_switch_label,189058,Switch,123,-0.4876370874419615,0.18592423887731488
experiment2_fixed,same_switch_label,194491,Same,87,-0.7684179736627589,0.06362753618501629
experiment2_fixed,same_switch_label,194491,Switch,111,-0.766774042025621,0.14006649936965404
experiment2_fixed,same_switch_label,203316,Same,108,-0.446017349701162,0.0816141718556237
experiment2_fixed,same_switch_label,203316,Switch,113,-0.43842871042691234,0.029484699974317973
experiment2_fixed,same_switch_label,298043,Same,102,-0.4934317947553201,0.05368883197077334
experiment2_fixed,same_switch_label,298043,Switch,112,-0.5031796780436775,0.03793103062202138
experiment2_fixed,same_switch_label,372056,Same,94,-0.6574674900365977,0.21614479248419302
experiment2_fixed,same_switch_label,372056,Switch,92,-0.6266701062549107,0.2071500774925571
experiment2_fixed,same_switch_label,469417,Same,98,-0.34755036638591075,0.1771968624865898
experiment2_fixed,same_switch_label,469417,Switch,103,-0.4419679534428036,0.13612634324916079
experiment2_fixed,same_switch_label,551900,Same,113,-0.4690383681053499,0.07240567451063386
experiment2_fixed,same_switch_label,551900,Switch,111,-0.5530281745347612,0.0633995057298902
experiment2_fixed,same_switch_label,555268,Same,99,-0.4104756316807381,0.08113700449775592
experiment2_fixed,same_switch_label,555268,Switch,108,-0.4554734077309508,0.10588704181800596
experiment2_fixed,same_switch_label,611856,Same,97,-0.21738533135305602,0.10923044905364501
experiment2_fixed,same_switch_label,611856,Switch,132,-0.264192544515939,-0.00958648503782996
experiment2_fixed,same_switch_label,624708,Same,92,-0.6011055761768178,0.24756234182554404
experiment2_fixed,same_switch_label,624708,Switch,100,-0.6693736669730919,0.11821247081648302
experiment2_fixed,same_switch_label,742322,Same,109,-0.7362105563687936,0.155313384633787
experiment2_fixed,same_switch_label,742322,Switch,105,-0.5678057784301164,0.13245362513807288
experiment2_fixed,same_switch_label,753780,Same,91,-0.6268640183371706,-0.029162936086686783
experiment2_fixed,same_switch_label,753780,Switch,100,-0.6083138996241032,0.040374652439760114
experiment2_fixed,same_switch_label,815266,Same,105,-0.5097385504442092,0.05982459963083941
experiment2_fixed,same_switch_label,815266,Switch,123,-0.4774133653857122,0.08480723912747243
experiment2_fixed,same_switch_label,885939,Same,97,-0.45580611848799646,0.17270928042912967
experiment2_fixed,same_switch_label,885939,Switch,107,-0.32728265303443044,0.2203075982568427
experiment2_fixed,same_switch_label,898122,Same,94,-0.7720804540053611,-0.036597173481198814
experiment2_fixed,same_switch_label,898122,Switch,106,-0.7678673213647932,-0.154162530291954
