Experiment,subID,curDur,n,mean_error,sd_error,lower,upper
1,026578,0.8,48,0.5176666666666666,0.249957641801637,-0.2322062587382444,1.2675395920715775
1,026578,1.0,48,0.3645208333333333,0.2020489712687994,-0.241626080473065,0.9706677471397318
1,026578,1.2,48,0.2632291666666667,0.2039279430085938,-0.3485546623591148,0.8750129956924482
1,026578,1.4,48,0.1641041666666667,0.1934804668334747,-0.4163372338337574,0.7445455671670909
1,026578,1.6,48,0.0378749999999999,0.2015594126021175,-0.5668032378063526,0.6425532378063523
1,109550,0.8,48,0.5100208333333333,0.1604485056365216,0.0286753164237684,0.991366350242898
1,109550,1.0,48,0.3334791666666667,0.1716674159076123,-0.1815230810561703,0.8484814143895039
1,109550,1.2,48,0.2008125,0.1432203563699078,-0.2288485691097235,0.6304735691097236
1,109550,1.4,48,-0.0433958333333332,0.2161483670491502,-0.6918409344807841,0.6050492678141175
1,109550,1.6,48,-0.2727708333333334,0.264532203693199,-1.0663674444129303,0.5208257777462637
1,199724,0.8,48,0.487625,0.2249607649006396,-0.1872572947019188,1.1625072947019188
1,199724,1.0,48,0.3459375,0.2129173654760846,-0.2928145964282539,0.984689596428254
1,199724,1.2,48,0.1976458333333333,0.1581508153877223,-0.2768066128298335,0.6720982794965003
1,199724,1.4,48,0.0002708333333334,0.1916550247003918,-0.574694240767842,0.5752359074345089
1,199724,1.6,48,-0.1501458333333334,0.1858261587044871,-0.7076243094467949,0.407332642780128
1,241220,0.8,48,-0.0251458333333333,0.3033195765429333,-0.9351045629621336,0.8848128962954667
1,241220,1.0,48,-0.1566458333333333,0.3022707317975368,-1.063458028725944,0.7501663620592771
1,241220,1.2,48,-0.3101249999999999,0.332805842381717,-1.308542527145151,0.688292527145151
1,241220,1.4,48,-0.2735416666666666,0.4379143488747024,-1.587284713290774,1.0402013799574408
1,241220,1.6,48,-0.4876666666666667,0.4263012286970945,-1.7665703527579502,0.7912370194246168
1,243787,0.8,48,0.5642708333333333,0.2067866347777221,-0.056089070999833,1.1846307376664995
1,243787,1.0,48,0.4091875,0.2332308377342343,-0.2905050132027031,1.108880013202703
1,243787,1.2,48,0.3016041666666667,0.2176994550940055,-0.35149419861535,0.9547025319486836
1,243787,1.4,48,0.1864166666666667,0.2027034132886401,-0.4216935731992536,0.7945269065325872
1,243787,1.6,48,0.0558749999999999,0.3256990272981771,-0.9212220818945316,1.0329720818945312
1,312070,0.8,48,0.3281874999999999,0.2697957191157626,-0.4811996573472879,1.1375746573472878
1,312070,1.0,48,0.2700833333333333,0.268268588286055,-0.5347224315248318,1.0748890981914985
1,312070,1.2,48,0.2827083333333334,0.2609643293741,-0.5001846547889668,1.0656013214556337
1,312070,1.4,48,0.2053541666666667,0.2575609400794498,-0.5673286535716826,0.978036986905016
1,312070,1.6,48,0.1350208333333332,0.2688405752037562,-0.6715008922779355,0.941542558944602
1,328537,0.8,48,0.3829999999999999,0.1867189263219144,-0.1771567789657432,0.9431567789657432
1,328537,1.0,48,0.4000833333333333,0.2100633980627604,-0.2301068608549481,1.0302735275216148
1,328537,1.2,48,0.3289166666666667,0.2241456435078453,-0.3435202638568693,1.0013535971902028
1,328537,1.4,48,0.2525000000000001,0.1694421384953351,-0.2558264154860053,0.7608264154860056
1,328537,1.6,48,0.1624374999999999,0.2109001887805214,-0.4702630663415644,0.7951380663415643
1,349889,0.8,48,0.2091874999999999,0.2776096031395872,-0.6236413094187618,1.0420163094187618
1,349889,1.0,48,0.1660208333333333,0.2446843811223925,-0.5680323100338442,0.9000739767005108
1,349889,1.2,48,0.1318333333333333,0.2449271131992982,-0.6029480062645612,0.866614672931228
1,349889,1.4,48,0.1681875,0.2903917864328458,-0.7029878592985376,1.0393628592985378
1,349889,1.6,48,-0.0148958333333334,0.4292538424509037,-1.3026573606860443,1.2728656940193777
1,384894,0.8,48,-0.0156041666666667,0.181299181392964,-0.5595017108455588,0.5282933775122253
1,384894,1.0,48,-0.0564583333333333,0.2402115165745295,-0.7770928830569219,0.6641762163902551
1,384894,1.2,48,-0.1207708333333332,0.2112884727231321,-0.7546362515027298,0.5130945848360633
1,384894,1.4,48,-0.2789374999999999,0.241410871289169,-1.0031701138675069,0.4452951138675071
1,384894,1.6,48,-0.369375,0.2222587743283883,-1.0361513229851649,0.2974013229851648
1,658375,0.8,48,0.0964166666666666,0.2725614381908279,-0.7212676479058171,0.9141009812391504
1,658375,1.0,48,0.0138124999999999,0.2733270705583331,-0.8061687116749994,0.8337937116749994
1,658375,1.2,48,-0.1194791666666666,0.2931362321866189,-0.9988878632265236,0.7599295298931902
1,658375,1.4,48,-0.2038541666666666,0.2315718710716636,-0.8985697798816575,0.4908614465483244
1,658375,1.6,48,-0.5234375000000001,0.336644702297699,-1.533371606893097,0.4864966068930968
1,730111,0.8,48,0.3836249999999999,0.2283700454516188,-0.3014851363548567,1.0687351363548565
1,730111,1.0,48,0.2526666666666666,0.2355720365348211,-0.4540494429377968,0.9593827762711302
1,730111,1.2,48,0.17125,0.2004737474190955,-0.4301712422572866,0.7726712422572867
1,730111,1.4,48,0.0261458333333334,0.3377152262259176,-0.9869998453444194,1.0392915120110864
1,730111,1.6,48,-0.0271875,0.3098247037833944,-0.9566616113501832,0.9022866113501832
1,743968,0.8,48,0.0875624999999999,0.1429670258441554,-0.3413385775324664,0.5164635775324663
1,743968,1.0,48,0.0758749999999999,0.2469175609690279,-0.6648776829070836,0.8166276829070837
1,743968,1.2,48,-0.0579583333333332,0.0967114502524343,-0.3480926840906362,0.2321760174239697
1,743968,1.4,48,-0.0553541666666665,0.1409993948354801,-0.4783523511731071,0.367644017839774
1,743968,1.6,48,-0.1676458333333334,0.1534439380031973,-0.6279776473429255,0.2926859806762587
1,785063,0.8,48,0.1509166666666666,0.2430805691958272,-0.5783250409208152,0.8801583742541483
1,785063,1.0,48,0.2221666666666666,0.1824328886611408,-0.325131999316756,0.7694653326500893
1,785063,1.2,48,0.168875,0.3186704844499635,-0.7871364533498907,1.1248864533498906
1,785063,1.4,48,0.1465416666666667,0.1863711645961032,-0.4125718271216428,0.7056551604549764
1,785063,1.6,48,0.1331666666666665,0.3180885286468809,-0.8210989192739763,1.0874322526073097
1,785667,0.8,48,0.6012708333333333,0.2423944156704666,-0.1259124136780665,1.3284540803447331
1,785667,1.0,48,0.4700833333333333,0.1593351657213842,-0.0079221638308193,0.9480888304974862
1,785667,1.2,48,0.3238125,0.1847654817455924,-0.2304839452367773,0.8781089452367774
1,785667,1.4,48,0.2037708333333334,0.2245524380385971,-0.4698864807824578,0.8774281474491248
1,785667,1.6,48,0.0207291666666665,0.2325930369407763,-0.6770499441556623,0.7185082774889955
1,787955,0.8,48,0.1249583333333332,0.1227439747333177,-0.2432735908666198,0.4931902575332864
1,787955,1.0,48,0.0337083333333333,0.1353784228593557,-0.3724269352447338,0.4398436019114005
1,787955,1.2,48,-0.0890624999999999,0.1153550312933114,-0.4351275938799342,0.2570025938799342
1,787955,1.4,48,-0.2017916666666665,0.1668624045635732,-0.7023788803573863,0.2987955470240531
1,787955,1.6,48,-0.3500625000000001,0.1786541180129322,-0.8860248540387969,0.1858998540387966
1,803870,0.8,48,0.424625,0.2903646735004471,-0.4464690205013414,1.2957190205013414
1,803870,1.0,48,0.3719791666666667,0.2531051828771801,-0.3873363819648737,1.1312947152982071
1,803870,1.2,48,0.1867083333333333,0.2938027242558207,-0.6946998394341287,1.0681165061007951
1,803870,1.4,48,0.0759375000000001,0.2903894235113153,-0.795230770533946,0.9471057705339462
1,803870,1.6,48,-0.0075833333333334,0.3228515786611111,-0.9761380693166668,0.96097140265
1,820531,0.8,48,0.2438958333333332,0.1842344989967063,-0.3088076636567856,0.7965993303234522
1,820531,1.0,48,0.1902916666666666,0.1928480780450605,-0.3882525674685149,0.7688359008018482
