model_id,model_name,c_id,s_id,b_id,n_params,AIC,BIC,RMSE,DW,RSS,N,success,Sub,exp,q1,q2,q3,lambda,r_base,d0,alpha_d0,alpha_q1,alpha_q2,x_reset,k_reset,alpha_q3,r_low
C1_S0_B1,C_Q1__S_baseline__B_B1,C1,S0,B1,8,-131.5601162759206,-104.33869722094236,0.173551457695026,1.407143440878236,6.6866640799111865,222,True,2046,1,0.0397390178840113,0.0030433213316119,1.2772006268571732,0.0017394153317347,0.1781458559734018,-0.126046014129054,0.0587712765084756,1.685282347697274,,,,,
C1_S0_B2,C_Q1__S_baseline__B_B2,C1,S0,B2,8,-135.88079375835923,-108.659374703381,0.1718707749417055,1.4265145448583154,6.557783047951853,222,True,2046,1,0.0131168050943284,0.0005845746847205,0.0111673781974634,0.6602770650158598,0.1000386828123244,-0.1258663493653221,0.0607593284400959,2.122931534793514,,,,,
C1_S0_B3,C_Q1__S_baseline__B_B3,C1,S0,B3,8,-131.5601162759206,-104.33869722094236,0.173551457695026,1.407143440878236,6.6866640799111865,222,True,2046,1,0.0397390178840113,0.0030433213316119,1.2772006268571732,0.0017394153317347,0.1781458559734018,-0.126046014129054,0.0587712765084756,1.685282347697274,,,,,
C1_S1_B1,C_Q1__S_x_reset__B_B1,C1,S1,B1,9,-129.57156702695087,-98.94747059010037,0.1735469818641542,1.4071096145811248,6.6863191909428705,222,True,2046,1,0.032144495390957,0.0025425202122481,0.0033627327477608,0.5250796399981366,0.1447909279092961,-0.1260822968443116,0.0588339037254532,1.6880463214095318,,,,,
C1_S1_B2,C_Q1__S_x_reset__B_B2,C1,S1,B2,9,-133.63575175757722,-103.0116553207267,0.1719656559831886,1.4264112720048268,6.565025477975702,222,True,2046,1,0.0152358090303271,0.0008205240374182,0.0120258360724887,0.6892338531591724,0.115611893246838,-0.1260825121229334,0.060993632560869,2.1164175630852093,,,,,
C1_S1_B3,C_Q1__S_x_reset__B_B3,C1,S1,B3,9,-129.55899430959465,-98.93489787274412,0.1735518962516417,1.4072106271944669,6.686697873744018,222,True,2046,1,0.0374229945355224,0.003058269731353,0.0090027647621218,0.2643917497681983,0.1687818616422121,-0.1261431564268059,0.0589444675900182,1.68388776643321,,,,,
C1_S2_B1,C_Q1__S_K_reset__B_B1,C1,S2,B1,9,-135.77075458093915,-105.14665814408863,0.1711407329004229,1.4828754403732451,6.502191401608046,222,True,2046,1,0.0263040840073608,0.0011804489645607,2.5257141692447576,0.4094655386450174,0.1000000165115451,-0.1225467168294106,0.0593588429234297,1.9220548613771635,,,,,
C1_S2_B2,C_Q1__S_K_reset__B_B2,C1,S2,B2,9,-137.73754318267356,-107.11344674582304,0.1703843067103933,1.4782977392654444,6.44484025804627,222,True,2046,1,0.0151836671500672,0.0008697635812019,0.0132765199252902,0.520316597850191,0.1005140119550557,-0.122825253321522,0.0604395580633515,2.3824362083116877,,,,,
C1_S2_B3,C_Q1__S_K_reset__B_B3,C1,S2,B3,9,-135.77075458093915,-105.14665814408863,0.1711407329004229,1.4828754403732451,6.502191401608046,222,True,2046,1,0.0263040840073608,0.0011804489645607,2.5257141692447576,0.4094655386450174,0.1000000165115451,-0.1225467168294106,0.0593588429234297,1.9220548613771635,,,,,
C2_S0_B1,C_Q2__S_baseline__B_B1,C2,S0,B1,8,-130.47189940953191,-103.25048035455367,0.1739773434085391,1.4064785514666978,6.719521756327396,222,True,2046,1,0.2724809017874484,0.2211484578974899,4.937046675472156,0.0026179256635687,0.6021523263376648,-0.128760773031892,0.0615393234974627,,,,,,
C2_S0_B2,C_Q2__S_baseline__B_B2,C2,S0,B2,8,-133.83548250557874,-106.6140634506005,0.1726643338254992,1.420155411562643,6.618479822939564,222,True,2046,1,0.0382349636843019,0.0060817564616116,0.0116252242321506,0.6792782936455117,0.100010595574529,-0.1274534377459988,0.0626033477561624,,,,,,
C2_S0_B3,C_Q2__S_baseline__B_B3,C2,S0,B3,8,-130.46319583564204,-103.2417767806638,0.1739807538578748,1.4069438995794503,6.719785202275882,222,True,2046,1,0.3215429783562145,0.2658194025280894,4.982215081367483,0.1328560092555083,0.7127146931167875,-0.1288169380419053,0.0616554114777909,,,,,,
C2_S1_B1,C_Q2__S_x_reset__B_B1,C2,S1,B1,9,-128.41584757722606,-97.79175114037554,0.173999308193332,1.4094969169088978,6.72121855389031,222,True,2046,1,0.4605254538636352,0.4270282513505526,0.0015019224236152,0.1309807623580609,1.0657348819583778,-0.1296625205647415,0.0637275658852831,,-4.999751385561906,0.0925986192861364,,,
C2_S1_B2,C_Q2__S_x_reset__B_B2,C2,S1,B2,9,-131.83653553195498,-101.21243909510446,0.1726639243212601,1.420080672766221,6.618448429167966,222,True,2046,1,0.0384297160663198,0.0059014304386919,0.0115175329729587,0.681008122556241,0.1000000127457077,-0.1274381806247654,0.0626050052444427,,-4.998869057318593,6.986855185608737e-08,,,
C2_S1_B3,C_Q2__S_x_reset__B_B3,C2,S1,B3,9,-128.47723222092986,-97.85313578407934,0.1739752538076649,1.4078714270158024,6.719360344111998,222,True,2046,1,0.2568919878632824,0.2356918508414478,2.580565843204306,0.0049999999999998,0.5898249771353646,-0.129461256495062,0.0631670669383383,,-4.994578583077724,0.0598401780186549,,,
C2_S2_B1,C_Q2__S_K_reset__B_B1,C2,S2,B1,9,-133.39756927955645,-102.77347284270591,0.1720579311954936,1.4636551104447315,6.5720728345746515,222,True,2046,1,0.0674257649815103,0.0157700256175851,0.0040109948403053,0.4912402256526501,0.100000000000346,-0.1253627727839897,0.0622514910723053,,-4.992264856872986,,,,
C2_S2_B2,C_Q2__S_K_reset__B_B2,C2,S2,B2,9,-135.3696864575736,-104.74559002072309,0.1712953952945321,1.465095774429492,6.5139489637024255,222,True,2046,1,0.0509961229892655,0.007724263294298,0.0138264543825114,0.5587687474927072,0.1000000378688725,-0.1254715624666517,0.0641458491637549,,-4.994129244997447,,,,
C2_S2_B3,C_Q2__S_K_reset__B_B3,C2,S2,B3,9,-133.4042220522698,-102.78012561541928,0.1720553531465427,1.4640419743337616,6.571875889296702,222,True,2046,1,0.0676467629694901,0.015401077438516,0.3912800448715929,0.0050000000000001,0.1000000003416571,-0.1253077065763083,0.0622447583626649,,-4.999731177278612,,,,
C3_S0_B1,C_Q3__S_baseline__B_B1,C3,S0,B1,8,-129.1369677041462,-101.91554864916796,0.1745012113375302,1.399549022518047,6.760049352334916,222,True,2046,1,0.3049533711587626,0.0161998884075781,4.978583612633074,0.6112171956732182,0.6047120775205299,-0.1275974574683992,0.0614592127914725,,,,,,
C3_S0_B2,C_Q3__S_baseline__B_B2,C3,S0,B2,8,-131.8517297537024,-104.63031069872416,0.1734375087585147,1.4215243748369533,6.677886416647892,222,True,2046,1,1.859627394761594,0.0397228943475734,3.0911571294841504,0.8298300507350811,4.436658007214568,-0.1287788481747622,0.0630987118034389,,,,,,
C3_S0_B3,C_Q3__S_baseline__B_B3,C3,S0,B3,8,-129.1369677041462,-101.91554864916796,0.1745012113375302,1.399549022518047,6.760049352334916,222,True,2046,1,0.3049533711587626,0.0161998884075781,4.978583612633074,0.6112171956732182,0.6047120775205299,-0.1275974574683992,0.0614592127914725,,,,,,
C3_S1_B1,C_Q3__S_x_reset__B_B1,C3,S1,B1,9,-126.97459077599564,-96.35049433914511,0.1745650405098999,1.399862328268288,6.764995647745504,222,True,2046,1,0.2456673546268167,0.0219694928612647,4.999317975481042,0.0392628748720257,0.5460699399846961,-0.1275174044248166,0.0618282937954624,,,0.1638487186475622,,,
C3_S1_B2,C_Q3__S_x_reset__B_B2,C3,S1,B2,9,-131.34557349608525,-100.72147705923472,0.1728549565689046,1.4255254449751784,6.633101594317219,222,True,2046,1,0.1626027617469283,0.0019989678513502,0.3664918335999715,0.7773895454604144,0.4191635126333662,-0.1283389950555974,0.0634065585893644,,,0.000318879548184,,,
C3_S1_B3,C_Q3__S_x_reset__B_B3,C3,S1,B3,9,-126.97459077599564,-96.35049433914511,0.1745650405098999,1.399862328268288,6.764995647745504,222,True,2046,1,0.2456673546268167,0.0219694928612647,4.999317975481042,0.0392628748720257,0.5460699399846961,-0.1275174044248166,0.0618282937954624,,,0.1638487186475622,,,
C3_S2_B1,C_Q3__S_K_reset__B_B1,C3,S2,B1,9,-133.043583960127,-102.41948752327647,0.1721951615271795,1.4660761489183496,6.582560551048465,222,True,2046,1,0.0707456373923513,0.001298395681349,2.495608082623604,0.7087541282170418,0.1000001397955017,-0.1249045324197418,0.0629489160673152,,,,0.3719169835152309,-4.857339765268049e-19,
C3_S2_B2,C_Q3__S_K_reset__B_B2,C3,S2,B2,9,-134.6547773913389,-104.0306809544884,0.1715714296962654,1.4612797055361253,6.534959718340561,222,True,2046,1,0.1093867324150949,0.0013032428509987,0.1977582783628832,0.7771799100267555,0.2089957009847382,-0.127858007746775,0.0663319302184191,,,,0.2812038140725834,-4.977122107841017,
C3_S2_B3,C_Q3__S_K_reset__B_B3,C3,S2,B3,9,-133.04499742413674,-102.42090098728622,0.1721946133486299,1.4662490548229845,6.582518640315082,222,True,2046,1,0.070702139088939,0.0012897973387116,0.749143530005357,0.9453937995971526,0.1000000002742843,-0.1248968725411679,0.0629778595971717,,,,0.3730875095898306,-4.693702061221803,
C4_S0_B1,C_R__S_baseline__B_B1,C4,S0,B1,8,-129.26473510669564,-102.0433160517174,0.1744510033220198,1.3980782884975502,6.756159868333178,222,True,2046,1,0.4672161617123838,0.0271826387342033,1.2335126720822056,0.0900170591868277,3.4493120114175984,-0.1284685761605609,0.0620656216152308,,,,,,
C4_S0_B2,C_R__S_baseline__B_B2,C4,S0,B2,8,-131.12474314119623,-103.903324086218,0.1737217205329722,1.4078706548096247,6.699790433055815,222,True,2046,1,0.3646551218627055,0.0049895388643049,0.1107643271778049,0.7035843175683908,7.769507222074796,-0.1295345684857673,0.0649090829765909,,,,,,
C4_S0_B3,C_R__S_baseline__B_B3,C4,S0,B3,8,-129.2629875050101,-102.04156845003186,0.1744516899694689,1.3965390949365024,6.756213053571225,222,True,2046,1,0.4765694147272922,0.0241049608546499,0.545577305877867,0.995,0.7454770134995464,-0.1256729005760117,0.0574694418182883,,,,,,
C4_S1_B1,C_R__S_x_reset__B_B1,C4,S1,B1,9,-127.71535022130811,-97.0912537844576,0.1742740430030672,1.4036420972785648,6.742460138348956,222,True,2046,1,0.3782402316085277,0.0337014035413907,0.7217462096753087,0.4573223566798894,7.886858570010623,-0.1302424635556368,0.0654001338188682,,,,,,
C4_S1_B2,C_R__S_x_reset__B_B2,C4,S1,B2,9,-129.87841647708285,-99.25432004023232,0.1734270845699451,1.414515449621616,6.677083713059657,222,True,2046,1,0.4024626910387687,0.0199782488741833,0.0149370301256975,0.999999999982076,7.580213070550199,-0.1281836923067645,0.0623354761487907,,,,,,
C4_S1_B3,C_R__S_x_reset__B_B3,C4,S1,B3,9,-127.70843497989682,-97.0843385430463,0.1742767573194279,1.4038312917712257,6.742670167474001,222,True,2046,1,0.3788563605607231,0.0356935930703943,4.996741850557079,0.2637053022429446,0.1417641048971538,-0.1303147173823697,0.065533618468653,,,,,,
C4_S2_B1,C_R__S_K_reset__B_B1,C4,S2,B1,9,-130.32030982586488,-99.69621338901436,0.1732545662107342,1.43908644591367,6.663806126257072,222,True,2046,1,0.6339192291143355,0.0158071981647073,0.8791580677322873,0.995,1.2849337442125983,-0.1271925056825444,0.0628417134155415,,,,0.2935897579252596,,
C4_S2_B2,C_R__S_K_reset__B_B2,C4,S2,B2,9,-131.5217884055151,-100.8976919686646,0.1727863674317374,1.4417988257629533,6.627838586996691,222,True,2046,1,0.4833777013476685,0.0068291813764538,0.1081239177657237,0.6713351135517975,6.999417554583892,-0.129224588061065,0.0671462635592732,,,,0.2712830018443724,,
