exp,model_id,model_name,q1,q2,q3,lambda,d0,alpha_d0,alpha_q1,alpha_q2,alpha_q3,r_base,r_low,x_reset,k_reset
1,C10_S0_B1,C_Q2_Q3__S_baseline__B_B1,1.5272910707692977,1.0729556990939095,2.1691303298092053,0.4342947432916771,-0.0016470000543486864,-0.03280586314511018,,-3.2376499855598886,-2.027906317434112,2.186837000190815,,,
1,C10_S0_B2,C_Q2_Q3__S_baseline__B_B2,0.9717479755415059,1.049464483372206,1.5120248429596004,0.46404768413486613,-0.0005725445815475317,-0.03331415176145722,,-3.1747213342722205,-2.132733059861189,1.8971015543909466,,,
1,C10_S0_B3,C_Q2_Q3__S_baseline__B_B3,1.9065443057662947,1.227069814147886,3.003835082202831,0.3943952973795684,-0.0014973447184281482,-0.03331199229998849,,-2.952881352213516,-2.6879477439672232,2.5556561963392586,,,
1,C10_S1_B1,C_Q2_Q3__S_x_reset__B_B1,2.7292701713783227,1.9521733278246294,2.463110494042531,0.5527209208240247,-0.0009606155901476444,-0.03236322336305138,,-1.7834886347170558,-2.310699636326617,3.2081059184009457,,0.4158645976574983,
1,C10_S1_B2,C_Q2_Q3__S_x_reset__B_B2,1.1847601971842328,1.1839207340945468,1.8106906607783273,0.6247398886611849,0.0007273365210109322,-0.03276569856459304,,-1.3008000261144745,-2.230235779477081,2.8727341428250694,,0.3934847560630022,
1,C10_S1_B3,C_Q2_Q3__S_x_reset__B_B3,2.5208833408371536,2.1023261679150256,2.308910851497276,0.45518242134583425,-0.0008302452500847849,-0.032620983096971416,,-1.9047900910476478,-2.221777362424877,3.2101784711052592,,0.41816904382399583,
1,C10_S2_B1,C_Q2_Q3__S_K_reset__B_B1,2.097551270941367,1.2770463492725572,2.6229099586695224,0.6741143053117784,-0.0018861684651973723,-0.031201869696572924,,-1.9355919942768598,-1.9631637917810736,2.4840064004547964,,,0.0433119835437714
1,C10_S2_B2,C_Q2_Q3__S_K_reset__B_B2,0.9994186902928185,1.222430829846109,1.7469542649038736,0.4445460004540547,0.001013395688914509,-0.03258466536877906,,-2.279322007116993,-1.8951270550977788,2.4159539958769427,,,0.034472935036060075
1,C10_S2_B3,C_Q2_Q3__S_K_reset__B_B3,2.0348619337513743,1.7367560559401625,2.46945419179653,0.49524313796714226,-0.0016626054732154097,-0.03148591643920864,,-2.05743208726866,-2.1366815829935395,2.4430217279557507,,,0.04374604564206207
1,C11_S0_B1,C_Q1_Q2_R__S_baseline__B_B1,1.6170689658824515,0.7268365400054946,2.430673855447639,0.5437951090217154,-0.0012653661788222324,-0.03246612043638056,-1.6906082955681754,-1.1071663163514067,,2.4235659538959013,1.0825919489266294,,
1,C11_S0_B2,C_Q1_Q2_R__S_baseline__B_B2,1.812586381062949,0.47773611473455674,0.268103256820888,0.47668128807518606,-0.0006981078879172084,-0.03175002361680604,-2.7505761825180715,-2.710104947572625,,4.824975722385332,0.9547826330360791,,
1,C11_S0_B3,C_Q1_Q2_R__S_baseline__B_B3,1.573009762596812,0.7277382579704437,2.5157702527677817,0.4495909158292044,-0.001106621379064985,-0.03282525269158321,-1.6013274510751465,-1.1455300856791606,,2.326685392898833,1.0805772960470843,,
1,C11_S1_B1,C_Q1_Q2_R__S_x_reset__B_B1,1.8852973829948967,0.5183946016322942,2.6654472739252957,0.4996015764141145,-0.001336067301017628,-0.03122088056889071,-1.332503235049922,-1.9273282772660936,,2.1062707848975246,0.8212162107774779,0.5338095943169937,
1,C11_S1_B2,C_Q1_Q2_R__S_x_reset__B_B2,1.8604606774652184,0.40789027439707853,0.1662282910088766,0.6120085077485533,-0.0034031654229802035,-0.0303523825087843,-2.28597728970233,-2.1536191447685096,,4.801740827463561,0.8350362338510369,0.570506215603356,
1,C11_S1_B3,C_Q1_Q2_R__S_x_reset__B_B3,1.8402714593529672,0.5426742198770775,2.7932546388521944,0.49275924830302986,-0.0014307020778288999,-0.03160315522743653,-1.3284911266077286,-1.9310308655036261,,2.299683102914356,0.8130005126362487,0.5459802480689256,
1,C11_S2_B1,C_Q1_Q2_R__S_K_reset__B_B1,2.1501804209252073,0.7301884462271602,2.4480691312135647,0.7097093539192888,-0.0015548285736495442,-0.031103628570659823,-1.8544007135562737,-1.8580156944677757,,3.3937157045354582,0.7457384691326031,,0.04844421769905608
1,C11_S2_B2,C_Q1_Q2_R__S_K_reset__B_B2,2.1201235772494216,0.4512880125099414,0.29735522973349787,0.5502388128976934,-0.0007275341790012264,-0.03035848252380818,-2.228237038336409,-3.7316805005869167,,4.968307788322112,0.7659602460594761,,0.04699075867787105
1,C11_S2_B3,C_Q1_Q2_R__S_K_reset__B_B3,2.075952335331245,0.7361674176731509,2.083929657851875,0.532508315835488,-0.0014469333473486731,-0.03123945945037897,-1.8895570135483553,-1.8085718549986225,,2.806792666554658,0.7344535540043704,,0.04527961931671929
1,C12_S0_B1,C_Q1_Q3_R__S_baseline__B_B1,2.0010906355086218,0.28691492586782363,3.0048306426832627,0.5613656261512604,-0.0009082201162925895,-0.03246608226349791,-1.5979716206033907,,-4.188812842126451,3.1080459955725717,1.278392028812869,,
1,C12_S0_B2,C_Q1_Q3_R__S_baseline__B_B2,1.9917314044214884,0.15539182491708747,1.3338147377044864,0.48779031898887476,-0.0016715238487220166,-0.03162178440221664,-2.8022751285140757,,-2.9915042053249272,5.6824307664560525,1.0898821664482208,,
1,C12_S0_B3,C_Q1_Q3_R__S_baseline__B_B3,1.9914668542458012,0.28972538164461786,2.436718288864082,0.5742305355755167,-0.0010739510332053337,-0.03228152918237632,-1.6228727417512123,,-3.8743352611293425,2.4305068454436287,1.258954132742964,,
1,C12_S1_B1,C_Q1_Q3_R__S_x_reset__B_B1,1.9959162039055436,0.21072867961622388,3.3550156708783487,0.5412365158967299,-0.0010219232338874952,-0.03111445122523542,-0.9425036642409533,,-1.8635829225846325,4.17412694894698,1.3654288904362,0.3765174792559664,
1,C12_S1_B2,C_Q1_Q3_R__S_x_reset__B_B2,1.5634405073970066,0.11162536270624203,1.0947399713409776,0.6297222084939861,0.0006864769290466505,-0.030413714130898047,-1.867843253368498,,-3.2148620078827426,3.8434116369078866,1.1482972101840778,0.5104990746233565,
1,C12_S1_B3,C_Q1_Q3_R__S_x_reset__B_B3,1.9966807706675405,0.2144251444561194,2.828684534382901,0.39803514385042704,-0.001286091891325865,-0.0305961002063749,-0.8900537449735012,,-2.3270679209862264,3.708542670903353,1.3609454362732825,0.37341608271441307,
1,C12_S2_B1,C_Q1_Q3_R__S_K_reset__B_B1,2.217528850277655,0.3044726946620018,2.958351797732922,0.5520991947645276,-0.001413144626600713,-0.03085463687305262,-1.6158116536004448,,-2.7472607360987795,2.775791077596815,1.1934391643565887,,0.06832571283097598
1,C12_S2_B2,C_Q1_Q3_R__S_K_reset__B_B2,2.3444899060590267,0.16774502866104293,1.2308950530725664,0.5204925188288716,-0.0017169556862117324,-0.030949888281614137,-3.1588994304789506,,-1.4646524349319812,4.614085871012763,0.9925527948379241,,0.08343803852834784
1,C12_S2_B3,C_Q1_Q3_R__S_K_reset__B_B3,2.3528829356339958,0.3043487001771892,2.5691343137643936,0.4454232534016709,-0.001446349880550181,-0.030632033504164293,-1.5422129181758615,,-3.2036025894430757,3.5949933718260123,1.1804716119078593,,0.0710227427897473
1,C13_S0_B1,C_Q2_Q3_R__S_baseline__B_B1,0.6117096777014125,1.1734195126337914,2.17776588680547,0.5202001086565349,-0.0009371826968560871,-0.033164416293949964,,-1.6311316162140537,-2.7144458737461736,2.26690547390282,1.1020134678797464,,
1,C13_S0_B2,C_Q2_Q3_R__S_baseline__B_B2,0.18638277454916088,1.0791596871230151,1.9190490870254957,0.4228533437015603,-0.0011901992805010038,-0.03279843463759048,,-3.3717518785550262,-2.334635538203246,6.092612480975126,1.1331577826195285,,
1,C13_S0_B3,C_Q2_Q3_R__S_baseline__B_B3,0.6128063303785511,1.1687350489670925,2.0949371534377694,0.5683710484178124,-0.0008932023672692038,-0.03324189473552033,,-1.6722131028127096,-3.094289412374634,2.940223599972423,1.101934911853695,,
1,C13_S1_B1,C_Q2_Q3_R__S_x_reset__B_B1,0.6225964798560063,0.7383903029546393,3.012998821965763,0.5473340168926831,-0.0007425698821672048,-0.03289799149513239,,-0.4014739977199563,-2.328183971467543,1.5624569839834803,1.1469536520411359,0.20929823891943058,
