AIC,BIC,DW,N,RMSE,RSS,Sub,alpha_d0,alpha_q1,alpha_q2,alpha_q3,b_id,c_id,d0,exp,k_reset,lambda,model_id,model_name,n_params,q1,q2,q3,r_base,r_low,s_id,success,x_reset
-59.9840407403977,-30.573317308827747,1.4428903851366968,194,0.1979128832039441,7.598884811591015,S05,-0.1520020428219665,,-3.1907828256186512,,B1,C6,0.315435079287103,1,,0.0892006592427462,C6_S0_B1,C_Q2_R__S_baseline__B_B1,9,0.8171085155385771,1.6236247867245228,0.6930635651961956,0.3776756197142318,1.6182399098523286,S0,True,
-65.2460076888452,-35.83528425727524,1.523295113996335,194,0.1952469523371126,7.39554624500456,S05,-0.1526144616507655,,-4.999999012986162,,B2,C6,0.3171509177072978,1,,0.5943895022862273,C6_S0_B2,C_Q2_R__S_baseline__B_B2,9,0.5394481246582552,3.2797331110626403e-09,0.5532005682463477,5.938368962446693,1.148383333248472,S0,True,
-59.98359965866774,-30.572876227097787,1.4427840886720409,194,0.1979131081931361,7.598902088565595,S05,-0.1523849054165896,,-3.199348437543827,,B3,C6,0.3156293464337924,1,,0.3553611344164299,C6_S0_B3,C_Q2_R__S_baseline__B_B3,9,0.8193089395079911,1.613225608057448,4.993582488149391,1.351941043239114,1.6220219087464038,S0,True,
-62.6189172061834,-29.94033561555011,1.5170615701629993,194,0.195562768062431,7.4194904729346,S05,-0.1516946038353776,,-1.696535400813961,,B1,C6,0.3164254018241201,1,,0.0012464764608479,C6_S1_B1,C_Q2_R__S_x_reset__B_B1,10,0.9242817525452224,0.1443475005117551,3.6220122335625904,2.55142270732591,1.1889626746203583,S1,True,0.5408122919219484
-63.51684948368012,-30.838267893046833,1.527113234047922,194,0.195110708567507,7.385228587956646,S05,-0.153543023443636,,-4.8468202481408875,,B2,C6,0.3172765586687308,1,,0.5810699010244029,C6_S1_B2,C_Q2_R__S_x_reset__B_B2,10,0.5588797124781427,1.3293903061847717e-06,0.5248932866822466,2.07943844779676,1.137008237987173,S1,True,0.2837790415424353
-62.60896864347643,-29.930387052843145,1.517484916900178,194,0.1955677824784213,7.419870963444261,S05,-0.145616679894051,,-0.4926398283702325,,B3,C6,0.3129227196170732,1,,0.998759769438288,C6_S1_B3,C_Q2_R__S_x_reset__B_B3,10,0.9187186309953762,0.0838083428589302,0.2187011208945529,6.933180894380167,1.1819467441471003,S1,True,0.5196114259736808
-57.98410987234952,-25.305528281716235,1.4429334329277834,194,0.1979128479407928,7.598882103726866,S05,-0.1519461861671834,,-3.156574249198784,,B1,C6,0.3154105362916295,1,7.888767351156524e-07,0.9766715780232218,C6_S2_B1,C_Q2_R__S_K_reset__B_B1,10,0.817345519705118,1.5988961051398434,1.963734067437955,3.0483813939621807,1.6160876123723764,S2,True,
-63.24574158450598,-30.567159993872693,1.5231900818068858,194,0.1952470862445328,7.395556389274128,S05,-0.1526158069139579,,-4.9999998776959425,,B2,C6,0.3171545497902216,1,5.841888830214692e-14,0.5943163633521165,C6_S2_B2,C_Q2_R__S_K_reset__B_B2,10,0.537910794115654,7.159300889629114e-07,0.5563245473030631,3.936668421896119,1.1510570992918296,S2,True,
-57.98371408123128,-25.305132490598,1.442886590007767,194,0.1979130498278736,7.598897606681058,S05,-0.1518952328714612,,-3.161430039147755,,B3,C6,0.3153894449704418,1,1.0043863786981846e-05,0.2485751963244076,C6_S2_B3,C_Q2_R__S_K_reset__B_B3,10,0.8204549110302682,1.5844854664005186,3.953709658729307,0.1020412464352493,1.6169854526923084,S2,True,
-59.56076117438114,-30.150037742811183,1.4459219805578434,194,0.1981289094687653,7.61548256485275,S05,-0.1490123238382402,,,0.0,B1,C7,0.3141220501490034,1,,0.2576909973232834,C7_S0_B1,C_Q3_R__S_baseline__B_B1,9,0.8248742549414557,0.3265353393359521,4.548955518135373,0.5984396679232559,1.4594576058816435,S0,True,
-65.49518605309046,-36.08446262152051,1.520352585895448,194,0.1951216026017656,7.38605332156498,S05,-0.1520766747306618,,,-1.2149648993956756,B2,C7,0.3174027753283021,1,,0.5862967567645647,C7_S0_B2,C_Q3_R__S_baseline__B_B2,9,0.5206723800214244,4.198995150326092e-09,1.147982514511813,0.9212074344821284,1.2554710719004996,S0,True,
-59.56076117438114,-30.150037742811183,1.4459219805578434,194,0.1981289094687653,7.61548256485275,S05,-0.1490123238382402,,,0.0,B3,C7,0.3141220501490034,1,,0.2576909973232834,C7_S0_B3,C_Q3_R__S_baseline__B_B3,9,0.8248742549414557,0.3265353393359521,4.548955518135373,0.5984396679232559,1.4594576058816435,S0,True,
-62.61760231754687,-29.939020726913583,1.518202881744231,194,0.1955634308039186,7.419540760753019,S05,-0.1502645053924012,,,1.5744876494035436e-14,B1,C7,0.3155698764812174,1,,0.0050000000000001,C7_S1_B1,C_Q3_R__S_x_reset__B_B1,10,0.9170368128059654,0.0668915794090791,4.819933261157567,8.301649453135536,1.180930255487797,S1,True,0.5298460459236882
-63.757719715314536,-31.07913812468125,1.5254637456480795,194,0.1949896215135771,7.376064784613568,S05,-0.152963363806045,,,-1.268112978389208,B2,C7,0.3168905737739493,1,,0.5661648654762277,C7_S1_B2,C_Q3_R__S_x_reset__B_B2,10,0.5098761455027209,1.2056707644484324e-08,1.1709163839367187,1.8430524620945403,1.2326357374464465,S1,True,0.2597181002314242
-62.61851317520181,-29.939931584568527,1.518076494583771,194,0.1955629717053647,7.41950592503326,S05,-0.1509828009981537,,,-3.863744693670247,B3,C7,0.3159668662769354,1,,0.0004653812045946,C7_S1_B3,C_Q3_R__S_x_reset__B_B3,10,0.9141577636767296,0.0700376336882902,3.0896191899714993,3.0925121821951285,1.19099556726316,S1,True,0.5349764191649519
-119.61477889987523,-89.88503472734355,1.6058962799243304,201,0.1718275616073871,5.934466896516028,S01,-0.0395707511559432,,-0.9028598976355956,,B1,C6,0.2181150505367326,1,,0.0499447675413942,C6_S0_B1,C_Q2_R__S_baseline__B_B1,9,1.4080656991211469,0.0193771429173874,4.993425508676689,0.3794914524744054,1.198413590210982,S0,True,
-119.74976397292912,-90.02001980039744,1.6064808110801028,201,0.1717698743877812,5.930482839186024,S01,-0.0384370219965685,,0.7855844482786726,,B2,C6,0.2173513673734153,1,,0.0127815585074323,C6_S0_B2,C_Q2_R__S_baseline__B_B2,9,0.952343600125624,0.0079910404056578,0.4470282999992696,7.603001916267912,1.1858760031757691,S0,True,
