dataset,grouping,subID,n_trials,ct_slope_curDur,controlled_sdi_preDur,p_curDur,p_preDur,r2_joint,current_uncertainty,SameSwitch,TransitionType
experiment1,overall,026578,201,-0.39729774786553773,-0.0038476869481150013,4.645944522225776e-16,0.9293235602234655,0.28399696249968354,,,
experiment1,overall,109550,213,-0.8455990608940733,-0.015015131990976996,4.617020880920737e-57,0.6775428202845599,0.7026184110978164,,,
experiment1,overall,199724,213,-0.7039656788268928,0.06938760487765097,2.7391158000876878e-39,0.10372396510788247,0.5614194022768708,,,
experiment1,overall,241220,190,-0.22851183203127684,-0.02354486226532621,0.001941074183019402,0.7339260778724148,0.050587981734770526,,,
experiment1,overall,243787,194,-0.49156929556866263,0.07158749507740542,3.3983121673947554e-19,0.1325395728283842,0.3445338243153243,,,
experiment1,overall,312070,211,-0.1880274400146321,0.04156923271191869,0.0008409187253230439,0.45012863271479064,0.054423796335996366,,,
experiment1,overall,328537,211,-0.20059364820958614,0.05676313536271625,1.7936932972853015e-06,0.16326590144489497,0.11117606869898977,,,
experiment1,overall,349889,212,-0.1792056997106088,0.12512136740064778,0.0013379997207900816,0.022229593951176515,0.07382407778530664,,,
experiment1,overall,384894,220,-0.40370774054395986,0.0536686916846881,4.884408159822973e-15,0.262612718639503,0.25098417699175635,,,
experiment1,overall,658375,206,-0.5601697936295618,0.03497833240725618,5.1638540254525415e-19,0.5188118017353371,0.3328434587739345,,,
experiment1,overall,730111,217,-0.40481357807239726,0.08813443215974341,2.434788241820413e-16,0.049646362224013994,0.27536777051063854,,,
experiment1,overall,743968,229,-0.31022433808028205,0.060015133700966214,1.9653754928672183e-18,0.06459560893651328,0.2955601952004674,,,
experiment1,overall,785063,222,-0.023434990984981738,0.05336491750657755,0.623487772224864,0.26467455926189704,0.007196759373264028,,,
experiment1,overall,785667,188,-0.5285572373046786,0.1134725617561928,1.1311556211953256e-20,0.014928880449593868,0.39603660189524637,,,
experiment1,overall,787955,229,-0.5520451504652257,0.03503740609618891,2.227480501356284e-42,0.28402711521539387,0.5653139900144788,,,
experiment1,overall,803870,204,-0.442605571258897,-0.040602054424790486,3.97951938654359e-15,0.43098276273322644,0.2654592082982742,,,
experiment1,overall,820531,229,-0.5303770802009239,0.05059620251232226,1.4633193852242555e-23,0.2812299764498051,0.36111768830831525,,,
experiment1,overall,828098,219,-0.18472804526724776,0.050331329054684314,0.0023671961088881314,0.40443708842405846,0.04721254902059302,,,
experiment1,overall,882052,212,-0.2530380468917971,0.058955545725063736,0.0002890384401946412,0.3803075678452277,0.06310732484974746,,,
experiment1,overall,897347,228,-0.3154796157546981,0.032189375180853526,1.552517467240138e-09,0.5139714954511836,0.1542336368979228,,,
experiment1,overall,919598,230,-0.27018163578493437,0.02743366511427324,4.8620443749299196e-15,0.39976580978595,0.23867794255898966,,,
experiment1,overall,994851,215,-0.33897778310727666,0.00546458006757187,4.131757822719408e-13,0.898218092763726,0.22010503922961,,,
experiment1,current_uncertainty,026578,95,-0.3809731339773864,0.043357419999607946,3.2479274926229394e-06,0.5680580678274438,0.2202160053032418,HighUncertainty,,
experiment1,current_uncertainty,026578,106,-0.4012275954122404,-0.04260760098811474,5.672828941410749e-12,0.3846149119322094,0.38518414916216015,LowUncertainty,,
experiment1,current_uncertainty,109550,107,-0.8626504334206911,-0.05418891429943385,3.078731523999245e-30,0.30809365237806746,0.7169571878279006,HighUncertainty,,
experiment1,current_uncertainty,109550,106,-0.8247854702281093,0.020245107554743694,6.810733337012676e-28,0.6823675891815661,0.6961678632342665,LowUncertainty,,
experiment1,current_uncertainty,199724,103,-0.7319810613642223,0.10849113586564714,1.5094162178201471e-18,0.11261712484945809,0.5398593996551907,HighUncertainty,,
experiment1,current_uncertainty,199724,110,-0.6879551746598214,0.04270154754476342,7.114943890405363e-22,0.44062235052110277,0.5865783363626549,LowUncertainty,,
