dataset,grouping,condition,coefficient,N,mean,sem,t_vs_0,p_vs_0
experiment1,SameSwitch,Same,controlled_sdi_preDur,22,0.04209871147590679,0.009749341382469247,4.318108252071927,0.00030365563559358845
experiment1,SameSwitch,Switch,controlled_sdi_preDur,22,0.04358284235858155,0.012403362290962922,3.513792577867049,0.0020640808759489096
experiment1,TransitionType,HH,controlled_sdi_preDur,22,0.05394469784809856,0.012410139696606093,4.346824384487088,0.00028350670465393003
experiment1,TransitionType,HL,controlled_sdi_preDur,22,0.00991319740741735,0.01731708201122673,0.5724519524126862,0.5730941389044456
experiment1,TransitionType,LH,controlled_sdi_preDur,22,0.0758140898436619,0.016870610419325787,4.493855762137367,0.000199525165811259
experiment1,TransitionType,LL,controlled_sdi_preDur,22,0.018234764168134937,0.015089148735864966,1.2084687139966515,0.24029943290015976
experiment1,current_uncertainty,HighUncertainty,controlled_sdi_preDur,22,0.06456870453957707,0.011992915804818437,5.383903763723168,2.4351909471644392e-05
experiment1,current_uncertainty,LowUncertainty,controlled_sdi_preDur,22,0.016850391842348263,0.010863221903234823,1.5511412721239355,0.1358086004991274
experiment1,overall,overall,controlled_sdi_preDur,22,0.04295733058034148,0.008729089858069637,4.92116947801029,7.221592269448095e-05
experiment2,SameSwitch,Same,controlled_sdi_preDur,22,0.10786464503908846,0.01587631370389636,6.794061080603135,1.0175158795095747e-06
experiment2,SameSwitch,Switch,controlled_sdi_preDur,22,0.07996709797374092,0.017694615187201293,4.519290028504377,0.00018777196718718954
experiment2,TransitionType,HH,controlled_sdi_preDur,22,0.14177999987895093,0.02710456466716808,5.230853238926574,3.482079702181678e-05
experiment2,TransitionType,HL,controlled_sdi_preDur,22,0.08039192780053896,0.02216081713876058,3.6276608076842396,0.001576782104725965
experiment2,TransitionType,LH,controlled_sdi_preDur,22,0.07981143900711382,0.024603337843882,3.2439272879781296,0.003885930668491415
experiment2,TransitionType,LL,controlled_sdi_preDur,22,0.08297973959797099,0.021516980433113522,3.8564769743560046,0.0009151616353478651
experiment2,current_uncertainty,HighUncertainty,controlled_sdi_preDur,22,0.1091821750635452,0.022783580692642243,4.792142926805382,9.80562391255152e-05
experiment2,current_uncertainty,LowUncertainty,controlled_sdi_preDur,22,0.07989653900656847,0.01608213895726507,4.968029390796639,6.463991704936077e-05
experiment2,overall,overall,controlled_sdi_preDur,22,0.0928893316198168,0.015879261099935565,5.849726321345878,8.316950046003198e-06
