dataset,model,formula,fit_method,parameter,beta,se,z,p,n_obs,n_subjects,converged
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,Intercept,0.13534127827852366,0.02992977358951369,4.521961312996445,6.126925953231644e-06,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,curDur_c,-0.37875659342179874,0.0408675183711213,-9.267912721841315,1.8982413219943104e-20,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,preDur_c,0.0190101501990319,0.014144006081873464,1.3440428467713077,0.178934531958731,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,current_high_uncertainty,-0.08387523911573717,0.005680414986982415,-14.765688652669,2.4381905278378935e-49,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,preDur_c:current_high_uncertainty,0.04715907671431983,0.020079306428082703,2.3486407203967787,0.018842077885529534,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,Group x curDur_c Cov,0.013491540286795743,0.15485527437966023,0.087123543843385,0.930573311258594,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,curDur_c Var,0.9128067822121841,0.29873421455245674,3.0555816433001795,0.00224624437938717,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,Group x preDur_c Cov,0.02533997662562434,0.04687138569659884,0.5406278531992089,0.588764115681496,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,curDur_c x preDur_c Cov,0.010866673567728502,0.06296145035164075,0.1725924912313479,0.8629717544531205,4693,4693,True
experiment1,main_current_uncertainty,curBias ~ curDur_c + preDur_c * current_high_uncertainty,lbfgs,preDur_c Var,0.0021338691996979353,0.030904808547270138,0.06904651088305877,0.9449525974808551,4693,4693,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,Intercept,-0.018157180129471394,0.015402444144484884,-1.1788505745676015,0.23845768162964287,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,curDur_c,-0.4866263218310758,0.033554626490529364,-14.502510465089628,1.167987275514855e-47,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,preDur_c,0.07887099759045445,0.018586282840923417,4.243505722230574,2.2005475900065934e-05,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,same_transition,-0.002036630974812627,0.006099225185382746,-0.33391634394702574,0.7384426862890259,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,preDur_c:same_transition,0.028874511846532794,0.021641963159074865,1.3341909712301303,0.18214127776246725,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,Group x curDur_c Cov,0.06785026622384131,0.05940114998203593,1.1422382604437886,0.2533549964022407,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,curDur_c Var,0.5191790229727784,0.18030085903024587,2.8795149716157757,0.0039828738671455685,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,Group x preDur_c Cov,0.021909241603444037,0.027055053082292103,0.8098022035589326,0.4180538659398605,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,curDur_c x preDur_c Cov,0.01475348324155717,0.05930000312897079,0.2487939707097488,0.8035201551739164,4654,4654,True
experiment2,main_same_switch,curBias ~ curDur_c + preDur_c * same_transition,lbfgs,preDur_c Var,0.06577648935106148,0.03943008599510349,1.6681802154636372,0.09527995714241069,4654,4654,True
