dataset,question,n_obs,n_subjects,baseline,baseline_preDur_slope,baseline_se,moderated,moderated_preDur_slope,moderated_se,interaction,interaction_beta,interaction_se,interaction_z,interaction_p,converged,fit_method
experiment1,current uncertainty moderation,4693,22,low uncertainty / 70% coherence,0.0190101501990319,0.014144006081873464,high uncertainty / 30% coherence,0.06616922691335173,0.014470740175793013,preDur_c:current_high_uncertainty,0.04715907671431983,0.020079306428082703,2.3486407203967787,0.018842077885529534,True,lbfgs
experiment2,same/switch moderation,4654,22,Switch,0.07887099759045445,0.018586282840923417,Same,0.10774550943698724,0.019397662146247156,preDur_c:same_transition,0.028874511846532794,0.021641963159074865,1.3341909712301303,0.18214127776246725,True,lbfgs
