dataset,n_obs,n_subjects,parameter,beta,se,z,p
experiment2_fixed,2629,22,resp_err_lag1,0.12795792599871453,0.0193129066100314,6.625513630985578,3.460427978107756e-11
experiment2_fixed,2629,22,resp_err_lag2,0.043061574730041886,0.015906607255825284,2.707150182152889,0.006786354963750088
experiment2_fixed,2629,22,resp_err_lag3,0.04863464712027779,0.01610919832852791,3.019060671327778,0.002535597476552457
experiment2_fixed,2629,22,resp_err_lag4,0.03948005884808697,0.015977474212409512,2.4709824796602256,0.013474241997697608
experiment2_fixed,2629,22,resp_err_lag5,0.04815273227534659,0.015988981740170917,3.0116196927267147,0.0025985793373491588
experiment1_dynamic,2818,22,resp_err_lag1,0.17103113266062234,0.019005185168941403,8.999182651486308,2.2740430845793816e-19
experiment1_dynamic,2818,22,resp_err_lag2,0.09904062466259633,0.01647835960324241,6.010344903694682,1.8512904414189086e-09
experiment1_dynamic,2818,22,resp_err_lag3,0.06054660668125799,0.01657566273185899,3.6527412303633167,0.0002594556622716737
experiment1_dynamic,2818,22,resp_err_lag4,0.04772941656430542,0.016514321140200638,2.8901833844152516,0.003850171528946271
experiment1_dynamic,2818,22,resp_err_lag5,0.030877349740128738,0.01649028342023794,1.8724571890762085,0.061143379399350106
