dataset,model,formula,fit_method,parameter,beta,se,z,p,n_obs,n_subjects,converged
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,Intercept,-0.0634450627312789,,,,4375,4375,True
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,curDur_c,-0.3851774634980361,0.010555624055682994,-36.49025973889835,1.582724656806246e-291,4375,4375,True
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,preDur_c,0.05156184103104666,0.02918531934115269,1.7667047061685568,0.07727769481457043,4375,4375,True
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,curCoherence,0.21772339458348405,0.014742381472531447,14.768536208966943,2.3373431810261754e-49,4375,4375,True
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,preDur_c:curCoherence,-0.12237753565306597,0.05251890560143154,-2.330161572325876,0.01979761314813059,4375,4375,True
experiment1_dynamic,response_history_sensitivity,curBias ~ curDur_c + preDur_c * curCoherence + preResp_long,lbfgs,preResp_long,0.07041940101449295,0.007110532824719,9.903533638110424,4.018211178043361e-23,4375,4375,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,Intercept,-1.4123601917993277e-17,,,,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,curDur_c,-0.47597429047338247,0.011206304491038578,-42.47379596494171,0.0,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,preDur_c,0.055334805474831814,0.0127860580944956,4.327745507323595,1.5064338690425061e-05,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,preResp_long,0.04352271219506938,0.009174163939313838,4.744052153740406,2.094848771995422e-06,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,same_transition,-0.021295794420970113,0.008899794902001807,-2.3928410323456,0.016718482925926297,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,preResp_long:same_transition,0.0416715990790992,0.012558921113445169,3.318087493557624,0.0009063608878486213,4273,4273,True
experiment2_fixed,response_history_sensitivity,curBias ~ curDur_c + preDur_c + preResp_long * same_transition + curCoherence,lbfgs,curCoherence,0.023493526290710737,0.015621112619481717,1.5039598563172136,0.13259170338872595,4273,4273,True
