Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0004,0.0009,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,0.0044,8.7594,0.05,0.05,8.7598,12.24,12.2413,157.3748,space,145.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,157.4027,0.0,164.7371,s,7.301,,167.4756,167.9686,166.9607,167.4753,165.7563,112.0,166.9603,167.9692,168.4686,168.4694,174.1852,2179.5,174.187,5.0,175.1822,0.0,0.0,0.0,17.0,1.0,1.2,0.7,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,175.1837,0.0,175.191,,,,177.9376,178.4306,177.4156,177.9373,176.1992,66.0,177.4154,178.4308,178.9306,178.9308,180.7976,1255.6,180.7981,3.0,181.7957,0.0,1.0,1.0,27.0,1.0,1.2,0.7,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,181.7974,0.0,181.7981,,,,184.3459,184.8444,183.8303,184.3457,182.8131,281.0,183.8299,184.8444,185.3442,185.3442,188.3102,1921.3,188.3108,5.0,189.3089,0.0,2.0,2.0,1.0,1.0,1.0,0.3,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,189.31,0.0,189.3106,,,,192.2422,192.7408,191.7312,192.242,190.3147,157.0,191.731,192.7409,193.2406,193.2407,194.9954,1282.0,194.9961,2.0,195.9893,0.0,3.0,3.0,23.0,1.0,1.4,0.3,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,195.9902,0.0,195.9907,,,,199.1223,199.6207,198.6057,199.1222,196.9961,359.0,198.6055,199.6208,200.1209,200.1209,201.754,1431.6,201.7545,2.0,202.7534,0.0,4.0,4.0,19.0,1.0,1.6,0.7,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,202.7544,0.0,202.7553,,,,205.2867,205.7846,204.7696,205.2864,203.7599,288.0,204.7693,205.7846,206.2848,206.2849,208.1845,1411.3,208.1852,5.0,209.1832,0.0,5.0,5.0,16.0,1.0,1.0,0.7,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,209.1842,0.0,209.185,,,,211.5206,212.0153,211.006,211.5204,210.2008,181.0,211.0057,212.0156,212.5149,212.5151,214.0704,1234.3,214.0711,5.0,215.064,0.0,6.0,6.0,20.0,1.0,0.8,0.3,Time
,,S27,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.17159763,,,,,,,,,,,,215.0652,0.0,215.066,,,,217.5974,218.1409,217.0868,217.5972,216.0814,273.0,217.0865,218.141,218.6124,218.6125,219.9191,849.6,219.9199,2.0,220.9115,0.0,7.0,7.0,21.0,1.0,1.0,0.3,Time
