Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.001,0.001,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,0.004,406.811,0.0499,0.0423,406.812,425.536,425.537,484.82,space,59.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,484.833,0.0,494.078,s,9.197,,496.453,496.921,495.92,496.453,495.1,296.0,495.92,496.921,497.418,497.419,502.237,909.0,502.237,4.0,503.231,0.0,0.0,0.0,5.0,1.0,0.8,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,503.231,0.0,503.235,,,,505.6,506.067,505.086,505.6,504.244,281.0,505.086,506.067,506.538,506.538,506.798,211.0,506.799,1.0,507.805,0.0,1.0,1.0,20.0,1.0,0.8,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,507.806,0.0,507.806,,,,510.579,511.077,510.054,510.579,508.852,295.0,510.054,511.077,511.578,511.578,517.598,9999.0,517.598,0.0,518.584,0.0,2.0,2.0,12.0,1.0,1.2,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,518.585,0.0,518.585,,,,521.569,522.032,521.048,521.568,519.626,126.0,521.048,522.032,522.518,522.518,526.037,1350.0,526.038,3.0,527.02,0.0,3.0,3.0,28.0,1.0,1.4,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,527.02,0.0,527.021,,,,529.814,530.31,529.287,529.814,528.039,227.0,529.287,530.31,530.801,530.801,532.995,1159.0,532.996,3.0,534.008,0.0,4.0,4.0,2.0,1.0,1.2,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,534.008,0.0,534.009,,,,536.939,537.427,536.42,536.939,535.013,298.0,536.42,537.427,537.925,537.925,540.721,759.0,540.722,1.0,541.724,0.0,5.0,5.0,13.0,1.0,1.4,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,541.725,0.0,541.725,,,,544.709,545.22,544.189,544.709,542.742,252.0,544.189,545.22,545.736,545.736,547.788,988.0,547.788,2.0,548.771,0.0,6.0,6.0,18.0,1.0,1.4,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,548.772,0.0,548.772,,,,551.73,552.195,551.212,551.729,549.779,290.0,551.212,552.195,552.692,552.692,554.829,829.0,554.829,1.0,555.808,0.0,7.0,7.0,3.0,1.0,1.4,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,555.809,0.0,555.809,,,,558.358,558.811,557.809,558.358,556.801,276.0,557.809,558.811,559.27,559.27,562.233,863.0,562.234,2.0,563.207,0.0,8.0,8.0,1.0,1.0,1.0,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,563.208,0.0,563.208,,,,565.768,566.261,565.243,565.768,564.22,194.0,565.243,566.261,566.737,566.737,566.964,175.0,566.965,1.0,567.997,0.0,9.0,9.0,21.0,1.0,1.0,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,567.997,0.0,567.997,,,,570.804,571.307,570.287,570.804,569.041,167.0,570.287,571.307,571.803,571.803,573.963,2105.0,573.963,5.0,574.935,0.0,10.0,10.0,22.0,1.0,1.2,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,574.936,0.0,574.936,,,,577.657,578.137,577.153,577.657,575.935,237.0,577.153,578.137,578.634,578.634,581.039,2359.0,581.04,5.0,582.024,0.0,11.0,11.0,17.0,1.0,1.2,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,582.024,0.0,582.025,,,,584.569,585.059,584.054,584.568,583.026,130.0,584.054,585.059,585.569,585.569,587.815,1029.0,587.815,3.0,588.798,0.0,12.0,12.0,6.0,1.0,1.0,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,588.798,0.0,588.799,,,,591.537,592.019,591.02,591.537,589.81,291.0,591.019,592.019,592.505,592.505,595.956,3400.0,595.957,5.0,596.926,0.0,13.0,13.0,7.0,1.0,1.2,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,596.927,0.0,596.927,,,,599.741,600.217,599.21,599.741,597.973,276.0,599.21,600.217,600.69,600.69,604.625,2525.0,604.625,5.0,605.627,0.0,14.0,14.0,27.0,1.0,1.2,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,605.627,0.0,605.627,,,,608.791,609.3,608.274,608.791,606.644,196.0,608.274,609.3,609.793,609.793,611.657,1440.0,611.658,2.0,612.65,0.0,15.0,15.0,4.0,1.0,1.6,0.3,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,612.65,0.0,612.651,,,,615.164,615.665,614.63,615.164,613.624,223.0,614.629,615.665,616.146,616.146,617.201,156.0,617.201,1.0,618.21,0.0,16.0,16.0,16.0,1.0,1.0,0.7,Time
,,S43,1,Male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,29.94011976,,,,,,,,,,,,618.211,0.0,618.211,,,,620.555,621.064,620.043,620.555,619.205,111.0,620.042,621.064,621.561,621.561,624.603,2029.0,624.604,5.0,625.602,0.0,17.0,17.0,10.0,1.0,0.8,0.3,Time
