Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.000499999999995282,0.0007000000476793389,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,110.44629999995229,112.00990000009534,space,1.5257999999523122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,112.01899999999998,325,0,114.59120000004768,325,s,2.551100000143066,,118.19570000004768,118.68820000004766,117.68040000009535,118.19540000009536,115.61520000004768,117.68010000014303,118.68860000014303,119.18770000004767,119.18820000004766,121.33610000014303,641,121.33649999999997,1,122.33490000009536,0,0,0,1,1,1,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,122.33570000004767,119,0,122.3387999999523,119,,,,126.13290000009536,126.63110000014302,125.61649999999997,126.13270000004766,123.35129999995229,125.6162999999523,126.63110000014302,127.13090000009535,127.13090000009535,132.59360000014303,449,132.5937999999523,1,133.59190000009534,0,1,1,12,1,1.2,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,133.59270000004767,84,0,133.59310000014304,84,,,,137.58999999999997,138.08810000014304,137.07340000009535,137.58940000009534,134.60870000004766,137.0732999999523,138.08820000004766,138.58770000004768,138.58770000004768,139.87110000014303,809,139.8712999999523,1,140.86920000004767,0,2,2,13,1,1.4,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,140.8697999999523,124,0,140.86999999999998,124,,,,144.45070000004768,144.94899999999998,143.93599999999998,144.45049999999998,141.88649999999998,143.9352999999523,144.94899999999998,145.44910000014303,145.4492999999523,147.3477999999523,1030,147.34820000004765,3,148.34660000014304,0,3,3,6,1,1,0.7,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,148.34699999999998,7,0,148.3472999999523,7,,,,151.6947999999523,152.19349999999997,151.17849999999999,151.69440000009536,149.34710000014303,151.17840000009534,152.19349999999997,152.69279999995229,152.69290000009536,154.55860000014303,963,154.55870000004768,4,155.55740000009536,0,4,4,25,1,0.8,0.7,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,155.55790000009534,79,0,155.5582999999523,79,,,,159.32270000004766,159.8207999999523,158.8052999999523,159.32199999999997,156.57390000009536,158.80510000014303,159.82090000009535,160.32020000004766,160.3202999999523,161.969,964,161.9692999999523,2,162.96820000004766,0,5,5,27,1,1.2,0.7,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,162.9687999999523,202,0,162.96910000014304,202,,,,167.1317999999523,167.63060000014303,166.61560000014305,167.13170000004766,163.96840000009536,166.61549999999997,167.63060000014303,168.13040000009536,168.13049999999998,169.92920000004767,1016,169.92940000009534,1,170.9277999999523,0,6,6,29,1,1.6,0.7,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,170.92840000009534,244,0,170.92890000009535,244,,,,174.30920000004767,174.808,173.7932999999523,174.30910000014305,171.92799999999997,173.79299999999998,174.80810000014304,175.30749999999998,175.30770000004767,176.79040000009536,833,176.79060000014303,3,177.789,0,7,7,20,1,0.8,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,177.78949999999998,186,0,177.7897999999523,186,,,,181.17049999999998,181.66910000014303,180.65599999999998,181.17020000004766,178.79010000014304,180.65540000009534,181.66910000014303,182.16870000004766,182.16870000004766,183.86860000014303,1026,183.8687999999523,4,184.86649999999997,0,8,8,10,1,0.8,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,184.867,58,0,184.86720000004766,58,,,,188.44860000014305,188.9465,187.93090000009536,188.44799999999998,185.86670000004767,187.93070000004766,188.9465,189.44560000014303,189.44570000004768,190.84570000004766,1232,190.84570000004766,4,191.84360000014303,0,9,9,11,1,1,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,191.84420000004766,182,0,191.84449999999998,182,,,,195.825,196.3235,195.30870000004768,195.82470000004767,192.861,195.30849999999998,196.3235,196.82290000009536,196.82310000014303,198.189,1331,198.18910000014304,3,199.18790000009534,0,10,10,8,1,1.4,0.7,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,199.18860000014303,168,0,199.18890000009534,168,,,,202.98590000009534,203.48420000004768,202.46949999999998,202.98549999999997,200.20520000004765,202.4692999999523,203.4842999999523,203.98420000004768,203.98420000004768,205.88299999999998,1563,205.8832999999523,5,206.881600000143,0,11,11,22,1,1.2,0.3,Time
,,S19,882052,001,女,21,2025-06-04_17h17.57.927,Serial_Dependence_U,2023.2.3,Win32,60.24096385542697,,,,,,206.88190000009536,329,0,206.88210000014305,329,,,,211.079,211.57779999995228,210.56340000009533,211.07890000009536,207.89810000014302,210.56270000004764,211.57790000009533,212.07710000014305,212.07720000004764,214.4087999999523,1747,214.40890000009534,4,215.40740000009532,0,12,12,14,1,1.6,0.3,Time
