Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0231,0.0239,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,0.0287,28.6773,0.0553,0.0556,28.6775,32.8943,32.8947,100.6275,space,67.6955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,100.6453,0.0,102.3608,s,1.6901,,104.8991,105.394,104.3826,104.8985,103.366,171.0,104.382,105.3943,105.8942,105.8946,110.4495,1381.4,110.4521,5.0,111.4439,0.0,0.0,0.0,11.0,1.0,1.0,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,111.445,0.0,111.4467,,,,114.1947,114.6937,113.6781,114.1942,112.4616,221.0,113.6775,114.6938,115.1938,115.1939,115.3441,67.80000001,115.3449,1.0,116.344,0.0,1.0,1.0,2.0,1.0,1.2,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,116.3445,0.0,116.3447,,,,119.0671,119.5606,118.5657,119.0664,117.3518,84.0,118.5651,119.5606,120.0606,120.0607,122.1485,1732.0,122.1491,5.0,123.1444,0.0,2.0,2.0,22.0,1.0,1.2,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,123.1451,0.0,123.1453,,,,125.4677,125.9611,124.9649,125.4672,124.1616,194.0,124.9643,125.9611,126.4607,126.4607,128.8485,2065.4,128.8491,5.0,129.8439,0.0,3.0,3.0,20.0,1.0,0.8,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,129.8446,0.0,129.845,,,,132.9946,133.494,132.4851,132.994,130.8662,92.0,132.4846,133.494,133.9941,133.9943,136.4148,1966.0,136.4154,4.0,137.4107,0.0,4.0,4.0,19.0,1.0,1.6,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,137.4113,0.0,137.4115,,,,140.3451,140.8438,139.8317,140.3445,138.4282,268.0,139.8311,140.8438,141.3441,141.3442,142.4985,832.9,142.4991,1.0,143.4938,0.0,5.0,5.0,18.0,1.0,1.4,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,143.4943,0.0,143.4945,,,,146.6278,147.1273,146.1153,146.6272,144.5119,300.0,146.1148,147.1274,147.6271,147.6272,149.4485,1524.1,149.4491,3.0,150.4459,0.0,6.0,6.0,4.0,1.0,1.6,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,150.4462,0.0,150.4463,,,,152.9809,153.4775,152.4783,152.9804,151.4613,101.0,152.4774,153.4775,153.9771,153.9771,156.5486,832.7,156.5492,2.0,157.5442,0.0,7.0,7.0,26.0,1.0,1.0,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,157.5448,0.0,157.5449,,,,160.2654,160.765,159.7618,160.2649,158.55,126.0,159.7612,160.7651,161.2606,161.2606,164.0322,1465.0,164.0328,4.0,165.0273,0.0,8.0,8.0,7.0,1.0,1.2,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,165.0277,0.0,165.0279,,,,167.5654,168.0606,167.0618,167.5649,166.0458,321.0,167.0611,168.0606,168.5606,168.5607,170.4817,1282.1,170.4824,4.0,171.4772,0.0,9.0,9.0,16.0,1.0,1.0,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,171.4777,0.0,171.478,,,,173.8151,174.3108,173.3117,173.8145,172.4944,291.0,173.3111,174.3109,174.8108,174.8109,176.9153,1909.9,176.9159,5.0,177.9104,0.0,10.0,10.0,5.0,1.0,0.8,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,177.9109,0.0,177.911,,,,181.0635,181.5606,180.5451,181.061,178.928,85.0,180.5444,181.5606,182.0605,182.0605,183.3773,1191.6,183.3781,2.0,184.3775,0.0,11.0,11.0,24.0,1.0,1.6,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,184.378,0.0,184.3784,,,,186.7162,187.2103,186.1947,186.7156,185.3803,79.0,186.1943,187.2103,187.7105,187.7105,189.1153,1348.0,189.116,5.0,190.1107,0.0,12.0,12.0,10.0,1.0,0.8,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,190.1112,0.0,190.1113,,,,193.0484,193.5441,192.5323,193.0478,191.1277,170.0,192.5317,193.5441,194.044,194.0441,194.5274,206.5,194.5284,1.0,195.5271,0.0,13.0,13.0,3.0,1.0,1.4,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,195.5276,0.0,195.5279,,,,197.8649,198.3607,197.3452,197.8644,196.5334,250.0,197.3443,198.3607,198.8606,198.8607,201.6817,1250.2,201.6822,5.0,202.6773,0.0,14.0,14.0,25.0,1.0,0.8,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,202.6783,0.0,202.6785,,,,205.4114,205.9105,204.8989,205.4108,203.6952,257.0,204.8984,205.9106,206.4106,206.4106,207.9652,1080.4,207.966,2.0,208.961,0.0,15.0,15.0,27.0,1.0,1.2,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,208.9615,0.0,208.9618,,,,211.9114,212.4105,211.3953,211.9107,209.9785,243.0,211.3947,212.4106,212.9109,212.9109,214.6152,1395.1,214.6159,3.0,215.6106,0.0,16.0,16.0,23.0,1.0,1.4,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,215.6112,0.0,215.6114,,,,218.1457,218.6441,217.6317,218.1448,216.6281,59.0,217.631,218.6441,219.144,219.144,222.5159,799.7,222.5165,2.0,223.5106,0.0,17.0,17.0,1.0,1.0,1.0,0.3,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,223.5113,0.0,223.5115,,,,226.448,226.944,225.9445,226.4475,224.532,155.0,225.944,226.944,227.4442,227.4442,227.9271,427.2,227.928,1.0,228.9272,0.0,18.0,18.0,8.0,1.0,1.4,0.7,Time
,,S40,1,FEMALE,35,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,228.9277,0.0,228.9279,,,,232.0615,232.5608,231.5454,232.0608,229.9326,132.0,231.5446,232.5608,233.0607,233.0608,237.549,1349.2,237.5496,2.0,238.544,0.0,19.0,19.0,29.0,1.0,1.6,0.7,Time
