Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.000100000023842,0.000200000047684,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,17.177799999952313,17.935899999976158,space,0.7389999999999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,17.940299999952316,9.0,0.0,19.40260000002384,9.0,s,1.447399999976156,,22.952600000023843,23.4525,22.44439999997616,22.9525,20.41160000002384,22.444299999952317,23.452899999976157,23.952600000023843,23.952700000047685,25.952600000023843,1087.0,25.952799999952312,4.0,26.952799999952312,0.0,0.0,0.0,16.0,1.0,1.0,0.7,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,26.95329999995232,203.0,0.0,26.954299999952312,203.0,,,,30.902799999952315,31.40260000002384,30.394700000047685,30.90270000004768,27.961,30.394700000047685,31.402700000047687,31.90239999997615,31.902500000000003,33.50260000002385,1159.0,33.50270000004768,2.0,34.50239999997616,0.0,1.0,1.0,28.0,1.0,1.4,0.7,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,34.50270000004768,123.0,0.0,34.50289999997615,123.0,,,,37.886,38.38589999997616,37.37770000004768,37.886,35.511,37.3775,38.386,38.88579999995231,38.88589999997616,40.26070000004768,812.0,40.26089999997616,3.0,41.26070000004768,0.0,2.0,2.0,20.0,1.0,0.8,0.3,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,41.261100000023845,277.0,0.0,41.26129999995232,277.0,,,,45.03629999995232,45.536,44.536,45.03629999995232,42.26960000002384,44.53589999997615,45.536,46.03589999997615,46.03589999997615,47.68599999999999,997.0,47.68599999999999,2.0,48.68589999997616,0.0,3.0,3.0,12.0,1.0,1.2,0.3,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,48.68629999995231,258.0,0.0,48.68660000002384,258.0,,,,52.46920000004768,52.96910000002384,51.96120000004768,52.46910000002384,49.694500000000005,51.96110000002383,52.96910000002384,53.46929999995231,53.46929999995231,54.60249999999999,757.0,54.60260000002384,1.0,55.60220000004769,0.0,4.0,4.0,2.0,1.0,1.2,0.3,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,55.60279999995231,28.0,0.0,55.603,28.0,,,,59.18610000002384,59.68579999995231,58.67779999995231,59.18610000002384,56.611,58.67779999995231,59.68589999997616,60.18579999995231,60.18589999997616,61.88570000004768,1028.0,61.88570000004768,3.0,62.88560000002384,0.0,5.0,5.0,1.0,1.0,1.0,0.3,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,62.886100000023845,231.0,0.0,62.88620000004768,231.0,,,,67.02760000002384,67.52760000002384,66.51970000004768,67.02760000002384,63.886,66.51960000002384,67.52760000002384,68.02760000002384,68.02770000004769,70.5275,1399.0,70.5275,2.0,71.5275,0.0,6.0,6.0,19.0,1.0,1.6,0.7,Time
,,S22,994851,1,女,19,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.48192771085394,,,,,,71.52789999997616,266.0,0.0,71.52799999999999,266.0,,,,75.27789999997616,75.77760000002384,74.76929999995231,75.27789999997616,72.53610000002384,74.76929999995231,75.77760000002384,76.2775,76.2775,79.22739999997616,1392.0,79.22739999997616,4.0,80.22739999997616,0.0,7.0,7.0,7.0,1.0,1.2,0.7,Time
