Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001,0.0003,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,0.0135,45.2774,0.0525,0.0501,45.2776,61.576,61.5764,237.2795,space,175.6722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,237.2852,0.0,240.7955,s,3.483,,243.7281,244.2276,243.2118,243.728,241.7991,213.0,243.2117,244.2278,244.7279,244.7284,245.1334,250.2,245.1343,1.0,246.1291,0.0,0.0,0.0,28.0,1.0,1.4,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,246.1304,0.0,246.1316,,,,249.2642,249.761,248.7489,249.2641,247.132,120.0,248.7488,249.7614,250.2614,250.2616,252.9279,1125.9,252.9281,2.0,253.9281,0.0,1.0,1.0,4.0,1.0,1.6,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,253.9299,0.0,253.9303,,,,256.2631,256.7614,255.7489,256.2622,254.932,178.0,255.7488,256.7614,257.2614,257.2617,259.2162,1413.6,259.2162,5.0,260.2116,0.0,2.0,2.0,15.0,1.0,0.8,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,260.2134,0.0,260.2138,,,,262.7492,263.2449,262.2467,262.7491,261.23,276.0,262.2459,263.2452,263.7453,263.7456,266.7164,2033.6,266.7166,5.0,267.7115,0.0,3.0,3.0,21.0,1.0,1.0,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,267.7136,0.0,267.7139,,,,270.8661,271.3615,270.3499,270.8661,268.7328,102.0,270.3494,271.3617,271.8615,271.8617,272.7831,833.3,272.7832,1.0,273.7821,0.0,4.0,4.0,29.0,1.0,1.6,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,273.7825,0.0,273.7827,,,,276.5324,277.0286,276.0157,276.5323,274.7995,254.0,276.0156,277.0288,277.528,277.5285,279.4993,849.7,279.4995,2.0,280.4953,0.0,5.0,5.0,17.0,1.0,1.2,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,280.4971,0.0,280.4975,,,,283.2327,283.7317,282.7147,283.2325,281.4991,233.0,282.7145,283.7318,284.2286,284.2289,290.233,9999.0,290.2331,0.0,291.2284,0.0,6.0,6.0,12.0,1.0,1.2,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,291.2304,0.0,291.2308,,,,293.7664,294.2615,293.2648,293.7663,292.2496,69.0,293.2647,294.2616,294.7617,294.7618,296.3495,999.6,296.3497,3.0,297.3449,0.0,7.0,7.0,26.0,1.0,1.0,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,297.3468,0.0,297.3471,,,,300.4803,300.9783,299.9659,300.4796,298.364,85.0,299.9658,300.9786,301.4787,301.4789,303.2998,868.2,303.2999,1.0,304.2956,0.0,8.0,8.0,19.0,1.0,1.6,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,304.2971,0.0,304.2976,,,,307.0454,307.5449,306.5287,307.0453,305.3121,310.0,306.5286,307.545,308.045,308.0451,311.5453,1109.3,311.5455,2.0,312.545,0.0,9.0,9.0,22.0,1.0,1.2,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,312.5454,0.0,312.5459,,,,315.4955,315.995,314.9788,315.4954,313.5622,247.0,314.9787,315.9951,316.4951,316.4951,319.8119,1586.9,319.8121,4.0,320.8118,0.0,10.0,10.0,3.0,1.0,1.4,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,320.8122,0.0,320.8127,,,,323.1624,323.6618,322.6456,323.1622,321.8289,188.0,322.6455,323.6618,324.1617,324.1618,326.1788,1142.3,326.179,5.0,327.1784,0.0,11.0,11.0,20.0,1.0,0.8,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,327.1788,0.0,327.1791,,,,329.9289,330.4285,329.4123,329.9289,328.1957,29.0,329.4122,330.4286,330.9285,330.9286,333.9287,1056.8,333.929,2.0,334.9286,0.0,12.0,12.0,7.0,1.0,1.2,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,334.929,0.0,334.9294,,,,337.879,338.3785,337.3625,337.879,335.9458,290.0,337.3624,338.3785,338.8787,338.8787,340.5288,1032.7,340.5291,2.0,341.5286,0.0,13.0,13.0,23.0,1.0,1.4,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,341.5291,0.0,341.5295,,,,344.0792,344.5786,343.5625,344.0791,342.5458,72.0,343.5624,344.5787,345.0787,345.0787,347.6454,1179.9,347.6458,4.0,348.6454,0.0,14.0,14.0,11.0,1.0,1.0,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,348.6459,0.0,348.6463,,,,351.7963,352.2955,351.2801,351.7963,349.6626,41.0,351.2793,352.2955,352.7953,352.7954,354.429,727.5,354.4292,1.0,355.4288,0.0,15.0,15.0,24.0,1.0,1.6,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,355.4293,0.0,355.4297,,,,357.9793,358.4788,357.4627,357.9793,356.4461,206.0,357.4626,358.4789,358.9789,358.979,361.0124,1436.6,361.0126,5.0,362.0122,0.0,16.0,16.0,1.0,1.0,1.0,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,362.0126,0.0,362.0131,,,,364.9627,365.4622,364.4469,364.9627,363.0293,171.0,364.4459,365.4622,365.9627,365.9627,368.9458,883.5,368.946,1.0,369.9457,0.0,17.0,17.0,18.0,1.0,1.4,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,369.9461,0.0,369.9466,,,,373.0962,373.5957,372.5795,373.0961,370.9628,148.0,372.5794,373.5958,374.0958,374.0958,376.7625,1067.7,376.7629,1.0,377.7624,0.0,18.0,18.0,14.0,1.0,1.6,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,377.7628,0.0,377.7632,,,,380.1129,380.6124,379.5962,380.1128,378.7796,107.0,379.5961,380.6125,381.1125,381.1125,382.8459,1162.3,382.8462,5.0,383.8458,0.0,19.0,19.0,0.0,1.0,0.8,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,383.8462,0.0,383.8467,,,,386.9963,387.4959,386.4806,386.9963,384.8629,76.0,386.4795,387.4959,387.9958,387.9958,390.846,1034.8,390.8463,1.0,391.8459,0.0,20.0,20.0,9.0,1.0,1.6,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,391.8463,0.0,391.8467,,,,394.5964,395.0959,394.0797,394.5963,392.863,119.0,394.0796,395.096,395.5959,395.596,397.7961,1145.9,397.7964,3.0,398.7959,0.0,21.0,21.0,2.0,1.0,1.2,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,398.7964,0.0,398.7966,,,,401.1465,401.6459,400.6297,401.1464,399.8131,254.0,400.6297,401.6459,402.146,402.146,403.6795,956.4,403.6797,4.0,404.6793,0.0,22.0,22.0,10.0,1.0,0.8,0.3,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,404.6798,0.0,404.6803,,,,407.4299,407.9294,406.9131,407.4298,405.6964,277.0,406.9131,407.9294,408.4398,408.44,410.6011,1177.6,410.6013,3.0,411.5963,0.0,23.0,23.0,27.0,1.0,1.2,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,411.5982,0.0,411.5986,,,,414.5173,415.0128,414.0161,414.5171,412.6005,212.0,414.016,415.0131,415.5133,415.5138,418.8176,1300.1,418.8177,2.0,419.8132,0.0,24.0,24.0,8.0,1.0,1.4,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,419.8153,0.0,419.8156,,,,422.151,422.6466,421.6348,422.1509,420.8177,281.0,421.6346,422.6467,423.147,423.1472,427.7804,860.9,427.7819,4.0,428.7798,0.0,25.0,25.0,5.0,1.0,0.8,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,428.7816,0.0,428.7821,,,,431.3007,431.7964,430.7841,431.3007,429.7829,317.0,430.784,431.7965,432.2843,432.2843,435.2848,1266.6,435.2849,4.0,436.2837,0.0,26.0,26.0,6.0,1.0,1.0,0.7,Time
,,S39,1,female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952,,,,,,,,,,,,436.2841,0.0,436.2842,,,,438.8184,439.3174,438.3017,438.8183,437.2851,264.0,438.3017,439.3174,439.8173,439.8173,442.502,1149.8,442.5021,4.0,443.5007,0.0,27.0,27.0,16.0,1.0,1.0,0.7,Time
