Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0003,0.0005,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,0.0026,55.0969,0.0669,0.0674,55.0973,98.81,98.8107,101.1086,space,2.2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,101.1195,0.0,103.2912,s,2.1597,,106.4394,106.9381,105.9236,106.4392,104.3076,97.0,105.9235,106.9382,107.4387,107.439,107.7898,197.0,107.7903,1.0,108.7871,0.0,0.0,0.0,9.0,1.0,1.6,0.7,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,108.7874,0.0,108.7896,,,,111.1197,111.6195,110.6053,111.1196,109.8038,308.0,110.605,111.6195,112.1188,112.1189,113.236,223.1,113.2363,1.0,114.2361,0.0,1.0,1.0,5.0,1.0,0.8,0.7,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,114.2369,0.0,114.2375,,,,116.5848,117.0841,116.0684,116.5847,115.2523,329.0,116.0683,117.0841,117.5842,117.5843,117.9178,222.4,117.9181,1.0,118.9172,0.0,2.0,2.0,0.0,1.0,0.8,0.3,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,118.9182,0.0,118.9187,,,,121.4661,121.9656,120.9486,121.4659,119.9334,240.0,120.9486,121.9657,122.4652,122.4652,123.215,301.6,123.2153,1.0,124.2145,0.0,3.0,3.0,21.0,1.0,1.0,0.3,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,124.2153,0.0,124.2158,,,,126.7479,127.2508,126.2347,126.7478,125.2311,294.0,126.2346,127.2508,127.7507,127.7507,128.4464,226.9,128.4472,1.0,129.4462,0.0,4.0,4.0,26.0,1.0,1.0,0.7,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,129.4471,0.0,129.4476,,,,132.1957,132.6947,131.6786,132.1955,130.463,299.0,131.6785,132.6949,133.1945,133.1946,134.5764,257.0,134.5769,1.0,135.5761,0.0,5.0,5.0,17.0,1.0,1.2,0.7,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,135.5771,0.0,135.5775,,,,138.7262,139.225,138.209,138.7259,136.5936,219.0,138.2088,139.2251,139.7246,139.7247,140.2584,257.5,140.2588,1.0,141.2578,0.0,6.0,6.0,29.0,1.0,1.6,0.7,Time
,,S33,1,Female,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,141.2589,0.0,141.2595,,,,144.4061,144.905,143.8901,144.4061,142.2739,221.0,143.8899,144.9051,145.4052,145.4053,146.0378,266.0,146.0383,1.0,147.0376,0.0,7.0,7.0,19.0,1.0,1.6,0.7,Time
