Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0002,0.0004,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,0.0028,126.3411,0.0581,0.0581,126.3415,149.0568,149.0579,230.2026,space,81.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,230.2257,0.0,234.7189,s,4.4443,,237.2526,237.7511,236.7358,237.2523,235.7295,144.0,236.7356,237.7517,238.2517,238.2528,243.8687,2100.0,243.8698,5.0,244.8675,0.0,0.0,0.0,6.0,1.0,1.0,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,244.8688,0.0,244.8724,,,,247.8115,248.3008,247.2943,247.8113,245.8763,176.0,247.2942,248.3011,248.8009,248.8012,251.9119,466.5,251.9123,1.0,252.9008,0.0,1.0,1.0,3.0,1.0,1.4,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,252.9028,0.0,252.9035,,,,255.4274,255.917,254.9112,255.4272,253.8947,276.0,254.9109,255.9171,256.4086,256.4087,256.4841,56.59999996,256.4848,1.0,257.4837,0.0,2.0,2.0,26.0,1.0,1.0,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,257.4847,0.0,257.4855,,,,260.2345,260.7335,259.7183,260.2343,258.5012,190.0,259.7179,260.7335,261.2335,261.2336,261.5164,263.4,261.5166,1.0,262.5169,0.0,3.0,3.0,12.0,1.0,1.2,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,262.5182,0.0,262.5188,,,,265.068,265.5666,264.5508,265.0677,263.5344,63.0,264.5506,265.5666,266.0667,266.0668,266.9674,667.8,266.9678,1.0,267.9668,0.0,4.0,4.0,16.0,1.0,1.0,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,267.9679,0.0,267.9685,,,,270.718,271.2163,270.2009,270.7176,268.9845,2.0,270.2005,271.2163,271.7164,271.7165,273.6664,1133.3,273.6668,2.0,274.6736,0.0,5.0,5.0,17.0,1.0,1.2,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,274.675,0.0,274.6757,,,,277.4165,277.9157,276.899,277.4163,275.6839,312.0,276.8989,277.9158,278.4158,278.416,280.2154,1353.4,280.2156,4.0,281.2156,0.0,6.0,6.0,2.0,1.0,1.2,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,281.2172,0.0,281.2177,,,,283.5588,284.0486,283.0538,283.5585,282.2414,251.0,283.0537,284.0486,284.5491,284.5493,284.9157,249.1,284.9161,1.0,285.9154,0.0,7.0,7.0,15.0,1.0,0.8,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,285.9164,0.0,285.9171,,,,289.0484,289.5485,288.5325,289.0483,286.9166,242.0,288.5324,289.5485,290.0486,290.0487,291.6819,1421.8,291.6822,2.0,292.6839,0.0,8.0,8.0,14.0,1.0,1.6,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,292.6845,0.0,292.6848,,,,295.824,296.3151,295.3091,295.8238,293.7066,71.0,295.309,296.3153,296.8048,296.8049,297.0564,165.8,297.0566,1.0,298.0481,0.0,9.0,9.0,24.0,1.0,1.6,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,298.0492,0.0,298.0498,,,,300.3917,300.8814,299.8751,300.3916,299.0571,314.0,299.8748,300.8815,301.3817,301.3819,301.7807,365.5,301.7809,1.0,302.7812,0.0,10.0,10.0,5.0,1.0,0.8,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,302.7823,0.0,302.783,,,,305.9161,306.4142,305.3988,305.9159,303.7913,244.0,305.3985,306.4143,306.9141,306.9142,308.1143,1119.3,308.1148,1.0,309.1141,0.0,11.0,11.0,9.0,1.0,1.6,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,309.1153,0.0,309.1158,,,,312.2486,312.7465,311.7473,312.2484,310.132,240.0,311.7472,312.7466,313.2479,313.248,313.3804,80.0,313.3806,1.0,314.3803,0.0,12.0,12.0,4.0,1.0,1.6,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,314.3815,0.0,314.382,,,,317.3241,317.8138,316.8075,317.3239,315.3906,97.0,316.8073,317.8138,318.3214,318.3214,320.2805,1314.5,320.281,2.0,321.28,0.0,13.0,13.0,23.0,1.0,1.4,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,321.281,0.0,321.2816,,,,323.622,324.1139,323.1051,323.6218,322.2905,228.0,323.1027,324.1141,324.621,324.6211,325.4385,746.3,325.4387,2.0,326.4378,0.0,14.0,14.0,20.0,1.0,0.8,0.3,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,326.4389,0.0,326.4395,,,,329.1645,329.6624,328.6629,329.1644,327.4464,342.0,328.6628,329.6624,330.1631,330.1631,330.957,516.6,330.9575,1.0,331.9463,0.0,15.0,15.0,27.0,1.0,1.2,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,331.9474,0.0,331.948,,,,334.8733,335.3631,334.364,334.8731,332.9569,73.0,334.3639,335.3632,335.8704,335.8705,338.9128,1367.2,338.9134,3.0,339.9126,0.0,16.0,16.0,18.0,1.0,1.4,0.7,Time
,,S07,1,Female,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,339.9137,0.0,339.9143,,,,342.4567,342.946,341.9394,342.4566,340.9221,99.0,341.9391,342.9461,343.453,343.4532,344.6226,683.9,344.6229,1.0,345.6123,0.0,17.0,17.0,1.0,1.0,1.0,0.3,Time
