Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0004,0.0008,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,205.5183,422.4094,space,216.8199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,422.4291,224.0,0.0,437.9202,224.0,s,15.4448,,441.9025,442.4016,441.3924,441.9022,438.9274,441.3923,442.4019,442.9019,442.9024,447.7078,583.0,447.7084,1.0,448.6999,0.0,0.0,0.0,3.0,1.0,1.4,0.3,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,448.7011,133.0,0.0,448.7038,133.0,,,,452.0725,452.5648,451.5556,452.0724,449.7227,451.5554,452.5649,453.0646,453.0647,456.4384,2149.0,456.4386,5.0,457.4297,0.0,1.0,1.0,15.0,1.0,0.8,0.7,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,457.4304,180.0,0.0,457.4308,180.0,,,,461.2292,461.7284,460.7129,461.2291,458.4467,460.7128,461.7284,462.228,462.2281,463.6116,885.0,463.6117,2.0,464.6106,0.0,2.0,2.0,22.0,1.0,1.2,0.3,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,464.6114,298.0,0.0,464.6119,298.0,,,,468.7765,469.2757,468.2667,468.7763,465.6336,468.2666,469.2758,469.7755,469.7755,476.3473,2700.0,476.3474,5.0,477.3395,0.0,3.0,3.0,29.0,1.0,1.6,0.7,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,477.3402,219.0,0.0,477.3406,219.0,,,,481.4948,481.9878,480.9792,481.4947,478.3455,480.9791,481.9878,482.4876,482.4877,487.3433,2176.0,487.3434,5.0,488.3358,0.0,4.0,4.0,19.0,1.0,1.6,0.7,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,488.3366,308.0,0.0,488.337,308.0,,,,492.0914,492.5843,491.5753,492.0912,489.3423,491.5752,492.5843,493.084,493.0842,500.2557,1949.0,500.2558,5.0,501.2542,0.0,5.0,5.0,27.0,1.0,1.2,0.7,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,501.255,349.0,0.0,501.2553,349.0,,,,504.814,505.3131,504.3041,504.8139,502.2712,504.3039,505.3132,505.813,505.8132,507.6529,1216.0,507.653,4.0,508.6453,0.0,6.0,6.0,6.0,1.0,1.0,0.7,Time
,,S04,241220,1,Female,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952,,,,,,508.646,241.0,0.0,508.6465,241.0,,,,512.8446,513.3436,512.3283,512.8445,509.6623,512.3282,513.3437,513.8435,513.8435,516.06,1531.0,516.0601,3.0,517.059,0.0,7.0,7.0,14.0,1.0,1.6,0.3,Time
