Model,nParams,LogLik,AIC,BIC,dAIC,dBIC
M0_Null,2,170.67879572927268,-337.35759145854536,-324.4567671430936,1233.5178214179978,1207.7161727870941
M1_CT,3,691.9498677943993,-1377.8997355887986,-1358.548499115621,192.97567728774447,173.6244408145667
M2_SD,3,175.9825884542879,-345.9651769085758,-326.61394043539815,1224.9102359679673,1205.5589994947895
M3_Core,4,695.9481426742532,-1383.8962853485064,-1358.0946367176027,186.97912752803677,174.07830321258507
M4_Weighting,5,696.5222344737194,-1383.0444689474389,-1350.7924081588094,187.83094392910425,181.3805317713784
M5_PreUncert,5,694.2801960875549,-1378.5603921751099,-1346.3083313864804,192.31502070143324,185.8646085437074
M6_Gating,5,693.0388746308527,-1376.0777492617053,-1343.8256884730758,194.7976636148378,188.34725145711195
M7_Weight_Gate,6,693.6134026249856,-1375.2268052499712,-1336.524332303616,195.6486076265719,195.6486076265719
M8_Full,6,791.4377064382716,-1570.8754128765431,-1532.1729399301878,0.0,0.0
Alt1_TT,10,777.2015573862191,-1534.4031147724381,-1469.8989931951792,36.47229810410499,62.27394673500862
Alt2_3way,9,240.1447380749596,-462.2894761499192,-404.2357667303862,1108.585936726624,1127.9371731998017
