Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
1E-04,0.0003,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,0.0013,62.6556,0.0257,0.0265,62.6556,92.9226,92.9227,115.7063,space,22.7556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,115.71,0,122.5897,s,6.8456,,125.7398,126.2396,125.2233,125.7398,123.6067,47,125.2232,126.2397,126.7396,126.7397,129.0734,1574.4,129.0736,3,130.073,0,0,0,4,1,1.6,0.3,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,130.0733,0,130.0742,,,,132.6232,133.123,132.1065,132.6232,131.0925,245,132.1064,133.123,133.623,133.623,135.2065,862.1,135.2065,2,136.2064,0,1,1,16,1,1,0.7,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,136.2067,0,136.2068,,,,138.5566,139.0563,138.0399,138.5566,137.2232,169,138.0399,139.0564,139.5563,139.5565,141.1899,956.7,141.1901,4,142.1897,0,2,2,0,1,0.8,0.3,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,142.1899,0,142.19,,,,144.94,145.4398,144.4234,144.9399,143.2068,342,144.4234,145.4398,145.9399,145.94,147.59,1029.9,147.59,2,148.5898,0,3,3,17,1,1.2,0.7,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,148.59,0,148.59,,,,151.5236,152.0232,151.0083,151.5235,149.6067,66,151.0083,152.0232,152.5233,152.5233,154.0233,1213.5,154.0234,2,155.0233,0,4,4,13,1,1.4,0.3,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,155.0235,0,155.0235,,,,157.7568,158.2566,157.2401,157.7568,156.0235,65,157.2401,158.2567,158.7567,158.7567,160.2902,1228.6,160.2902,3,161.2901,0,5,5,7,1,1.2,0.7,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,161.2903,0,161.2905,,,,164.0403,164.5401,163.5236,164.0402,162.3069,32,163.5234,164.5401,165.04,165.0401,166.5069,1196.1,166.5071,3,167.5067,0,6,6,2,1,1.2,0.3,Time
,,S16,611856,001,Female,30,2025-05-21_20h44.20.780,Serial_Dependence_U,2023.2.3,Win32,59.88023952,6599bf63f1a902105cb4f395,682cd3dfea4e15896da7c0a6,682dad9203229cb8b0066756,,,,,,,,,,,,167.507,0,167.5072,,,,170.657,171.1568,170.1404,170.657,168.5236,233,170.1403,171.1568,171.6568,171.6568,173.407,1487.9,173.407,2,174.4068,0,7,7,29,1,1.6,0.7,Time
