Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001999998092969,0.0004999999999881,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,229.09029999995232,306.2090999999046,space,77.0591000001429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,306.22029999995226,18.0,0.0,318.84039999985686,18.0,s,12.598300000190877,,322.42319999980924,322.9225,321.90739999985686,322.42300000000006,319.85989999985696,321.9065999999046,322.92289999985684,323.42289999985684,323.42309999990454,336.854399999857,3250.0,336.8564999999999,5.0,337.8535999999047,0.0,0.0,0.0,26.0,1.0,1.0,0.7,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,337.8545,208.0,0.0,337.86019999980914,208.0,,,,342.0388999998568,342.53729999995227,341.52359999990455,342.03879999995235,338.85600000000005,341.52350000000007,342.537399999857,343.0371999998093,343.03729999995227,350.1067999999524,5484.0,350.1067999999524,5.0,351.1022999999523,0.0,1.0,1.0,14.0,1.0,1.6,0.3,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,351.1035,354.0,0.0,351.1037999999522,354.0,,,,354.6861999998092,355.1852999999522,354.17189999985686,354.6861999998092,352.1050000000001,354.1716999998092,355.1852999999522,355.6852999999522,355.6853999998569,362.0875999999046,4614.0,362.0876999998093,5.0,363.0841999998093,0.0,2.0,2.0,11.0,1.0,1.0,0.3,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,363.0847999999524,249.0,0.0,363.0849999999999,249.0,,,,366.88400000000007,367.3832999999522,366.36979999995225,366.8837999999524,364.1019999999999,366.36969999980926,367.3832999999522,367.8832999999522,367.883399999857,373.05329999995234,2669.0,373.0533999998568,5.0,374.0501999998092,0.0,3.0,3.0,2.0,1.0,1.2,0.3,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,374.0505999999046,106.0,0.0,374.0507999999523,106.0,,,,377.64889999985695,378.14850000000007,377.1348999998568,377.64879999995225,375.0667999999524,377.1347999999524,378.14850000000007,378.6481999998092,378.6482999999524,383.1510999999046,2550.0,383.1512999999523,5.0,384.1474999999999,0.0,4.0,4.0,21.0,1.0,1.0,0.3,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,384.1482999999524,164.0,0.0,384.14869999980925,164.0,,,,388.0977999999523,388.5962999999522,387.5825999999045,388.0975999999046,385.1497999999522,387.5825,388.59639999985694,389.0966999998091,389.09679999995234,394.0830999999046,3828.0,394.0832999999523,5.0,395.08079999995226,0.0,5.0,5.0,18.0,1.0,1.4,0.7,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,395.0810999999047,85.0,0.0,395.0815999999045,85.0,,,,398.445899999857,398.9442999999522,397.93079999995217,398.4457999999522,396.09600000000006,397.9306999998092,398.9447999999523,399.4447999999523,399.444899999857,405.23029999995225,3616.0,405.23039999985696,5.0,406.2268999998569,0.0,6.0,6.0,15.0,1.0,0.8,0.7,Time
,,S64,1,女,27,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.52380952364454,,,,,,406.2277999999522,148.0,0.0,406.2280999999046,148.0,,,,409.6272999999522,410.12579999995233,409.1131999998093,409.6270999999045,407.2465999999045,409.1129999999999,410.1264999999999,410.627899999857,410.627899999857,414.81179999995226,3164.0,414.81189999985696,5.0,415.8107999999523,0.0,7.0,7.0,0.0,1.0,0.8,0.3,Time
