Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.000200000047684,0.0004000000953681,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,82.50479999995231,198.0884000000954,space,115.54650000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,198.09579999995236,95.0,0.0,200.4712000000477,95.0,s,2.348999999999989,,204.07079999995236,204.5705,203.5545,204.07079999995236,201.4884000000954,203.5544000000954,204.57060000014303,205.0705,205.07079999995236,207.05379999995236,915.0,207.05410000014308,2.0,208.0535,0.0,0.0,0.0,11.0,1.0,1.0,0.3,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,208.05390000009535,283.0,0.0,208.05540000009535,283.0,,,,211.81979999995235,212.31940000009536,211.312,211.8197000000477,209.0789000000954,211.3119000000954,212.31940000009536,212.82660000014303,212.82660000014303,214.41179999995236,1183.0,214.41179999995236,3.0,215.40240000009535,0.0,1.0,1.0,17.0,1.0,1.2,0.7,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,215.40279999995235,112.0,0.0,215.403,112.0,,,,219.18560000014307,219.69229999995235,218.6777000000477,219.1855,216.41110000014308,218.6775,219.69240000009535,220.18500000000003,220.18500000000003,222.01060000014309,983.0,222.01060000014309,2.0,223.00129999995235,0.0,2.0,2.0,12.0,1.0,1.2,0.3,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,223.0017000000477,105.0,0.0,223.002,105.0,,,,226.9677000000477,227.45790000009535,226.4599000000954,226.96760000014308,224.0102000000477,226.45979999995237,227.45800000000003,227.95060000014308,227.95060000014308,230.85960000014308,2533.0,230.85960000014308,5.0,231.85,0.0,3.0,3.0,18.0,1.0,1.4,0.7,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,231.85029999995237,117.0,0.0,231.85060000014303,117.0,,,,236.0164000000954,236.5067000000477,235.50860000014308,236.01629999995237,232.87560000014307,235.50850000000003,236.5067000000477,236.99929999995237,236.9994000000954,239.449,2054.0,239.44910000014303,4.0,240.4489000000954,0.0,4.0,4.0,19.0,1.0,1.6,0.7,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,240.44929999995236,313.0,0.0,240.44950000000003,313.0,,,,244.61529999995236,245.1149000000954,244.0987000000477,244.6152000000477,241.46560000014307,244.09860000014308,245.115,245.6147000000477,245.61479999995237,248.8477999999523,2794.0,248.8477999999523,5.0,249.85279999995228,0.0,5.0,5.0,29.0,1.0,1.6,0.7,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,249.85310000014303,351.0,0.0,249.85329999995236,351.0,,,,254.03940000009536,254.5302000000477,253.51929999995232,254.0392999999523,250.85640000009536,253.51910000014303,254.5302999999523,255.0207000000477,255.0207999999523,257.32240000009534,1800.0,257.32240000009534,4.0,258.313,0.0,6.0,6.0,14.0,1.0,1.6,0.3,Time
,,S12,1,male,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,258.3134000000953,311.0,0.0,258.313600000143,311.0,,,,262.1049000000953,262.60290000009536,261.58820000004766,262.1049000000953,259.3219000000953,261.58820000004766,262.60299999999995,263.095600000143,263.09570000004766,266.28779999995226,2699.0,266.2879000000953,5.0,267.27840000009536,0.0,7.0,7.0,22.0,1.0,1.2,0.3,Time
