Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.000200000047684,0.0005000000000023,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,110.5392000000477,168.43360000014303,space,57.871500000000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,168.4375,202.0,0.0,188.893,202.0,s,20.44749999999999,,193.03630000019075,193.5364000000953,192.5308000001907,193.0362000000477,189.89570000004767,192.5307000000477,193.53660000014304,194.03730000019075,194.0375,196.97290000009536,2900.0,196.973,5.0,197.9719000000954,0.0,0.0,0.0,29.0,1.0,1.6,0.7,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,197.97230000019076,146.0,0.0,197.97320000004763,146.0,,,,201.71230000019077,202.21240000009536,201.20640000009536,201.71210000014304,198.97310000014303,201.2063000001907,202.21240000009536,202.713,202.713,207.21780000019072,2219.0,207.21780000019072,5.0,208.21880000019075,0.0,1.0,1.0,27.0,1.0,1.2,0.7,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,208.2192000000477,16.0,0.0,208.21930000019077,16.0,,,,211.99530000019075,212.49410000014305,211.48830000019075,211.9952000000477,209.22020000004767,211.4882000000477,212.49410000014305,212.9947000000477,212.9948000001907,216.75780000019077,3286.0,216.7579000000954,5.0,217.75660000014307,0.0,2.0,2.0,12.0,1.0,1.2,0.3,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,217.757,283.0,0.0,217.75710000014303,283.0,,,,221.52490000009536,222.02510000014303,221.019,221.5247000000477,218.758,221.019,222.02520000004768,222.5257000000477,222.5258000001907,226.3723000001907,3335.0,226.37240000009533,5.0,227.37110000014303,0.0,3.0,3.0,22.0,1.0,1.2,0.3,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,227.37140000009535,184.0,0.0,227.3715,184.0,,,,230.715,231.2155,230.20940000009531,230.715,228.3725,230.20930000019075,231.2155,231.71590000009536,231.716,235.23580000019075,3510.0,235.23580000019075,5.0,236.23470000004767,0.0,4.0,4.0,25.0,1.0,0.8,0.7,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,236.235,157.0,0.0,236.23510000014304,157.0,,,,240.406,240.9062000000477,239.90030000019075,240.40590000009536,237.2359000000953,239.90020000004768,240.9062000000477,241.40680000019077,241.40680000019077,245.9395,4415.0,245.9395,5.0,246.9404000000953,0.0,5.0,5.0,14.0,1.0,1.6,0.3,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,246.94070000004768,229.0,0.0,246.94080000019076,229.0,,,,250.2845,250.78480000019076,249.77890000009532,250.2844000000954,247.9418000001907,249.7788000001908,250.78480000019076,251.28530000019072,251.28540000009536,254.22610000014305,2618.0,254.2262000000477,5.0,255.22710000014305,0.0,6.0,6.0,5.0,1.0,0.8,0.7,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,255.22740000009537,135.0,0.0,255.22760000014307,135.0,,,,258.599,259.09910000014304,258.09310000014307,258.599,256.2282000000477,258.093,259.0992000000477,259.5997000000477,259.5998000001907,263.7292000000477,3597.0,263.72930000019073,5.0,264.73010000014307,0.0,7.0,7.0,10.0,1.0,0.8,0.3,Time
,,S41,1,,,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362320063,,,,,,264.73040000009536,344.0,0.0,264.7305,344.0,,,,268.305,268.804,267.7979000000953,268.305,265.7335,267.7978000001907,268.804,269.30440000009537,269.30440000009537,272.9543000001908,3214.0,272.9543000001908,5.0,273.9552000000477,0.0,8.0,8.0,11.0,1.0,1.0,0.3,Time
