Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001000000014883,0.0003000000007489,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,30.75080000000074,96.9635,space,66.19119999999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,96.975,118.0,0.0,100.13260000000147,118.0,s,3.146399999998493,,103.67210000000148,104.16840000000222,103.16919999999926,103.672,101.1335,103.16919999999926,104.16869999999923,104.66540000000224,104.6656000000015,106.938,1469.0,106.93819999999928,5.0,107.93830000000077,0.0,0.0,0.0,16.0,1.0,1.0,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,107.93910000000147,0.0,0.0,107.94160000000149,0.0,,,,111.91369999999924,112.41010000000148,111.411,111.91369999999924,108.9446000000015,111.411,112.41010000000148,112.90669999999923,112.90680000000076,114.97369999999924,1423.0,114.97380000000074,3.0,115.973,0.0,1.0,1.0,3.0,1.0,1.4,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,115.9736000000015,9.0,0.0,115.97380000000074,9.0,,,,119.94319999999928,120.4396000000015,119.44040000000224,119.94319999999928,116.97440000000223,119.44040000000224,120.43969999999926,120.93669999999923,120.93680000000076,123.42180000000074,1535.0,123.42190000000222,4.0,124.421,0.0,2.0,2.0,13.0,1.0,1.4,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,124.42169999999926,112.0,0.0,124.42190000000222,112.0,,,,128.1606000000015,128.65680000000077,127.65769999999924,128.1605,125.42190000000222,127.6576000000015,128.65690000000225,129.15380000000076,129.15390000000224,131.2386000000015,1423.0,131.23869999999928,4.0,132.23819999999927,0.0,3.0,3.0,17.0,1.0,1.2,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,132.23880000000077,69.0,0.0,132.239,69.0,,,,136.1785,136.67990000000225,135.67519999999928,136.1785,133.23930000000075,135.675,136.68,137.17700000000002,137.17700000000002,139.7711000000015,1804.0,139.7711000000015,4.0,140.7706000000015,0.0,4.0,4.0,28.0,1.0,1.4,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,140.77130000000076,296.0,0.0,140.77190000000226,296.0,,,,144.71019999999928,145.2065,144.2076000000015,144.71010000000152,141.7715,144.2076000000015,145.2065,145.70350000000002,145.70350000000002,147.83100000000002,1350.0,147.83100000000002,3.0,148.83040000000224,0.0,5.0,5.0,18.0,1.0,1.4,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,148.83100000000002,54.0,0.0,148.83130000000077,54.0,,,,152.40040000000226,152.8965,151.89690000000226,152.40040000000226,149.83100000000002,151.89680000000075,152.8966000000015,153.39340000000226,153.39350000000002,154.74540000000226,821.0,154.74540000000226,2.0,155.745,0.0,6.0,6.0,11.0,1.0,1.0,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,155.74580000000077,178.0,0.0,155.746,178.0,,,,159.11530000000076,159.61100000000002,158.6121000000015,159.11519999999928,156.7456000000015,158.6121000000015,159.6111000000015,160.10790000000225,160.10790000000225,161.50850000000003,860.0,161.50850000000003,4.0,162.50780000000077,0.0,7.0,7.0,0.0,1.0,0.8,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,162.50830000000076,190.0,0.0,162.50850000000003,190.0,,,,166.67790000000224,167.174,166.175,166.67769999999928,163.50830000000076,166.17490000000225,167.174,167.67100000000002,167.67100000000002,169.63469999999927,1284.0,169.63480000000075,2.0,170.63440000000224,0.0,8.0,8.0,14.0,1.0,1.6,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,170.6351000000015,42.0,0.0,170.63530000000077,42.0,,,,173.97390000000226,174.4701000000015,173.47090000000225,173.97380000000075,171.63540000000225,173.47090000000225,174.4701000000015,174.9671000000015,174.9671000000015,176.49440000000226,1100.0,176.49450000000002,5.0,177.49390000000224,0.0,9.0,9.0,25.0,1.0,0.8,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,177.49430000000075,114.0,0.0,177.49440000000226,114.0,,,,181.63380000000075,182.1301999999993,181.13100000000003,181.6336999999993,178.49440000000226,181.13090000000224,182.1301999999993,182.6268000000008,182.62690000000225,185.56619999999927,2153.0,185.56619999999927,5.0,186.5658000000008,0.0,10.0,10.0,19.0,1.0,1.6,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,186.56630000000075,216.0,0.0,186.56640000000223,216.0,,,,190.1363000000008,190.63219999999927,189.63319999999928,190.1361999999993,187.5668000000008,189.63319999999928,190.63219999999927,191.1291000000015,191.1291999999993,193.026,1429.0,193.0261000000015,5.0,194.0256000000015,0.0,11.0,11.0,21.0,1.0,1.0,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,194.02590000000225,100.0,0.0,194.0261000000015,100.0,,,,197.7656000000015,198.2615,197.2625,197.76540000000224,195.0263000000008,197.26240000000223,198.2616000000015,198.7591000000015,198.7591000000015,200.98890000000225,1602.0,200.989,5.0,201.98819999999927,0.0,12.0,12.0,27.0,1.0,1.2,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,201.9885,311.0,0.0,201.9886000000015,311.0,,,,205.75850000000003,206.2551000000015,205.2558000000008,205.75840000000224,202.98919999999927,205.25569999999928,206.2551000000015,206.7518000000008,206.7518000000008,209.46090000000223,1699.0,209.461,5.0,210.4603000000008,0.0,13.0,13.0,22.0,1.0,1.2,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,210.4608000000008,214.0,0.0,210.461,214.0,,,,214.5995,215.09630000000075,214.097,214.5995,211.46090000000223,214.09690000000225,215.09640000000223,215.5935,215.5935,220.49,2362.0,220.49010000000152,5.0,221.4896999999993,0.0,14.0,14.0,29.0,1.0,1.6,0.7,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,221.49019999999928,160.0,0.0,221.49040000000224,160.0,,,,225.25950000000003,225.75569999999928,224.75700000000003,225.25950000000003,222.4903000000008,224.75690000000228,225.75569999999928,226.25280000000075,226.25280000000075,228.1863000000008,1443.0,228.1864000000022,4.0,229.186,0.0,15.0,15.0,12.0,1.0,1.2,0.3,Time
,,S25,1,male,25,anonymized,Serial_Dependence_U,2023.2.3,Win32,163.93442622935177,,,,,,229.1863000000008,178.0,0.0,229.1865,178.0,,,,233.15590000000225,233.65180000000072,232.65280000000075,233.15590000000225,230.1863000000008,232.65280000000075,233.65190000000223,234.149,234.14910000000145,237.21560000000147,1895.0,237.21569999999923,5.0,238.2155,0.0,16.0,16.0,23.0,1.0,1.4,0.3,Time
