Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001999998092614,0.0003999998569454,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,160.8947999999523,313.9347999999523,space,152.98629999995234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,313.9602999999523,355.0,0.0,327.6825,355.0,s,13.68950000000001,,331.47359999990465,331.9715,330.958,331.4732999999523,328.68909999990467,330.957899999857,331.971899999857,332.4638999998569,332.46439999985694,336.48879999995233,98.0,336.4895,1.0,337.479399999857,0.0,0.0,0.0,2.0,1.0,1.2,0.3,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,337.48139999985693,297.0,0.0,337.48579999995235,297.0,,,,340.879,341.37829999995233,340.3627999999523,340.87869999980927,338.4956999998093,340.36259999990466,341.37850000000003,341.87789999985694,341.87809999990463,343.67939999985697,103.0,343.6795,1.0,344.6772999999523,0.0,1.0,1.0,0.0,1.0,0.8,0.3,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,344.67839999985694,243.0,0.0,344.6786999998093,243.0,,,,348.22789999985696,348.7265,347.71319999980926,348.2277999999523,345.6785,347.713,348.72659999990464,349.2257999999523,349.226,374.7717999999524,155.0,374.772,1.0,375.7715,0.0,2.0,2.0,16.0,1.0,1.0,0.7,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,375.773,92.0,0.0,375.77369999980925,92.0,,,,379.3731999998093,379.870899999857,378.8557999999524,379.37289999985694,376.7882999999523,378.8555,379.871,380.3701999998093,380.37039999985694,383.2042999999524,1937.0,383.20439999985695,5.0,384.20279999995233,0.0,3.0,3.0,11.0,1.0,1.0,0.3,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,384.20389999985696,314.0,0.0,384.2042999999524,314.0,,,,387.60289999985696,388.102,387.0875999999046,387.60269999980926,385.2215,387.087399999857,388.1020999999046,388.6020999999046,388.60239999985697,393.0021999998093,4147.0,393.00239999985695,5.0,394.001,0.0,4.0,4.0,10.0,1.0,0.8,0.3,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,394.0022999999524,166.0,0.0,394.00289999985694,166.0,,,,397.97539999985696,398.46679999995234,397.459,397.97519999980926,395.01139999985696,397.4587999999523,398.4668999998569,398.9665,398.9666999998093,403.6270999999047,3100.0,403.6271999998093,5.0,404.6161999998093,0.0,5.0,5.0,18.0,1.0,1.4,0.7,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,404.61809999990464,10.0,0.0,404.619,10.0,,,,408.8275,409.3165999999047,408.309,408.8271999998093,405.6432999999523,408.3086999998093,409.3167999999523,409.8212999999523,409.8215,417.3641999998093,7415.0,417.3642999999523,5.0,418.36789999985695,0.0,6.0,6.0,24.0,1.0,1.6,0.3,Time
,,S17,1,female,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,59.88023952096852,,,,,,418.369,14.0,0.0,418.3695999999047,14.0,,,,422.522,423.0132999999523,422.0053999998569,422.52189999985694,419.37289999985694,422.0051999998093,423.0135,423.5115999999047,423.5117999999523,429.2871999998093,5532.0,429.287399999857,5.0,430.2835,0.0,7.0,7.0,19.0,1.0,1.6,0.7,Time
