Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0,0.0,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,1.51400000000001,1.8700000000000043,space,0.3309999999999888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,1.874000000000024,17.0,0.0,164.84900000000002,17.0,s,162.94599999999997,,168.82200000000003,169.31500000000003,168.32200000000003,168.82200000000003,165.855,168.32200000000003,169.31500000000003,169.816,169.816,172.16800000000003,1946.0,172.16800000000003,5.0,173.17,0.0,0.0,0.0,13.0,1.0,1.4,0.3,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,173.172,41.0,0.0,173.17499999999998,41.0,,,,176.92800000000005,177.42600000000002,176.415,176.92800000000005,174.172,176.415,177.42600000000002,177.92600000000002,177.92600000000002,179.561,1325.0,179.561,4.0,180.56000000000003,0.0,1.0,1.0,27.0,1.0,1.2,0.7,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,180.561,243.0,0.0,180.561,243.0,,,,184.117,184.61500000000004,183.604,184.117,181.561,183.604,184.61500000000004,185.116,185.116,186.686,1269.0,186.686,4.0,187.681,0.0,2.0,2.0,16.0,1.0,1.0,0.7,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,187.682,242.0,0.0,187.682,242.0,,,,191.462,191.96,190.94700000000003,191.462,188.683,190.94700000000003,191.96,192.46,192.46,193.989,1265.0,193.989,4.0,194.982,0.0,3.0,3.0,2.0,1.0,1.2,0.3,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,194.98300000000003,341.0,0.0,194.98300000000003,341.0,,,,198.528,199.026,198.023,198.528,195.98300000000003,198.023,199.026,199.526,199.526,201.054,1219.0,201.05500000000004,4.0,202.049,0.0,4.0,4.0,26.0,1.0,1.0,0.7,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,202.049,240.0,0.0,202.049,240.0,,,,205.838,206.338,205.33400000000003,205.838,203.062,205.33400000000003,206.338,206.837,206.838,208.39400000000003,1385.0,208.39400000000003,4.0,209.393,0.0,5.0,5.0,22.0,1.0,1.2,0.3,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,209.39400000000003,253.0,0.0,209.39400000000003,253.0,,,,213.328,213.826,212.826,213.328,210.393,212.826,213.826,214.326,214.326,215.66600000000005,1031.0,215.66600000000005,2.0,216.66,0.0,6.0,6.0,8.0,1.0,1.4,0.7,Time
,,S06,1,男,22,anonymized,Serial_Dependence_U,2023.2.3,Win32,89.92805755399449,,,,,,216.66,203.0,0.0,216.66,203.0,,,,220.239,220.737,219.72800000000004,220.239,217.664,219.72800000000004,220.737,221.23800000000003,221.23800000000003,222.768,1229.0,222.768,4.0,223.771,0.0,7.0,7.0,1.0,1.0,1.0,0.3,Time
