Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,194.0561,0,194.0566,,,,196.7889,197.2876,196.2721,196.7887,195.0604,56,196.2719,197.2877,197.7875,197.7876,199.3371,216.7000003,199.3375,1,200.3407,0,9,9,7,1,1.2,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,200.3412,0,200.3412,,,,203.4864,203.9856,202.9701,203.4861,201.3539,318,202.9698,203.9857,204.4853,204.4854,208.4064,1951,208.4066,4,209.4004,0,10,10,4,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,209.4015,0,209.4017,,,,211.7383,212.2329,211.2343,211.7382,210.4177,156,211.2341,212.233,212.7332,212.7334,218.7362,9999,218.7364,0,219.7307,0,11,11,5,1,0.8,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,219.7315,0,219.7317,,,,222.8808,223.3796,222.3641,222.8805,220.7478,114,222.3637,223.3796,223.8796,223.8798,224.1636,152.2000003,224.164,1,225.1663,0,12,12,9,1,1.6,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,225.1667,0,225.1668,,,,227.7119,228.2113,227.2001,227.7117,226.1823,261,227.2,228.2113,228.7108,228.7109,230.2494,1133.3,230.2495,4,231.244,0,13,13,11,1,1,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,231.2449,0,231.2452,,,,233.5769,234.076,233.0648,233.5765,232.2609,201,233.0647,234.076,234.576,234.5761,240.5911,9999,240.5915,0,292.6032,0,14,14,20,1,0.8,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,292.6036,0,292.6038,,,,294.6577,295.1612,294.1413,294.6576,293.1247,91,294.1411,295.1613,295.6566,295.6567,301.672,9999,301.6722,0,302.6713,0,15,15,26,1,1,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,302.6719,0,302.6719,,,,305.8212,306.3205,305.3043,305.821,303.688,17,305.3042,306.3206,306.8198,306.8198,307.9035,1046.8,307.9038,1,308.9027,0,16,16,14,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,308.9033,0,308.9035,,,,311.8523,312.3516,311.3358,311.8522,309.92,278,311.3357,312.3516,312.8514,312.8515,313.1517,104,313.152,1,314.1511,0,17,17,8,1,1.4,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,314.1517,0,314.1519,,,,317.1004,317.6,316.5841,317.1004,315.1675,84,316.584,317.6,318.1,318.1001,324.1153,9999,324.1154,0,325.1141,0,18,18,28,1,1.4,0.7,Time
