Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0003,0.0007,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,0.0063,87.6985,0.0581,0.0578,87.6993,90.3329,90.334,114.6887,space,24.2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,114.7206,0,117.0955,s,2.3146,,119.657,120.1553,119.1301,119.6567,118.1021,172,119.1297,120.1556,120.6572,120.6577,122.5688,902.5,122.5707,2,123.5669,0,0,0,6,1,1,0.7,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,123.5688,0,123.5754,,,,126.5047,127.0034,125.9786,126.5043,124.5739,47,125.9783,127.0037,127.5051,127.5053,128.787,778,128.7875,1,129.7875,0,1,1,23,1,1.4,0.3,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,129.7893,0,129.7903,,,,132.9263,133.4244,132.3989,132.9258,130.7943,243,132.3986,133.4246,133.9263,133.9266,135.5588,1208.9,135.5593,2,136.56,0,2,2,24,1,1.6,0.3,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,136.5616,0,136.563,,,,139.6988,140.197,139.1721,139.6985,137.5663,251,139.1719,140.1972,140.6984,140.6985,142.5331,1305.4,142.5336,2,143.5334,0,3,3,29,1,1.6,0.7,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,143.5349,0,143.5358,,,,146.047,146.5433,145.5432,146.0465,144.5399,193,145.5429,146.5435,147.045,147.0452,148.3265,801,148.3271,2,149.3275,0,4,4,21,1,1,0.3,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,149.3291,0,149.3301,,,,152.2912,152.7891,151.7637,152.2909,150.3559,246,151.7634,152.7893,153.2909,153.2911,155.0772,1283.7,155.0778,2,156.0753,0,5,5,13,1,1.4,0.3,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,156.0768,0,156.0777,,,,158.8122,159.3107,158.2852,158.8119,157.082,267,158.2849,159.3109,159.8127,159.813,161.5216,1231.2,161.5222,3,162.5213,0,6,6,17,1,1.2,0.7,Time
,,S14,551900,001,female,28,2025-05-21_11h46.17.277,Serial_Dependence_U,2023.2.3,Win32,39.84063745,670e851632b444a56d13cfb8,682cd3dfea4e15896da7c0a6,682da5c271d79fa401e67124,,,,,,,,,,,,162.5222,0,162.5231,,,,165.0578,165.5571,164.531,165.0576,163.5263,328,164.5307,165.5573,166.0584,166.0586,167.6911,1080,167.6917,4,168.6921,0,7,7,16,1,1,0.7,Time
