Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
9.99999045916e-05,0.0002000000476414,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,76.12529999995229,179.9422000000477,space,103.79949999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,179.95349999999996,36.0,0.0,215.69600000000003,36.0,s,35.73369999980923,,219.27199999999996,219.77199999999996,218.76729999995237,219.27199999999996,216.70270000004768,218.76709999990464,219.77229999995237,220.27209999990464,220.27259999990463,227.10370000004764,3104.0,227.10379999995237,5.0,228.10370000004764,0.0,0.0,0.0,21.0,1.0,1.0,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,228.10439999985687,54.0,0.0,228.1057000000477,54.0,,,,231.84389999985692,232.34239999985695,231.33879999995224,231.84389999985692,229.10439999985687,231.33870000004765,232.34239999985695,232.8413999998569,232.8417999999523,237.843,3710.0,237.84309999990467,5.0,238.84009999990465,0.0,1.0,1.0,17.0,1.0,1.2,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,238.8405999999046,242.0,0.0,238.8407999999523,242.0,,,,242.18059999990464,242.6782000000477,241.67529999995224,242.18029999995235,239.84209999990455,241.67520000004765,242.6782000000477,243.1780999999046,243.1780999999046,244.0235999999046,11.0,244.0235999999046,1.0,245.02229999995237,0.0,2.0,2.0,25.0,1.0,0.8,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,245.02250000000004,219.0,0.0,245.02259999990463,219.0,,,,248.9655999999046,249.4655999999046,248.46029999995235,248.9655999999046,246.02779999995232,248.46029999995235,249.4657000000477,249.9657000000477,249.9657000000477,253.65489999985695,2904.0,253.655,5.0,254.6535999999046,0.0,3.0,3.0,18.0,1.0,1.4,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,254.6542000000477,208.0,0.0,254.6545,208.0,,,,258.81949999999995,259.31949999999995,258.3162000000476,258.81939999985696,255.65459999990455,258.3160999999046,259.31959999990465,259.81909999990467,259.81909999990467,263.3035999999046,3243.0,263.3037000000477,5.0,264.30120000004763,0.0,4.0,4.0,4.0,1.0,1.6,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,264.3013999998569,19.0,0.0,264.30150000000003,19.0,,,,267.8418999998569,268.33920000004764,267.3357000000476,267.8417999999523,265.3028999998569,267.3355999999046,268.33929999995235,268.83929999995235,268.83939999985694,273.72370000004764,3717.0,273.72370000004764,5.0,274.7215999999046,0.0,5.0,5.0,6.0,1.0,1.0,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,274.7220999999046,106.0,0.0,274.722399999857,106.0,,,,278.684,279.1815,278.1832000000477,278.68379999995227,275.72229999995227,278.1832000000477,279.1815999999046,279.6813999998569,279.6815,284.84859999990465,4087.0,284.84870000004764,5.0,285.8467000000477,0.0,6.0,6.0,13.0,1.0,1.4,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,285.8475,200.0,0.0,285.84770000004767,200.0,,,,289.9812999999523,290.47909999990463,289.4805999999046,289.9812000000477,286.8483999998569,289.4805,290.4792000000476,290.9803999998569,290.9805,296.46359999990466,4810.0,296.46370000004765,5.0,297.462,0.0,7.0,7.0,9.0,1.0,1.6,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,297.4625,71.0,0.0,297.46259999990457,71.0,,,,301.40089999985696,301.8987999999523,300.900399999857,301.40089999985696,298.46759999990456,300.90029999995227,301.8987999999523,302.3987999999523,302.3988999998569,307.18109999990463,3649.0,307.1812000000476,5.0,308.18079999995234,0.0,8.0,8.0,28.0,1.0,1.4,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,308.1812000000476,178.0,0.0,308.1813999998569,178.0,,,,311.749,312.24659999990456,311.24799999999993,311.7488999998569,309.1872999999523,311.24789999985694,312.24670000004767,312.7465,312.7465,319.4512000000477,3543.0,319.4513999998569,5.0,320.4503999998569,0.0,9.0,9.0,11.0,1.0,1.0,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,320.4507000000476,169.0,0.0,320.4507999999523,169.0,,,,324.21879999995235,324.7160999999046,323.71759999990456,324.21870000004765,321.4518999998569,323.7175,324.7160999999046,325.216,325.2160999999046,328.94449999999995,2948.0,328.94449999999995,5.0,329.94429999995225,0.0,10.0,10.0,2.0,1.0,1.2,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,329.94489999985694,305.0,0.0,329.94520000004763,305.0,,,,333.3157000000476,333.81429999995225,332.81070000004763,333.31559999990463,330.94959999990465,332.81059999990464,333.81429999995225,334.31449999999995,334.31459999990466,338.270399999857,3527.0,338.2705,5.0,339.2685,0.0,11.0,11.0,10.0,1.0,0.8,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,339.2692999999523,33.0,0.0,339.2693999998569,33.0,,,,342.8035999999046,343.30120000004763,342.3028999998569,342.8035,340.2693999998569,342.3027000000477,343.30120000004763,343.80120000004763,343.80120000004763,348.0397000000477,3448.0,348.0397000000477,5.0,349.0387999999523,0.0,12.0,12.0,26.0,1.0,1.0,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,349.03959999990457,24.0,0.0,349.0397000000477,24.0,,,,353.00670000004766,353.5045,352.500899999857,353.0065,350.04009999990467,352.5007999999523,353.5045999999046,354.005899999857,354.005899999857,357.66039999985696,2733.0,357.66039999985696,5.0,358.6588999998569,0.0,13.0,13.0,23.0,1.0,1.4,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,358.6592999999523,23.0,0.0,358.6595,23.0,,,,362.3992000000477,362.8967999999524,361.8985,362.3992000000477,359.66509999990467,361.8985,362.8967999999524,363.3967000000477,363.3967999999524,367.3082000000477,2888.0,367.3082999999523,5.0,368.3067999999523,0.0,14.0,14.0,27.0,1.0,1.2,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,368.3072000000477,22.0,0.0,368.3075,22.0,,,,372.2470999999047,372.7445999999046,371.7412000000477,372.247,369.3077999999523,371.7410999999046,372.7447000000477,373.2443999998569,373.2445,376.79,3354.0,376.7900999999047,5.0,377.78979999995227,0.0,15.0,15.0,8.0,1.0,1.4,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,377.79020000004766,28.0,0.0,377.79039999985696,28.0,,,,381.9328999998569,382.4315999999046,381.4275999999046,381.9328999998569,378.7940999999046,381.4275,382.4315999999046,382.9313999998569,382.9315,387.3890999999046,3561.0,387.3890999999046,5.0,388.3857000000477,0.0,16.0,16.0,29.0,1.0,1.6,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,388.38609999990456,29.0,0.0,388.38629999995226,29.0,,,,391.7297000000476,392.2293999998569,391.2245,391.7297000000476,389.39139999985696,391.2243999998569,392.2293999998569,392.72929999995233,392.72929999995233,396.351,2897.0,396.351,5.0,397.3505999999046,0.0,17.0,17.0,5.0,1.0,0.8,0.7,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,397.3508999998569,152.0,0.0,397.3510999999046,152.0,,,,400.7222999999522,401.2235999999047,400.2170999999046,400.7222999999522,398.3562000000477,400.217,401.2235999999047,401.723,401.7230999999047,405.11829999995234,2478.0,405.11829999995234,5.0,406.1155999999046,0.0,18.0,18.0,0.0,1.0,0.8,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,406.1158999998569,94.0,0.0,406.116,94.0,,,,410.2927999999523,410.7922999999523,409.7873999998569,410.2927000000477,407.1212999999522,409.7872999999523,410.7922999999523,411.2920999999046,411.2920999999046,415.9078999998569,3735.0,415.908,5.0,416.9075999999046,0.0,19.0,19.0,24.0,1.0,1.6,0.3,Time
,,S32,1,男,24,anonymized,Serial_Dependence_U,2023.2.3,Win32,185.18518518438677,,,,,,416.9082000000477,52.0,0.0,416.9083999998569,52.0,,,,420.67929999995226,421.1787000000477,420.17429999995227,420.6792000000477,417.9133999998569,420.17409999990457,421.1787000000477,421.6787000000477,421.678899999857,426.2112000000477,3774.0,426.2112999999523,5.0,427.2107999999523,0.0,20.0,20.0,22.0,1.0,1.2,0.3,Time
